timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,45.11,0.0,8.28
2024-01-01 00:15:00,60.26,0.0,13.77
2024-01-01 00:30:00,59.31,0.0,15.21
2024-01-01 00:45:00,39.01,0.0,14.98
2024-01-01 01:00:00,61.09,2.78,17.42
2024-01-01 01:15:00,37.75,0.0,17.13
2024-01-01 01:30:00,48.39,0.0,16.86
2024-01-01 01:45:00,65.98,1.76,16.52
2024-01-01 02:00:00,49.86,0.0,15.18
2024-01-01 02:15:00,70.28,0.0,11.56
2024-01-01 02:30:00,48.74,0.0,12.21
2024-01-01 02:45:00,45.87,0.0,12.45
2024-01-01 03:00:00,52.8,0.0,19.51
2024-01-01 03:15:00,76.86,2.68,22.58
2024-01-01 03:30:00,69.9,2.16,19.66
2024-01-01 03:45:00,71.75,0.18,20.41
2024-01-01 04:00:00,74.87,0.0,17.0
2024-01-01 04:15:00,89.6,0.0,19.16
2024-01-01 04:30:00,102.15,0.0,21.74
2024-01-01 04:45:00,94.75,0.0,20.44
2024-01-01 05:00:00,84.37,1.4,17.17
2024-01-01 05:15:00,93.15,0.0,18.13
2024-01-01 05:30:00,108.6,0.0,21.53
2024-01-01 05:45:00,105.29,1.33,23.45
2024-01-01 06:00:00,107.7,4.15,23.35
2024-01-01 06:15:00,93.73,0.0,20.97
2024-01-01 06:30:00,114.91,3.15,19.11
2024-01-01 06:45:00,120.41,3.69,17.32
2024-01-01 07:00:00,114.68,0.0,18.82
2024-01-01 07:15:00,129.46,3.52,18.09
2024-01-01 07:30:00,115.68,5.15,19.04
2024-01-01 07:45:00,143.17,2.87,17.55
2024-01-01 08:00:00,121.31,4.07,17.07
2024-01-01 08:15:00,148.89,5.97,17.72
2024-01-01 08:30:00,176.7,10.62,15.41
2024-01-01 08:45:00,167.79,10.78,15.44
2024-01-01 09:00:00,157.19,9.92,14.15
2024-01-01 09:15:00,157.48,9.5,13.66
2024-01-01 09:30:00,177.06,14.33,14.21
2024-01-01 09:45:00,161.92,16.09,14.5
2024-01-01 10:00:00,179.78,13.48,15.76
2024-01-01 10:15:00,172.96,15.26,15.56
2024-01-01 10:30:00,174.58,15.52,14.26
2024-01-01 10:45:00,177.53,17.71,17.12
2024-01-01 11:00:00,181.77,16.95,16.53
2024-01-01 11:15:00,193.18,19.11,14.91
2024-01-01 11:30:00,200.29,17.65,17.46
2024-01-01 11:45:00,179.64,18.85,14.58
2024-01-01 12:00:00,188.71,21.06,14.32
2024-01-01 12:15:00,184.35,19.69,16.97
2024-01-01 12:30:00,189.14,19.99,14.57
2024-01-01 12:45:00,181.97,20.45,14.93
2024-01-01 13:00:00,196.58,21.68,19.43
2024-01-01 13:15:00,203.91,20.59,17.51
2024-01-01 13:30:00,172.78,21.54,18.46
2024-01-01 13:45:00,163.17,17.62,19.97
2024-01-01 14:00:00,176.33,17.13,16.9
2024-01-01 14:15:00,177.45,15.21,15.27
2024-01-01 14:30:00,162.64,20.9,13.54
2024-01-01 14:45:00,173.66,15.5,16.62
2024-01-01 15:00:00,187.9,18.41,11.3
2024-01-01 15:15:00,165.61,18.49,11.2
2024-01-01 15:30:00,158.58,18.71,14.69
2024-01-01 15:45:00,147.47,16.45,13.11
2024-01-01 16:00:00,148.88,13.88,17.38
2024-01-01 16:15:00,156.34,16.98,19.98
2024-01-01 16:30:00,135.1,10.47,15.8
2024-01-01 16:45:00,123.58,11.26,11.77
2024-01-01 17:00:00,149.42,10.44,14.3
2024-01-01 17:15:00,144.63,8.69,15.48
2024-01-01 17:30:00,128.26,8.37,15.54
2024-01-01 17:45:00,128.51,8.23,21.12
2024-01-01 18:00:00,106.57,6.84,18.48
2024-01-01 18:15:00,111.23,5.85,20.05
2024-01-01 18:30:00,118.15,4.94,20.75
2024-01-01 18:45:00,105.95,2.95,19.15
2024-01-01 19:00:00,114.38,0.0,18.09
2024-01-01 19:15:00,89.64,1.0,17.85
2024-01-01 19:30:00,101.53,1.11,18.13
2024-01-01 19:45:00,89.38,0.0,15.06
2024-01-01 20:00:00,69.85,3.82,16.46
2024-01-01 20:15:00,79.58,0.0,14.05
2024-01-01 20:30:00,85.64,0.0,14.01
2024-01-01 20:45:00,62.22,0.0,18.67
2024-01-01 21:00:00,52.17,0.49,21.53
2024-01-01 21:15:00,88.44,0.98,23.91
2024-01-01 21:30:00,68.75,0.23,24.24
2024-01-01 21:45:00,67.05,0.0,25.08
2024-01-01 22:00:00,68.82,0.0,25.02
2024-01-01 22:15:00,33.0,0.16,19.72
2024-01-01 22:30:00,59.96,0.0,23.17
2024-01-01 22:45:00,36.55,0.0,19.6
2024-01-01 23:00:00,46.83,0.19,16.53
2024-01-01 23:15:00,59.56,0.75,17.76
2024-01-01 23:30:00,51.03,0.0,15.06
2024-01-01 23:45:00,40.15,0.0,19.12
2024-01-02 00:00:00,43.85,0.0,23.8
2024-01-02 00:15:00,49.94,0.0,27.08
2024-01-02 00:30:00,40.05,0.0,25.65
2024-01-02 00:45:00,32.43,0.75,21.67
2024-01-02 01:00:00,60.49,0.81,19.51
2024-01-02 01:15:00,68.65,1.46,15.42
2024-01-02 01:30:00,38.96,0.0,15.16
2024-01-02 01:45:00,62.26,2.43,13.95
2024-01-02 02:00:00,36.97,0.11,9.35
2024-01-02 02:15:00,76.11,0.94,9.78
2024-01-02 02:30:00,37.72,0.0,12.44
2024-01-02 02:45:00,68.36,0.0,17.41
