timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,48.61,0.0,2.83
2024-01-01 00:15:00,64.05,0.68,5.71
2024-01-01 00:30:00,69.49,0.0,5.71
2024-01-01 00:45:00,50.8,2.43,5.68
2024-01-01 01:00:00,79.4,2.71,4.91
2024-01-01 01:15:00,70.57,2.47,4.27
2024-01-01 01:30:00,82.48,0.0,4.18
2024-01-01 01:45:00,70.04,3.66,4.62
2024-01-01 02:00:00,28.93,0.0,7.03
2024-01-01 02:15:00,60.46,1.11,7.83
2024-01-01 02:30:00,79.5,0.0,9.28
2024-01-01 02:45:00,63.3,1.02,8.88
2024-01-01 03:00:00,61.92,0.0,8.35
2024-01-01 03:15:00,52.05,1.44,8.55
2024-01-01 03:30:00,93.0,1.16,7.55
2024-01-01 03:45:00,73.95,0.0,8.16
2024-01-01 04:00:00,114.18,0.0,6.8
2024-01-01 04:15:00,94.03,5.89,6.03
2024-01-01 04:30:00,104.4,0.0,5.0
2024-01-01 04:45:00,91.8,3.76,5.39
2024-01-01 05:00:00,118.16,0.0,7.08
2024-01-01 05:15:00,112.19,0.0,6.56
2024-01-01 05:30:00,134.72,0.0,7.77
2024-01-01 05:45:00,135.93,0.0,7.35
2024-01-01 06:00:00,121.31,2.58,7.47
2024-01-01 06:15:00,142.51,1.66,6.6
2024-01-01 06:30:00,134.84,0.0,6.61
2024-01-01 06:45:00,169.17,1.5,5.76
2024-01-01 07:00:00,145.79,0.0,5.87
2024-01-01 07:15:00,184.72,0.0,7.03
2024-01-01 07:30:00,164.12,6.5,8.06
2024-01-01 07:45:00,156.97,0.0,8.57
2024-01-01 08:00:00,166.3,12.71,7.35
2024-01-01 08:15:00,195.59,12.18,8.14
2024-01-01 08:30:00,195.97,15.69,6.53
2024-01-01 08:45:00,214.45,12.23,5.66
2024-01-01 09:00:00,194.47,12.3,5.33
2024-01-01 09:15:00,216.54,20.94,5.93
2024-01-01 09:30:00,195.68,12.57,6.42
2024-01-01 09:45:00,189.3,19.36,8.38
2024-01-01 10:00:00,207.16,21.31,8.24
2024-01-01 10:15:00,206.65,25.35,8.13
2024-01-01 10:30:00,208.55,17.78,7.62
2024-01-01 10:45:00,210.75,19.42,5.94
2024-01-01 11:00:00,216.31,28.15,6.97
2024-01-01 11:15:00,219.21,33.37,5.57
2024-01-01 11:30:00,205.29,30.31,6.88
2024-01-01 11:45:00,221.47,30.85,7.35
2024-01-01 12:00:00,210.73,31.85,8.39
2024-01-01 12:15:00,218.47,26.41,6.47
2024-01-01 12:30:00,233.45,31.09,4.49
2024-01-01 12:45:00,213.95,31.13,3.87
2024-01-01 13:00:00,207.88,27.24,3.91
2024-01-01 13:15:00,213.22,29.34,5.73
2024-01-01 13:30:00,222.5,37.28,7.98
2024-01-01 13:45:00,212.86,35.8,8.89
2024-01-01 14:00:00,209.63,22.99,7.33
2024-01-01 14:15:00,206.25,31.81,6.35
2024-01-01 14:30:00,183.9,30.04,5.28
2024-01-01 14:45:00,210.7,26.24,4.36
2024-01-01 15:00:00,216.11,26.77,5.15
2024-01-01 15:15:00,171.33,25.83,7.33
2024-01-01 15:30:00,210.04,23.14,5.93
2024-01-01 15:45:00,194.02,21.72,7.98
2024-01-01 16:00:00,168.97,22.9,6.77
2024-01-01 16:15:00,169.97,22.92,5.91
2024-01-01 16:30:00,179.79,13.87,7.15
2024-01-01 16:45:00,182.18,9.57,5.38
2024-01-01 17:00:00,161.94,17.9,6.57
2024-01-01 17:15:00,150.12,15.14,6.86
2024-01-01 17:30:00,144.5,16.06,7.6
2024-01-01 17:45:00,144.16,9.02,7.74
2024-01-01 18:00:00,176.45,8.11,6.63
2024-01-01 18:15:00,139.38,5.36,6.31
2024-01-01 18:30:00,116.21,4.55,4.87
2024-01-01 18:45:00,130.95,0.0,5.3
2024-01-01 19:00:00,115.45,0.0,5.32
2024-01-01 19:15:00,144.89,1.41,4.6
2024-01-01 19:30:00,100.73,5.47,6.02
2024-01-01 19:45:00,113.45,0.0,6.27
2024-01-01 20:00:00,101.22,0.0,6.22
2024-01-01 20:15:00,103.13,1.78,7.71
2024-01-01 20:30:00,107.54,0.0,7.23
2024-01-01 20:45:00,91.24,0.45,6.39
2024-01-01 21:00:00,100.97,0.0,6.12
2024-01-01 21:15:00,96.72,0.0,5.29
2024-01-01 21:30:00,88.59,0.0,4.81
2024-01-01 21:45:00,67.47,0.0,6.45
2024-01-01 22:00:00,78.57,0.24,8.39
2024-01-01 22:15:00,81.42,0.0,10.16
2024-01-01 22:30:00,72.46,0.0,9.46
2024-01-01 22:45:00,68.5,0.0,8.85
2024-01-01 23:00:00,55.25,0.86,8.69
2024-01-01 23:15:00,47.54,1.33,6.82
2024-01-01 23:30:00,39.1,0.05,9.02
2024-01-01 23:45:00,44.68,1.24,9.36
2024-01-02 00:00:00,58.59,2.16,8.57
2024-01-02 00:15:00,37.39,0.25,8.72
2024-01-02 00:30:00,44.4,2.12,8.05
2024-01-02 00:45:00,50.1,0.0,5.73
2024-01-02 01:00:00,67.31,0.0,4.61
2024-01-02 01:15:00,62.46,5.63,4.72
2024-01-02 01:30:00,38.18,0.0,4.51
2024-01-02 01:45:00,97.84,0.0,6.69
2024-01-02 02:00:00,60.63,0.0,7.17
2024-01-02 02:15:00,60.88,0.0,8.16
2024-01-02 02:30:00,75.89,7.64,8.5
2024-01-02 02:45:00,69.23,2.1,7.78
2024-01-02 03:00:00,83.82,0.0,6.8
2024-01-02 03:15:00,108.68,0.0,6.31
2024-01-02 03:30:00,90.31,2.0,5.54
2024-01-02 03:45:00,111.66,0.0,6.0
2024-01-02 04:00:00,85.35,0.0,6.59
2024-01-02 04:15:00,90.27,0.86,5.95
2024-01-02 04:30:00,103.79,0.0,6.27
2024-01-02 04:45:00,104.48,0.0,5.1
2024-01-02 05:00:00,106.69,0.0,7.14
2024-01-02 05:15:00,131.74,0.0,8.92
2024-01-02 05:30:00,98.05,0.0,9.11
2024-01-02 05:45:00,97.21,2.67,9.96
2024-01-02 06:00:00,122.16,0.0,8.05
2024-01-02 06:15:00,146.72,2.83,7.15
2024-01-02 06:30:00,128.46,1.35,7.2
2024-01-02 06:45:00,162.57,0.0,8.26
2024-01-02 07:00:00,162.56,1.05,9.49
2024-01-02 07:15:00,158.4,0.0,9.74
2024-01-02 07:30:00,182.55,2.58,10.71
2024-01-02 07:45:00,185.56,3.17,9.07
2024-01-02 08:00:00,170.04,7.73,8.21
2024-01-02 08:15:00,185.42,11.51,7.61
2024-01-02 08:30:00,189.14,11.43,7.15
2024-01-02 08:45:00,200.66,13.34,8.43
2024-01-02 09:00:00,194.47,16.57,8.97
2024-01-02 09:15:00,204.45,21.0,8.33
2024-01-02 09:30:00,185.78,17.26,6.24
2024-01-02 09:45:00,211.03,21.56,5.23
2024-01-02 10:00:00,215.31,25.62,3.92
2024-01-02 10:15:00,221.78,24.84,2.58
2024-01-02 10:30:00,226.4,22.61,4.32
2024-01-02 10:45:00,227.91,30.86,3.63
2024-01-02 11:00:00,239.21,28.0,4.36
2024-01-02 11:15:00,233.38,26.56,4.4
2024-01-02 11:30:00,243.22,25.85,2.67
2024-01-02 11:45:00,245.61,22.86,3.8
2024-01-02 12:00:00,238.41,28.37,3.22
2024-01-02 12:15:00,223.47,32.11,4.09
2024-01-02 12:30:00,221.67,23.29,5.46
2024-01-02 12:45:00,213.56,28.63,5.08
2024-01-02 13:00:00,240.22,32.14,6.57
2024-01-02 13:15:00,221.12,29.87,7.8
2024-01-02 13:30:00,218.11,33.61,7.02
2024-01-02 13:45:00,223.6,32.59,6.88
2024-01-02 14:00:00,204.83,30.28,6.99
2024-01-02 14:15:00,215.23,25.34,6.73
2024-01-02 14:30:00,198.03,31.41,7.84
2024-01-02 14:45:00,193.69,23.51,8.8
2024-01-02 15:00:00,235.7,26.49,8.74
2024-01-02 15:15:00,205.61,24.26,7.98
2024-01-02 15:30:00,192.98,24.18,7.42
2024-01-02 15:45:00,211.67,22.47,6.68
2024-01-02 16:00:00,173.01,23.0,5.95
2024-01-02 16:15:00,155.41,17.9,5.43
2024-01-02 16:30:00,189.08,21.08,5.75
2024-01-02 16:45:00,157.93,17.14,6.46
2024-01-02 17:00:00,158.85,13.28,6.69
2024-01-02 17:15:00,132.25,13.24,7.13
2024-01-02 17:30:00,135.42,11.16,7.28
2024-01-02 17:45:00,137.26,8.64,6.11
2024-01-02 18:00:00,130.77,11.67,5.73
2024-01-02 18:15:00,148.7,6.15,6.04
2024-01-02 18:30:00,130.85,1.22,5.26
2024-01-02 18:45:00,119.25,0.0,5.33
2024-01-02 19:00:00,128.2,6.18,6.11
2024-01-02 19:15:00,93.82,0.78,6.44
2024-01-02 19:30:00,112.4,0.0,6.2
2024-01-02 19:45:00,111.59,0.0,6.64
2024-01-02 20:00:00,118.71,0.0,6.55
2024-01-02 20:15:00,108.44,0.0,5.41
2024-01-02 20:30:00,110.43,2.54,6.07
2024-01-02 20:45:00,83.21,0.0,5.88
2024-01-02 21:00:00,96.35,1.79,5.95
2024-01-02 21:15:00,80.53,0.0,6.33
2024-01-02 21:30:00,86.14,0.0,4.69
2024-01-02 21:45:00,41.43,0.0,4.52
2024-01-02 22:00:00,78.89,4.53,5.09
2024-01-02 22:15:00,70.17,2.43,5.64
2024-01-02 22:30:00,64.82,0.31,7.67
2024-01-02 22:45:00,63.54,0.0,9.11
2024-01-02 23:00:00,45.43,0.0,7.47
2024-01-02 23:15:00,58.07,1.76,7.5
