timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,81.95,2.46,5.95
2024-01-01 00:15:00,71.36,4.33,4.48
2024-01-01 00:30:00,75.29,7.29,6.28
2024-01-01 00:45:00,65.12,0.0,5.69
2024-01-01 01:00:00,55.91,2.19,6.61
2024-01-01 01:15:00,43.4,0.0,6.54
2024-01-01 01:30:00,72.62,1.87,4.65
2024-01-01 01:45:00,70.98,0.0,5.23
2024-01-01 02:00:00,58.04,3.69,6.07
2024-01-01 02:15:00,79.36,4.78,6.59
2024-01-01 02:30:00,70.91,3.37,7.77
2024-01-01 02:45:00,73.83,0.0,7.61
2024-01-01 03:00:00,72.21,3.37,4.57
2024-01-01 03:15:00,63.52,0.96,4.8
2024-01-01 03:30:00,99.8,1.0,3.75
2024-01-01 03:45:00,71.23,0.0,4.6
2024-01-01 04:00:00,88.16,1.89,4.61
2024-01-01 04:15:00,68.8,1.04,4.41
2024-01-01 04:30:00,105.0,0.0,5.4
2024-01-01 04:45:00,103.1,1.41,5.72
2024-01-01 05:00:00,120.79,1.1,6.04
2024-01-01 05:15:00,95.74,0.0,5.88
2024-01-01 05:30:00,100.11,0.0,3.67
2024-01-01 05:45:00,154.16,0.0,2.66
2024-01-01 06:00:00,160.05,0.45,2.54
2024-01-01 06:15:00,170.13,2.09,3.59
2024-01-01 06:30:00,147.15,0.0,3.9
2024-01-01 06:45:00,156.19,1.51,3.03
2024-01-01 07:00:00,153.21,0.0,3.54
2024-01-01 07:15:00,164.55,2.71,3.34
2024-01-01 07:30:00,171.86,0.85,6.73
2024-01-01 07:45:00,197.88,1.52,6.26
2024-01-01 08:00:00,176.62,6.31,7.28
2024-01-01 08:15:00,171.92,9.54,5.7
2024-01-01 08:30:00,204.52,10.48,3.05
2024-01-01 08:45:00,199.26,12.07,3.76
2024-01-01 09:00:00,207.49,14.03,4.92
2024-01-01 09:15:00,202.46,11.2,5.47
2024-01-01 09:30:00,241.65,13.48,7.2
2024-01-01 09:45:00,236.23,14.82,7.4
2024-01-01 10:00:00,236.8,18.16,6.7
2024-01-01 10:15:00,245.06,19.43,6.22
2024-01-01 10:30:00,222.23,20.8,5.4
2024-01-01 10:45:00,227.96,22.02,5.55
2024-01-01 11:00:00,253.5,20.15,5.11
2024-01-01 11:15:00,211.93,24.92,4.99
2024-01-01 11:30:00,240.86,24.34,4.53
2024-01-01 11:45:00,258.12,25.31,4.76
2024-01-01 12:00:00,235.5,20.57,5.27
2024-01-01 12:15:00,245.76,23.89,6.12
2024-01-01 12:30:00,252.03,24.58,7.14
2024-01-01 12:45:00,272.5,27.38,6.14
2024-01-01 13:00:00,226.0,23.24,4.93
2024-01-01 13:15:00,247.56,23.67,6.65
2024-01-01 13:30:00,281.78,27.66,7.14
2024-01-01 13:45:00,270.95,25.07,8.57
2024-01-01 14:00:00,245.11,22.6,8.31
2024-01-01 14:15:00,236.94,26.48,7.18
2024-01-01 14:30:00,247.05,25.73,6.77
2024-01-01 14:45:00,261.29,23.67,5.58
2024-01-01 15:00:00,251.7,22.36,6.04
2024-01-01 15:15:00,243.18,22.58,4.95
2024-01-01 15:30:00,231.29,18.83,4.24
2024-01-01 15:45:00,246.8,16.67,5.06
2024-01-01 16:00:00,213.18,18.89,4.13
2024-01-01 16:15:00,240.09,14.78,4.39
2024-01-01 16:30:00,223.66,19.13,4.38
2024-01-01 16:45:00,214.05,17.94,4.25
2024-01-01 17:00:00,199.99,11.11,5.72
2024-01-01 17:15:00,192.05,8.83,6.64
2024-01-01 17:30:00,203.19,9.38,7.32
2024-01-01 17:45:00,184.39,8.49,5.97
2024-01-01 18:00:00,170.87,7.39,5.5
2024-01-01 18:15:00,184.92,0.0,4.6
2024-01-01 18:30:00,154.05,2.0,2.54
2024-01-01 18:45:00,160.66,2.37,3.97
2024-01-01 19:00:00,155.53,0.0,4.62
2024-01-01 19:15:00,136.06,0.0,4.17
2024-01-01 19:30:00,126.02,0.0,5.07
2024-01-01 19:45:00,140.23,5.35,5.56
2024-01-01 20:00:00,125.55,0.0,5.23
2024-01-01 20:15:00,117.78,0.5,7.94
2024-01-01 20:30:00,130.08,5.59,9.32
2024-01-01 20:45:00,105.11,3.62,7.26
2024-01-01 21:00:00,119.53,1.07,6.03
2024-01-01 21:15:00,114.16,1.71,4.42
2024-01-01 21:30:00,116.51,1.23,4.01
2024-01-01 21:45:00,103.18,2.3,5.93
2024-01-01 22:00:00,78.55,0.0,7.42
2024-01-01 22:15:00,76.58,0.0,6.06
2024-01-01 22:30:00,87.12,0.0,6.13
2024-01-01 22:45:00,86.0,0.0,4.79
2024-01-01 23:00:00,92.28,0.0,4.32
2024-01-01 23:15:00,62.02,1.26,5.79
2024-01-01 23:30:00,73.08,1.8,4.9
2024-01-01 23:45:00,80.44,0.03,6.8
2024-01-02 00:00:00,67.77,1.05,6.56
2024-01-02 00:15:00,64.26,0.13,5.86
2024-01-02 00:30:00,75.41,0.0,8.96
2024-01-02 00:45:00,70.68,0.59,7.59
2024-01-02 01:00:00,68.74,0.0,8.09
2024-01-02 01:15:00,60.65,3.59,9.27
2024-01-02 01:30:00,69.58,0.0,7.23
2024-01-02 01:45:00,77.59,0.0,7.6
2024-01-02 02:00:00,42.11,3.01,6.48
2024-01-02 02:15:00,67.97,0.0,6.0
2024-01-02 02:30:00,66.58,0.64,5.09
2024-01-02 02:45:00,75.87,0.0,5.33
2024-01-02 03:00:00,55.89,0.0,5.58
2024-01-02 03:15:00,64.86,2.25,4.97
2024-01-02 03:30:00,74.18,3.45,5.55
2024-01-02 03:45:00,107.52,0.85,6.08
2024-01-02 04:00:00,72.97,0.0,6.37
2024-01-02 04:15:00,79.95,0.0,6.05
2024-01-02 04:30:00,103.4,0.0,3.53
2024-01-02 04:45:00,120.45,1.87,4.03
2024-01-02 05:00:00,105.5,0.0,5.01
2024-01-02 05:15:00,94.95,0.0,5.31
2024-01-02 05:30:00,110.74,0.0,5.62
2024-01-02 05:45:00,122.19,0.0,4.38
2024-01-02 06:00:00,132.8,2.19,2.72
2024-01-02 06:15:00,138.22,0.0,4.12
2024-01-02 06:30:00,138.16,0.0,7.11
2024-01-02 06:45:00,156.14,0.0,6.77
2024-01-02 07:00:00,174.3,0.0,6.87
2024-01-02 07:15:00,166.61,0.0,4.94
2024-01-02 07:30:00,201.16,6.7,3.79
2024-01-02 07:45:00,168.64,8.43,3.59
2024-01-02 08:00:00,212.91,5.67,3.38
2024-01-02 08:15:00,175.71,8.81,4.91
2024-01-02 08:30:00,198.13,7.73,4.44
2024-01-02 08:45:00,187.2,10.33,6.04
2024-01-02 09:00:00,203.7,11.32,5.85
2024-01-02 09:15:00,195.4,16.35,5.47
2024-01-02 09:30:00,229.1,18.58,5.8
2024-01-02 09:45:00,245.24,16.38,5.01
2024-01-02 10:00:00,220.64,20.71,6.83
2024-01-02 10:15:00,243.95,17.95,6.43
2024-01-02 10:30:00,238.89,17.9,7.45
2024-01-02 10:45:00,208.28,25.28,7.63
2024-01-02 11:00:00,257.75,22.13,7.02
2024-01-02 11:15:00,241.33,18.56,6.99
2024-01-02 11:30:00,251.9,23.67,5.98
2024-01-02 11:45:00,248.95,23.88,5.32
2024-01-02 12:00:00,245.04,27.39,5.22
2024-01-02 12:15:00,250.01,24.88,5.16
