timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,62.5,0.76,3.85
2024-01-01 00:15:00,54.07,1.71,4.06
2024-01-01 00:30:00,63.67,0.0,4.53
2024-01-01 00:45:00,51.01,0.51,5.27
2024-01-01 01:00:00,110.38,0.0,5.38
2024-01-01 01:15:00,58.69,0.0,6.24
2024-01-01 01:30:00,81.25,0.72,6.5
2024-01-01 01:45:00,69.01,0.0,5.08
2024-01-01 02:00:00,79.91,0.0,4.88
2024-01-01 02:15:00,90.87,2.66,4.43
2024-01-01 02:30:00,69.63,0.0,4.4
2024-01-01 02:45:00,80.48,0.0,6.48
2024-01-01 03:00:00,76.46,1.98,7.35
2024-01-01 03:15:00,101.5,0.56,5.87
2024-01-01 03:30:00,124.0,0.85,5.48
2024-01-01 03:45:00,105.3,1.98,4.96
2024-01-01 04:00:00,88.91,0.0,4.7
2024-01-01 04:15:00,77.14,0.0,7.02
2024-01-01 04:30:00,113.3,0.0,7.58
2024-01-01 04:45:00,136.84,0.0,7.29
2024-01-01 05:00:00,112.03,0.82,7.42
2024-01-01 05:15:00,146.0,0.0,6.11
2024-01-01 05:30:00,179.17,0.0,6.96
2024-01-01 05:45:00,151.46,0.0,6.01
2024-01-01 06:00:00,124.85,0.0,6.26
2024-01-01 06:15:00,164.53,0.0,7.63
2024-01-01 06:30:00,185.13,0.0,7.21
2024-01-01 06:45:00,213.1,2.75,7.72
2024-01-01 07:00:00,184.86,0.96,8.01
2024-01-01 07:15:00,175.34,2.06,6.49
2024-01-01 07:30:00,193.45,2.98,6.1
2024-01-01 07:45:00,196.6,4.83,6.48
2024-01-01 08:00:00,200.91,5.36,4.6
2024-01-01 08:15:00,223.24,6.12,5.62
2024-01-01 08:30:00,189.58,9.29,4.9
2024-01-01 08:45:00,240.65,7.81,4.61
2024-01-01 09:00:00,255.49,8.99,5.97
2024-01-01 09:15:00,253.41,8.64,4.78
2024-01-01 09:30:00,260.49,8.71,5.86
2024-01-01 09:45:00,205.42,8.98,7.57
2024-01-01 10:00:00,236.82,12.02,7.53
2024-01-01 10:15:00,263.81,13.44,7.67
2024-01-01 10:30:00,269.12,11.92,7.49
2024-01-01 10:45:00,266.54,12.96,4.9
2024-01-01 11:00:00,254.26,9.98,5.42
2024-01-01 11:15:00,261.95,13.43,5.86
2024-01-01 11:30:00,270.07,11.46,5.88
2024-01-01 11:45:00,255.2,15.79,6.53
2024-01-01 12:00:00,281.38,16.63,5.0
2024-01-01 12:15:00,284.19,16.89,5.22
2024-01-01 12:30:00,288.63,13.52,4.26
2024-01-01 12:45:00,279.73,15.47,4.22
2024-01-01 13:00:00,250.39,14.98,6.23
2024-01-01 13:15:00,282.13,15.1,6.13
2024-01-01 13:30:00,241.86,13.26,7.6
2024-01-01 13:45:00,287.1,15.06,7.99
2024-01-01 14:00:00,285.3,14.73,8.19
2024-01-01 14:15:00,263.99,17.05,7.33
2024-01-01 14:30:00,234.31,14.78,7.23
2024-01-01 14:45:00,299.38,11.97,8.66
2024-01-01 15:00:00,252.56,16.7,6.79
2024-01-01 15:15:00,263.14,14.76,8.37
2024-01-01 15:30:00,231.08,10.88,6.55
2024-01-01 15:45:00,261.8,14.48,5.96
2024-01-01 16:00:00,230.65,8.83,6.46
2024-01-01 16:15:00,223.99,12.52,5.66
2024-01-01 16:30:00,249.74,9.82,4.77
2024-01-01 16:45:00,241.0,9.17,4.55
2024-01-01 17:00:00,249.23,8.83,3.11
2024-01-01 17:15:00,221.78,8.65,2.43
2024-01-01 17:30:00,181.17,7.82,3.56
2024-01-01 17:45:00,199.04,2.28,1.55
2024-01-01 18:00:00,189.98,3.76,2.8
2024-01-01 18:15:00,225.01,2.96,4.38
2024-01-01 18:30:00,184.15,1.94,4.11
2024-01-01 18:45:00,203.25,1.86,4.72
2024-01-01 19:00:00,151.59,0.0,5.34
2024-01-01 19:15:00,187.4,0.0,5.54
2024-01-01 19:30:00,138.9,2.08,7.09
2024-01-01 19:45:00,163.41,0.0,6.8
2024-01-01 20:00:00,148.58,1.58,6.68
2024-01-01 20:15:00,117.07,3.41,5.61
2024-01-01 20:30:00,130.37,2.83,4.37
2024-01-01 20:45:00,161.53,1.29,4.67
2024-01-01 21:00:00,154.29,0.0,4.77
2024-01-01 21:15:00,92.73,0.26,3.84
2024-01-01 21:30:00,96.04,0.0,4.06
2024-01-01 21:45:00,114.95,0.0,4.55
2024-01-01 22:00:00,101.96,0.88,3.61
2024-01-01 22:15:00,83.5,0.25,5.27
2024-01-01 22:30:00,89.6,0.72,6.13
2024-01-01 22:45:00,81.16,0.0,5.79
2024-01-01 23:00:00,57.47,0.0,6.44
2024-01-01 23:15:00,97.09,0.0,6.17
2024-01-01 23:30:00,83.56,1.65,5.5
2024-01-01 23:45:00,57.92,0.0,6.08
2024-01-02 00:00:00,95.2,0.0,3.42
2024-01-02 00:15:00,55.37,2.02,3.11
2024-01-02 00:30:00,80.48,0.0,3.38
2024-01-02 00:45:00,66.17,0.25,3.47
2024-01-02 01:00:00,105.34,1.3,4.96
2024-01-02 01:15:00,89.38,0.0,3.94
2024-01-02 01:30:00,74.06,1.27,3.99
2024-01-02 01:45:00,60.43,0.85,3.0
2024-01-02 02:00:00,46.87,2.69,4.77
2024-01-02 02:15:00,59.8,1.61,5.67
2024-01-02 02:30:00,91.2,0.9,6.77
2024-01-02 02:45:00,80.46,0.0,8.75
2024-01-02 03:00:00,87.96,0.0,8.03
2024-01-02 03:15:00,106.37,0.0,8.37
2024-01-02 03:30:00,102.79,1.57,7.22
2024-01-02 03:45:00,99.57,0.0,5.44
2024-01-02 04:00:00,113.32,0.0,5.2
2024-01-02 04:15:00,65.6,1.52,4.06
2024-01-02 04:30:00,116.75,0.0,4.9
2024-01-02 04:45:00,107.68,0.0,4.06
2024-01-02 05:00:00,106.89,0.0,3.99
2024-01-02 05:15:00,139.17,0.0,5.17
2024-01-02 05:30:00,140.48,0.18,5.06
2024-01-02 05:45:00,146.6,0.0,6.39
2024-01-02 06:00:00,173.75,0.0,6.52
2024-01-02 06:15:00,145.3,0.04,6.29
2024-01-02 06:30:00,169.92,0.48,5.47
2024-01-02 06:45:00,179.87,0.08,6.43
2024-01-02 07:00:00,190.72,0.0,7.46
2024-01-02 07:15:00,212.04,0.0,6.64
2024-01-02 07:30:00,158.16,1.1,7.55
2024-01-02 07:45:00,198.28,2.54,6.28
2024-01-02 08:00:00,217.8,3.46,5.0
2024-01-02 08:15:00,229.86,5.3,5.5
2024-01-02 08:30:00,230.61,2.36,4.41
2024-01-02 08:45:00,213.81,7.0,4.85
2024-01-02 09:00:00,253.74,7.3,4.87
2024-01-02 09:15:00,237.14,7.63,5.94
2024-01-02 09:30:00,242.32,10.26,6.28
2024-01-02 09:45:00,239.59,13.84,6.08
2024-01-02 10:00:00,251.37,10.97,7.26
2024-01-02 10:15:00,273.6,10.93,7.13
2024-01-02 10:30:00,288.54,13.76,6.86
2024-01-02 10:45:00,255.23,11.29,6.22
2024-01-02 11:00:00,278.94,12.65,6.42
2024-01-02 11:15:00,274.98,14.76,6.55
2024-01-02 11:30:00,271.85,13.47,6.17
2024-01-02 11:45:00,256.31,14.05,6.14
2024-01-02 12:00:00,260.64,14.99,5.63
2024-01-02 12:15:00,278.27,13.5,4.28
2024-01-02 12:30:00,295.35,14.82,6.81
2024-01-02 12:45:00,284.13,14.79,8.32
2024-01-02 13:00:00,284.07,13.78,7.24
2024-01-02 13:15:00,290.69,14.55,7.78
2024-01-02 13:30:00,304.99,15.69,6.24
2024-01-02 13:45:00,307.02,13.02,5.52
2024-01-02 14:00:00,277.39,14.49,7.1
2024-01-02 14:15:00,231.97,15.87,5.26
2024-01-02 14:30:00,271.49,13.2,3.34
2024-01-02 14:45:00,287.63,12.04,3.32
2024-01-02 15:00:00,252.89,13.2,3.63
2024-01-02 15:15:00,264.24,13.02,6.25
2024-01-02 15:30:00,259.56,14.22,7.08
2024-01-02 15:45:00,268.65,11.69,7.78
2024-01-02 16:00:00,231.33,9.87,5.86
2024-01-02 16:15:00,255.63,10.69,4.54
2024-01-02 16:30:00,235.22,8.79,3.81
2024-01-02 16:45:00,246.08,7.56,4.22
2024-01-02 17:00:00,244.6,8.84,4.77
2024-01-02 17:15:00,209.55,7.37,3.0
2024-01-02 17:30:00,207.38,5.31,3.2
2024-01-02 17:45:00,220.3,4.24,2.26
2024-01-02 18:00:00,199.84,2.93,3.14
