timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,64.07,0.0,3.32
2024-01-01 00:15:00,51.1,1.35,1.61
2024-01-01 00:30:00,55.95,0.0,2.46
2024-01-01 00:45:00,48.6,3.82,3.06
2024-01-01 01:00:00,73.64,3.66,3.35
2024-01-01 01:15:00,67.02,1.41,4.06
2024-01-01 01:30:00,55.08,0.0,3.91
2024-01-01 01:45:00,67.2,0.0,3.5
2024-01-01 02:00:00,88.68,0.46,3.02
2024-01-01 02:15:00,98.47,0.0,2.62
2024-01-01 02:30:00,43.65,2.73,2.09
2024-01-01 02:45:00,94.76,0.0,1.99
2024-01-01 03:00:00,60.63,1.28,2.18
2024-01-01 03:15:00,77.53,0.0,2.32
2024-01-01 03:30:00,96.74,6.88,3.14
2024-01-01 03:45:00,98.56,1.84,3.13
2024-01-01 04:00:00,84.07,1.67,2.92
2024-01-01 04:15:00,128.09,3.76,2.95
2024-01-01 04:30:00,117.77,0.0,2.28
2024-01-01 04:45:00,140.73,1.82,2.07
2024-01-01 05:00:00,161.67,0.32,2.31
2024-01-01 05:15:00,147.3,0.0,2.52
2024-01-01 05:30:00,131.22,1.28,1.81
2024-01-01 05:45:00,146.65,0.0,2.36
2024-01-01 06:00:00,134.85,0.0,2.0
2024-01-01 06:15:00,163.25,0.0,2.13
2024-01-01 06:30:00,145.54,0.8,3.95
2024-01-01 06:45:00,161.52,0.0,3.28
2024-01-01 07:00:00,222.88,0.17,3.57
2024-01-01 07:15:00,212.95,3.04,3.51
2024-01-01 07:30:00,162.81,4.12,2.66
2024-01-01 07:45:00,192.69,2.08,2.43
2024-01-01 08:00:00,180.46,7.81,2.44
2024-01-01 08:15:00,214.97,5.03,2.86
2024-01-01 08:30:00,219.59,11.09,3.0
2024-01-01 08:45:00,233.25,12.97,3.46
2024-01-01 09:00:00,191.85,6.75,3.79
2024-01-01 09:15:00,216.38,10.74,3.01
2024-01-01 09:30:00,209.89,7.9,2.78
2024-01-01 09:45:00,225.49,12.62,3.52
2024-01-01 10:00:00,213.54,11.81,3.3
2024-01-01 10:15:00,231.38,12.57,3.87
2024-01-01 10:30:00,242.19,19.59,4.39
2024-01-01 10:45:00,250.24,18.7,4.13
2024-01-01 11:00:00,234.79,14.17,3.9
2024-01-01 11:15:00,226.46,16.75,3.6
2024-01-01 11:30:00,229.9,17.81,3.73
2024-01-01 11:45:00,215.66,20.64,3.35
2024-01-01 12:00:00,214.99,17.68,3.28
2024-01-01 12:15:00,239.82,21.27,3.92
2024-01-01 12:30:00,263.95,18.92,2.71
2024-01-01 12:45:00,235.31,19.81,2.05
2024-01-01 13:00:00,245.55,23.37,2.67
2024-01-01 13:15:00,227.11,20.36,2.83
2024-01-01 13:30:00,255.2,17.8,3.76
2024-01-01 13:45:00,229.15,17.1,4.85
2024-01-01 14:00:00,241.47,23.35,4.33
2024-01-01 14:15:00,226.86,19.67,3.68
2024-01-01 14:30:00,197.24,20.87,4.02
2024-01-01 14:45:00,204.43,22.34,3.73
2024-01-01 15:00:00,184.22,16.56,3.83
2024-01-01 15:15:00,214.39,15.1,3.8
2024-01-01 15:30:00,189.62,14.39,3.2
2024-01-01 15:45:00,173.47,16.75,3.01
2024-01-01 16:00:00,167.94,15.83,2.24
2024-01-01 16:15:00,179.29,12.57,2.82
2024-01-01 16:30:00,177.32,14.11,2.55
2024-01-01 16:45:00,177.23,10.96,3.35
2024-01-01 17:00:00,173.77,6.64,4.08
2024-01-01 17:15:00,158.79,9.55,3.07
2024-01-01 17:30:00,154.34,5.81,4.45
2024-01-01 17:45:00,162.64,11.2,4.14
2024-01-01 18:00:00,153.15,4.58,4.62
2024-01-01 18:15:00,133.47,0.0,5.18
2024-01-01 18:30:00,130.86,1.81,3.38
2024-01-01 18:45:00,140.45,3.29,2.55
2024-01-01 19:00:00,141.23,1.07,2.35
2024-01-01 19:15:00,143.35,0.0,2.29
2024-01-01 19:30:00,99.08,0.0,3.36
2024-01-01 19:45:00,120.76,0.0,3.64
2024-01-01 20:00:00,104.7,0.0,3.77
2024-01-01 20:15:00,66.24,0.84,3.12
2024-01-01 20:30:00,70.07,1.23,3.14
2024-01-01 20:45:00,77.74,0.0,3.16
2024-01-01 21:00:00,87.75,2.14,3.27
