timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,56.36,0.0,3.55
2024-01-01 00:15:00,47.24,3.04,12.7
2024-01-01 00:30:00,62.33,0.0,11.47
2024-01-01 00:45:00,45.66,0.0,12.68
2024-01-01 01:00:00,68.89,0.0,14.44
2024-01-01 01:15:00,45.14,2.2,12.44
2024-01-01 01:30:00,51.71,0.62,12.13
2024-01-01 01:45:00,10.31,0.38,11.92
2024-01-01 02:00:00,64.11,0.12,12.55
2024-01-01 02:15:00,54.85,1.06,11.03
2024-01-01 02:30:00,54.46,0.12,11.35
2024-01-01 02:45:00,42.65,0.0,9.75
2024-01-01 03:00:00,65.25,0.8,8.18
2024-01-01 03:15:00,52.2,0.0,9.07
2024-01-01 03:30:00,59.12,0.42,11.52
2024-01-01 03:45:00,89.36,0.0,11.64
2024-01-01 04:00:00,74.21,1.44,14.41
2024-01-01 04:15:00,58.76,0.0,14.77
2024-01-01 04:30:00,74.6,2.84,14.11
2024-01-01 04:45:00,79.89,0.73,15.04
2024-01-01 05:00:00,95.65,1.79,16.13
2024-01-01 05:15:00,99.6,4.48,12.48
2024-01-01 05:30:00,100.64,4.94,10.84
2024-01-01 05:45:00,88.57,0.01,10.77
2024-01-01 06:00:00,116.9,0.0,8.77
2024-01-01 06:15:00,105.25,3.23,11.8
2024-01-01 06:30:00,134.0,0.0,9.57
2024-01-01 06:45:00,104.87,0.81,9.86
2024-01-01 07:00:00,133.29,0.0,11.26
2024-01-01 07:15:00,109.78,0.0,12.26
2024-01-01 07:30:00,136.44,4.76,13.19
2024-01-01 07:45:00,117.71,3.47,12.45
2024-01-01 08:00:00,139.68,6.14,10.5
2024-01-01 08:15:00,149.29,7.98,10.29
2024-01-01 08:30:00,156.45,6.49,13.98
2024-01-01 08:45:00,145.07,8.77,11.25
2024-01-01 09:00:00,148.61,7.63,12.82
2024-01-01 09:15:00,175.96,9.26,12.87
2024-01-01 09:30:00,178.52,13.53,12.39
2024-01-01 09:45:00,178.61,15.2,12.9
2024-01-01 10:00:00,171.06,11.25,13.25
2024-01-01 10:15:00,173.58,11.16,9.28
2024-01-01 10:30:00,187.64,16.23,8.14
2024-01-01 10:45:00,195.04,16.8,8.92
2024-01-01 11:00:00,184.17,15.66,7.74
2024-01-01 11:15:00,203.07,16.58,9.67
2024-01-01 11:30:00,193.39,18.3,8.61
2024-01-01 11:45:00,179.04,22.37,12.29
2024-01-01 12:00:00,191.07,23.35,11.8
2024-01-01 12:15:00,190.71,21.53,11.14
2024-01-01 12:30:00,186.75,16.79,9.68
2024-01-01 12:45:00,190.43,19.42,5.07
2024-01-01 13:00:00,199.22,20.22,5.46
2024-01-01 13:15:00,200.45,22.07,6.61
2024-01-01 13:30:00,187.89,20.11,8.24
2024-01-01 13:45:00,173.07,19.03,12.6
2024-01-01 14:00:00,187.64,21.13,11.71
2024-01-01 14:15:00,191.87,20.6,15.86
2024-01-01 14:30:00,182.51,17.12,15.3
2024-01-01 14:45:00,182.67,18.14,14.86
2024-01-01 15:00:00,149.94,18.91,18.36
2024-01-01 15:15:00,181.8,21.76,15.41
2024-01-01 15:30:00,159.79,16.27,21.37
2024-01-01 15:45:00,167.22,16.06,21.22
2024-01-01 16:00:00,194.51,14.3,17.46
2024-01-01 16:15:00,148.97,17.77,17.34
2024-01-01 16:30:00,168.32,16.9,14.51
2024-01-01 16:45:00,154.75,11.14,12.54
2024-01-01 17:00:00,152.54,8.2,14.04
2024-01-01 17:15:00,158.92,10.46,15.86
2024-01-01 17:30:00,134.44,6.99,13.46
2024-01-01 17:45:00,144.59,4.83,14.38
2024-01-01 18:00:00,136.93,4.52,14.38
2024-01-01 18:15:00,105.11,2.49,13.16
2024-01-01 18:30:00,116.69,1.15,12.78
2024-01-01 18:45:00,124.63,1.79,13.05
2024-01-01 19:00:00,107.01,0.0,12.13
2024-01-01 19:15:00,100.75,0.0,11.78
2024-01-01 19:30:00,103.12,0.0,14.54
2024-01-01 19:45:00,114.33,2.99,13.87
2024-01-01 20:00:00,114.26,1.28,16.08
2024-01-01 20:15:00,98.8,2.32,16.56
2024-01-01 20:30:00,71.51,1.41,13.13
2024-01-01 20:45:00,76.59,0.0,15.85
2024-01-01 21:00:00,73.64,0.0,14.29
2024-01-01 21:15:00,70.53,0.0,11.96
2024-01-01 21:30:00,87.3,0.72,12.58
2024-01-01 21:45:00,73.9,0.83,10.48
2024-01-01 22:00:00,60.56,3.65,9.61
2024-01-01 22:15:00,81.82,0.0,10.4
2024-01-01 22:30:00,47.77,0.47,9.68
2024-01-01 22:45:00,53.62,1.62,13.98
2024-01-01 23:00:00,48.33,0.0,14.33
2024-01-01 23:15:00,71.19,1.4,13.87
2024-01-01 23:30:00,52.28,0.34,14.96
2024-01-01 23:45:00,54.45,3.21,11.78
2024-01-02 00:00:00,37.35,0.0,11.29
2024-01-02 00:15:00,50.74,0.0,11.76
2024-01-02 00:30:00,38.23,0.41,8.74
2024-01-02 00:45:00,61.11,0.0,6.3
2024-01-02 01:00:00,39.17,0.0,5.83
2024-01-02 01:15:00,50.97,0.0,5.77
2024-01-02 01:30:00,49.44,0.0,7.53
2024-01-02 01:45:00,27.15,4.17,10.69
2024-01-02 02:00:00,41.57,0.0,11.63
2024-01-02 02:15:00,44.15,0.0,12.67
2024-01-02 02:30:00,45.83,0.13,14.98
2024-01-02 02:45:00,43.73,0.0,10.85
2024-01-02 03:00:00,60.6,1.92,9.55
2024-01-02 03:15:00,89.32,0.52,8.63
2024-01-02 03:30:00,73.74,1.88,8.1
2024-01-02 03:45:00,75.61,0.0,9.76
2024-01-02 04:00:00,73.57,1.22,8.17
2024-01-02 04:15:00,56.24,0.0,9.42
2024-01-02 04:30:00,101.06,0.0,7.83
2024-01-02 04:45:00,106.02,0.0,9.35
2024-01-02 05:00:00,104.83,0.83,15.17
2024-01-02 05:15:00,88.37,1.73,12.6
2024-01-02 05:30:00,108.97,0.0,12.33
2024-01-02 05:45:00,105.5,1.34,10.57
2024-01-02 06:00:00,120.3,0.0,5.97
2024-01-02 06:15:00,121.15,2.13,9.9
2024-01-02 06:30:00,111.68,0.0,9.82
2024-01-02 06:45:00,129.09,0.0,8.77
2024-01-02 07:00:00,116.91,0.0,11.46
2024-01-02 07:15:00,122.18,2.2,9.01
2024-01-02 07:30:00,142.11,3.67,12.69
2024-01-02 07:45:00,145.37,3.21,13.84
2024-01-02 08:00:00,128.82,6.67,16.64
2024-01-02 08:15:00,146.98,5.32,15.15
2024-01-02 08:30:00,133.64,4.93,14.79
2024-01-02 08:45:00,153.71,7.46,13.27
2024-01-02 09:00:00,163.35,11.92,7.32
2024-01-02 09:15:00,158.94,13.47,8.25
2024-01-02 09:30:00,196.27,13.24,6.71
2024-01-02 09:45:00,171.93,11.67,10.82
2024-01-02 10:00:00,174.62,12.66,13.72
2024-01-02 10:15:00,167.7,14.37,13.77
2024-01-02 10:30:00,168.51,18.96,14.74
2024-01-02 10:45:00,180.63,20.35,12.62
2024-01-02 11:00:00,186.07,18.26,15.19
2024-01-02 11:15:00,187.21,15.33,15.38
2024-01-02 11:30:00,178.11,18.06,13.76
2024-01-02 11:45:00,224.93,17.49,13.33
2024-01-02 12:00:00,217.37,19.68,8.63
2024-01-02 12:15:00,191.15,22.79,10.64
2024-01-02 12:30:00,189.61,23.08,11.94
2024-01-02 12:45:00,170.67,22.35,12.45
2024-01-02 13:00:00,183.73,21.08,15.42
2024-01-02 13:15:00,200.72,19.08,12.33
2024-01-02 13:30:00,198.95,22.71,12.93
2024-01-02 13:45:00,176.32,18.55,14.42
2024-01-02 14:00:00,190.26,16.1,13.19
2024-01-02 14:15:00,182.92,17.52,13.36
2024-01-02 14:30:00,174.11,15.75,9.53
2024-01-02 14:45:00,175.63,17.21,6.58
2024-01-02 15:00:00,201.71,19.15,5.55
2024-01-02 15:15:00,180.32,15.56,8.12
2024-01-02 15:30:00,169.46,12.78,10.16
2024-01-02 15:45:00,167.92,15.64,10.79
2024-01-02 16:00:00,186.57,14.0,13.07
2024-01-02 16:15:00,164.03,14.57,12.88
2024-01-02 16:30:00,177.96,7.13,11.87
2024-01-02 16:45:00,147.96,7.56,12.69
2024-01-02 17:00:00,146.87,9.25,12.17
