timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,133.24,0.0,52.67
2024-01-01 00:15:00,144.28,0.0,89.38
2024-01-01 00:30:00,107.8,0.0,82.11
2024-01-01 00:45:00,84.84,0.0,81.53
2024-01-01 01:00:00,126.38,0.0,82.22
2024-01-01 01:15:00,123.51,0.0,69.03
2024-01-01 01:30:00,89.76,0.0,74.52
2024-01-01 01:45:00,81.14,5.51,89.69
2024-01-01 02:00:00,121.46,3.93,84.72
2024-01-01 02:15:00,74.91,2.57,102.76
2024-01-01 02:30:00,137.15,0.0,98.9
2024-01-01 02:45:00,136.28,0.0,86.22
2024-01-01 03:00:00,148.86,0.0,74.45
2024-01-01 03:15:00,197.18,0.15,53.89
2024-01-01 03:30:00,133.58,4.0,48.64
2024-01-01 03:45:00,138.1,0.28,50.72
2024-01-01 04:00:00,166.0,0.0,77.14
2024-01-01 04:15:00,136.04,1.35,78.12
2024-01-01 04:30:00,174.49,0.0,85.01
2024-01-01 04:45:00,185.21,0.0,76.51
2024-01-01 05:00:00,187.36,0.59,79.67
2024-01-01 05:15:00,194.38,1.38,85.67
2024-01-01 05:30:00,245.78,0.0,84.77
2024-01-01 05:45:00,228.71,0.0,88.12
2024-01-01 06:00:00,290.96,0.0,99.12
2024-01-01 06:15:00,244.48,3.55,75.15
2024-01-01 06:30:00,258.85,2.03,68.96
2024-01-01 06:45:00,241.06,2.13,65.48
2024-01-01 07:00:00,263.27,0.0,29.02
2024-01-01 07:15:00,324.38,2.27,45.27
2024-01-01 07:30:00,296.19,1.85,51.93
2024-01-01 07:45:00,314.81,5.71,36.27
2024-01-01 08:00:00,326.72,11.75,58.12
2024-01-01 08:15:00,314.25,12.08,80.35
2024-01-01 08:30:00,332.09,13.96,76.49
2024-01-01 08:45:00,359.45,9.53,108.75
2024-01-01 09:00:00,354.77,9.38,95.14
2024-01-01 09:15:00,318.32,25.56,75.04
2024-01-01 09:30:00,370.43,15.65,67.55
2024-01-01 09:45:00,394.23,19.55,43.41
2024-01-01 10:00:00,380.47,28.68,75.49
2024-01-01 10:15:00,387.91,22.44,77.76
2024-01-01 10:30:00,365.37,24.44,91.15
2024-01-01 10:45:00,383.09,26.3,108.23
2024-01-01 11:00:00,350.31,21.37,64.36
2024-01-01 11:15:00,389.65,30.39,74.8
2024-01-01 11:30:00,408.72,26.71,74.75
2024-01-01 11:45:00,410.26,27.96,81.67
2024-01-01 12:00:00,382.15,31.56,85.71
2024-01-01 12:15:00,402.22,29.27,73.07
2024-01-01 12:30:00,368.33,34.51,62.15
2024-01-01 12:45:00,405.08,35.25,43.79
2024-01-01 13:00:00,416.14,30.93,68.67
2024-01-01 13:15:00,386.4,33.88,62.11
2024-01-01 13:30:00,390.14,29.93,60.23
2024-01-01 13:45:00,394.27,26.71,54.95
2024-01-01 14:00:00,380.64,27.62,50.48
2024-01-01 14:15:00,397.19,27.38,66.68
2024-01-01 14:30:00,397.62,26.42,83.83
2024-01-01 14:45:00,333.76,29.82,108.87
2024-01-01 15:00:00,351.79,25.23,99.23
2024-01-01 15:15:00,386.89,29.39,99.14
2024-01-01 15:30:00,339.45,26.62,90.48
2024-01-01 15:45:00,386.39,25.95,87.54
2024-01-01 16:00:00,348.86,22.81,101.26
2024-01-01 16:15:00,376.68,22.12,87.29
2024-01-01 16:30:00,301.83,17.66,89.33
2024-01-01 16:45:00,263.33,15.24,82.94
2024-01-01 17:00:00,299.25,13.76,88.17
2024-01-01 17:15:00,265.1,11.36,103.31
2024-01-01 17:30:00,277.6,20.69,108.49
2024-01-01 17:45:00,267.58,14.22,104.02
2024-01-01 18:00:00,265.97,10.49,102.47
2024-01-01 18:15:00,234.91,7.83,104.24
2024-01-01 18:30:00,254.16,2.86,107.41
2024-01-01 18:45:00,215.0,0.0,99.22
2024-01-01 19:00:00,252.82,0.0,84.77
2024-01-01 19:15:00,205.84,0.0,61.82
2024-01-01 19:30:00,217.33,2.95,49.04
2024-01-01 19:45:00,177.66,0.0,41.74
2024-01-01 20:00:00,182.26,2.18,42.88
2024-01-01 20:15:00,224.29,0.0,50.1
2024-01-01 20:30:00,161.41,2.66,64.68
2024-01-01 20:45:00,154.61,2.13,70.79
2024-01-01 21:00:00,160.04,1.97,79.21
2024-01-01 21:15:00,131.51,0.0,88.13
2024-01-01 21:30:00,126.24,1.26,76.92
2024-01-01 21:45:00,159.9,0.0,87.29
2024-01-01 22:00:00,111.71,0.0,58.52
2024-01-01 22:15:00,147.29,0.0,70.44
2024-01-01 22:30:00,106.03,1.23,78.08
2024-01-01 22:45:00,102.53,1.23,75.57
2024-01-01 23:00:00,134.95,0.0,99.87
2024-01-01 23:15:00,94.54,1.24,84.87
2024-01-01 23:30:00,79.18,6.54,76.5
2024-01-01 23:45:00,79.82,1.1,81.57
2024-01-02 00:00:00,63.75,6.18,68.94
2024-01-02 00:15:00,82.01,2.72,73.57
2024-01-02 00:30:00,49.54,0.0,75.88
2024-01-02 00:45:00,92.73,0.0,71.71
2024-01-02 01:00:00,62.71,0.0,97.88
2024-01-02 01:15:00,97.73,0.0,94.72
2024-01-02 01:30:00,121.57,0.0,112.88
2024-01-02 01:45:00,103.6,1.83,112.51
2024-01-02 02:00:00,115.81,0.0,108.86
2024-01-02 02:15:00,170.88,0.0,106.24
2024-01-02 02:30:00,97.72,0.0,89.86
2024-01-02 02:45:00,144.31,3.63,100.83
2024-01-02 03:00:00,131.56,1.22,93.83
2024-01-02 03:15:00,125.69,3.35,97.89
2024-01-02 03:30:00,93.04,1.92,92.24
2024-01-02 03:45:00,135.63,0.0,78.53
2024-01-02 04:00:00,141.7,5.86,68.91
2024-01-02 04:15:00,178.01,0.67,84.76
2024-01-02 04:30:00,168.05,3.07,87.62
2024-01-02 04:45:00,181.35,3.47,101.33
2024-01-02 05:00:00,195.24,2.7,105.2
2024-01-02 05:15:00,184.14,0.0,93.12
2024-01-02 05:30:00,236.34,3.08,99.42
2024-01-02 05:45:00,257.04,4.2,107.42
2024-01-02 06:00:00,239.22,1.5,110.17
2024-01-02 06:15:00,234.38,0.0,109.47
2024-01-02 06:30:00,193.74,0.0,90.63
2024-01-02 06:45:00,242.15,0.43,75.13
2024-01-02 07:00:00,276.26,1.08,69.0
2024-01-02 07:15:00,265.92,0.31,66.64
2024-01-02 07:30:00,324.71,1.59,73.34
2024-01-02 07:45:00,319.26,7.12,64.12
