timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,37.0,0.0,9.05
2024-01-01 00:15:00,38.1,0.0,7.16
2024-01-01 00:30:00,67.09,0.0,6.49
2024-01-01 00:45:00,41.43,0.0,5.46
2024-01-01 01:00:00,47.44,0.0,4.75
2024-01-01 01:15:00,52.63,0.0,4.48
2024-01-01 01:30:00,39.53,0.93,5.8
2024-01-01 01:45:00,51.57,0.05,5.25
2024-01-01 02:00:00,75.39,0.0,4.13
2024-01-01 02:15:00,47.22,0.0,4.53
2024-01-01 02:30:00,61.57,0.0,4.61
2024-01-01 02:45:00,70.07,0.0,5.4
2024-01-01 03:00:00,60.56,0.0,6.6
2024-01-01 03:15:00,66.77,0.56,5.93
2024-01-01 03:30:00,73.81,0.0,4.24
2024-01-01 03:45:00,79.62,0.0,5.39
2024-01-01 04:00:00,87.15,0.27,5.93
2024-01-01 04:15:00,100.64,0.0,6.32
2024-01-01 04:30:00,81.83,0.03,6.73
2024-01-01 04:45:00,113.52,0.19,4.96
2024-01-01 05:00:00,103.83,0.39,5.66
2024-01-01 05:15:00,113.56,0.0,5.69
2024-01-01 05:30:00,94.04,0.0,6.08
2024-01-01 05:45:00,88.34,0.61,7.38
2024-01-01 06:00:00,119.94,1.04,5.82
2024-01-01 06:15:00,99.19,1.07,6.09
2024-01-01 06:30:00,157.07,0.39,6.79
2024-01-01 06:45:00,129.5,0.27,7.17
2024-01-01 07:00:00,127.85,1.63,7.27
2024-01-01 07:15:00,143.18,0.0,7.68
2024-01-01 07:30:00,154.98,3.36,6.64
2024-01-01 07:45:00,137.82,3.14,7.08
2024-01-01 08:00:00,141.68,4.95,6.93
2024-01-01 08:15:00,161.41,6.5,6.53
2024-01-01 08:30:00,139.95,5.5,5.94
2024-01-01 08:45:00,179.05,6.1,5.25
2024-01-01 09:00:00,145.5,6.78,6.49
2024-01-01 09:15:00,164.26,7.11,6.49
2024-01-01 09:30:00,170.37,8.56,6.74
2024-01-01 09:45:00,177.57,12.79,7.68
2024-01-01 10:00:00,185.25,9.14,5.92
2024-01-01 10:15:00,149.47,12.88,5.28
2024-01-01 10:30:00,194.72,14.69,5.26
2024-01-01 10:45:00,187.15,13.1,5.52
2024-01-01 11:00:00,204.56,14.92,6.14
2024-01-01 11:15:00,185.15,13.82,7.38
2024-01-01 11:30:00,183.67,16.07,6.8
2024-01-01 11:45:00,214.84,16.42,5.17
2024-01-01 12:00:00,217.04,16.01,5.79
2024-01-01 12:15:00,198.77,14.85,5.82
2024-01-01 12:30:00,192.24,15.71,7.34
2024-01-01 12:45:00,187.9,15.95,6.9
2024-01-01 13:00:00,193.8,14.24,6.86
2024-01-01 13:15:00,194.55,19.45,6.18
2024-01-01 13:30:00,167.14,16.81,5.03
2024-01-01 13:45:00,193.21,13.88,6.02
2024-01-01 14:00:00,190.98,16.03,6.31
2024-01-01 14:15:00,172.83,15.86,6.56
2024-01-01 14:30:00,192.43,14.0,7.0
2024-01-01 14:45:00,182.72,12.45,6.77
2024-01-01 15:00:00,182.58,11.62,5.85
2024-01-01 15:15:00,153.3,13.24,5.14
2024-01-01 15:30:00,183.02,10.34,6.11
2024-01-01 15:45:00,176.78,9.72,4.23
2024-01-01 16:00:00,151.6,8.53,4.54
2024-01-01 16:15:00,145.8,11.34,5.33
2024-01-01 16:30:00,145.39,9.01,4.8
2024-01-01 16:45:00,124.56,8.76,4.63
2024-01-01 17:00:00,142.28,8.67,3.83
2024-01-01 17:15:00,117.35,7.36,3.99
2024-01-01 17:30:00,135.33,6.93,3.53
2024-01-01 17:45:00,126.1,6.37,4.73
2024-01-01 18:00:00,106.82,4.49,4.72
2024-01-01 18:15:00,133.89,3.59,4.18
2024-01-01 18:30:00,129.47,2.48,4.6
2024-01-01 18:45:00,115.87,2.81,6.0
2024-01-01 19:00:00,108.0,0.0,7.17
2024-01-01 19:15:00,92.07,0.74,7.25
2024-01-01 19:30:00,82.88,1.44,6.9
2024-01-01 19:45:00,112.32,0.0,7.55
2024-01-01 20:00:00,91.01,2.6,7.09
2024-01-01 20:15:00,90.57,0.0,8.13
2024-01-01 20:30:00,98.81,1.05,8.53
2024-01-01 20:45:00,90.43,1.32,7.28
2024-01-01 21:00:00,79.16,0.67,5.46
2024-01-01 21:15:00,58.16,0.0,2.88
2024-01-01 21:30:00,70.46,0.16,3.32
2024-01-01 21:45:00,59.6,0.4,4.07
2024-01-01 22:00:00,77.27,0.0,5.29
2024-01-01 22:15:00,39.83,0.74,6.11
2024-01-01 22:30:00,31.7,0.17,4.77
2024-01-01 22:45:00,67.03,0.44,4.5
2024-01-01 23:00:00,18.82,0.0,4.15
2024-01-01 23:15:00,55.11,2.75,4.74
2024-01-01 23:30:00,43.1,0.69,5.06
2024-01-01 23:45:00,39.72,1.57,4.87
2024-01-02 00:00:00,49.65,1.87,6.17
2024-01-02 00:15:00,52.13,1.35,7.1
2024-01-02 00:30:00,59.18,0.0,7.34
2024-01-02 00:45:00,45.12,0.0,6.21
2024-01-02 01:00:00,49.79,0.0,4.37
2024-01-02 01:15:00,42.45,2.33,4.04
2024-01-02 01:30:00,71.03,0.08,3.92
2024-01-02 01:45:00,58.79,0.0,5.24
2024-01-02 02:00:00,73.68,0.0,6.54
2024-01-02 02:15:00,45.29,1.89,6.15
2024-01-02 02:30:00,47.92,1.75,6.28
2024-01-02 02:45:00,69.58,0.0,6.06
2024-01-02 03:00:00,50.4,0.0,6.25
2024-01-02 03:15:00,60.05,0.0,5.79
2024-01-02 03:30:00,64.07,0.0,5.5
2024-01-02 03:45:00,76.87,0.0,4.95
2024-01-02 04:00:00,82.21,0.0,5.39
2024-01-02 04:15:00,88.8,0.0,4.63
2024-01-02 04:30:00,93.23,0.29,4.98
2024-01-02 04:45:00,101.92,0.82,5.11
2024-01-02 05:00:00,72.89,0.45,5.33
2024-01-02 05:15:00,93.22,1.59,5.33
2024-01-02 05:30:00,113.25,0.0,6.56
2024-01-02 05:45:00,131.52,0.0,7.7
2024-01-02 06:00:00,108.65,0.23,8.01
2024-01-02 06:15:00,141.15,0.75,10.64
2024-01-02 06:30:00,129.64,0.0,8.15
2024-01-02 06:45:00,132.03,1.68,6.04
2024-01-02 07:00:00,148.79,0.0,6.47
2024-01-02 07:15:00,146.77,0.0,5.54
2024-01-02 07:30:00,141.69,0.0,7.6
2024-01-02 07:45:00,156.94,3.9,7.76
2024-01-02 08:00:00,138.95,4.28,6.15
2024-01-02 08:15:00,149.68,4.4,4.75
2024-01-02 08:30:00,181.16,6.94,4.44
2024-01-02 08:45:00,155.4,6.58,5.54
2024-01-02 09:00:00,175.07,5.13,5.15
2024-01-02 09:15:00,185.33,8.02,6.12
2024-01-02 09:30:00,180.11,12.68,5.02
2024-01-02 09:45:00,184.45,8.98,5.78
2024-01-02 10:00:00,192.28,10.08,7.1
2024-01-02 10:15:00,191.96,13.53,7.71
2024-01-02 10:30:00,166.55,11.86,8.75
2024-01-02 10:45:00,202.4,10.43,7.68
2024-01-02 11:00:00,199.29,13.74,7.29
2024-01-02 11:15:00,190.72,14.9,7.41
2024-01-02 11:30:00,187.92,13.23,7.4
2024-01-02 11:45:00,183.57,17.35,8.96
2024-01-02 12:00:00,208.01,13.64,9.0
2024-01-02 12:15:00,186.02,17.19,8.24
2024-01-02 12:30:00,197.11,14.4,7.67
2024-01-02 12:45:00,185.76,18.78,5.79
2024-01-02 13:00:00,180.3,16.42,6.32
2024-01-02 13:15:00,172.41,16.0,5.85
2024-01-02 13:30:00,199.0,16.32,5.92
2024-01-02 13:45:00,160.66,14.05,6.21
2024-01-02 14:00:00,170.43,14.1,5.41
2024-01-02 14:15:00,185.53,16.99,6.35
2024-01-02 14:30:00,154.73,14.62,6.42
2024-01-02 14:45:00,176.12,15.64,6.0
