timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,103.73,0.0,13.25
2024-01-01 00:15:00,159.33,0.38,14.52
2024-01-01 00:30:00,123.54,1.55,14.98
2024-01-01 00:45:00,129.13,0.0,15.07
2024-01-01 01:00:00,133.46,0.0,13.37
2024-01-01 01:15:00,157.71,0.0,12.58
2024-01-01 01:30:00,166.43,0.0,12.83
2024-01-01 01:45:00,117.91,0.0,10.03
2024-01-01 02:00:00,203.51,2.33,12.18
2024-01-01 02:15:00,208.1,0.0,10.89
2024-01-01 02:30:00,199.51,0.0,9.57
2024-01-01 02:45:00,194.95,2.81,11.89
2024-01-01 03:00:00,199.97,0.0,8.41
2024-01-01 03:15:00,199.52,0.34,9.47
2024-01-01 03:30:00,194.75,0.6,7.51
2024-01-01 03:45:00,245.54,0.46,6.55
2024-01-01 04:00:00,237.87,1.35,7.53
2024-01-01 04:15:00,326.73,3.42,5.82
2024-01-01 04:30:00,266.23,1.61,5.94
2024-01-01 04:45:00,249.33,0.0,7.73
2024-01-01 05:00:00,288.61,0.0,12.11
2024-01-01 05:15:00,319.48,1.27,13.98
2024-01-01 05:30:00,239.18,0.48,14.73
2024-01-01 05:45:00,317.88,0.0,13.56
2024-01-01 06:00:00,293.1,0.0,12.43
2024-01-01 06:15:00,297.37,0.0,9.79
2024-01-01 06:30:00,375.85,0.0,12.55
2024-01-01 06:45:00,343.04,0.0,11.73
2024-01-01 07:00:00,369.62,0.0,12.06
2024-01-01 07:15:00,321.82,0.0,15.78
2024-01-01 07:30:00,360.76,2.46,11.74
2024-01-01 07:45:00,429.79,9.47,11.54
2024-01-01 08:00:00,372.21,5.93,9.93
2024-01-01 08:15:00,349.83,11.18,8.54
2024-01-01 08:30:00,423.74,10.9,11.11
2024-01-01 08:45:00,438.43,13.05,12.38
2024-01-01 09:00:00,404.23,9.65,11.55
2024-01-01 09:15:00,409.5,15.26,9.07
2024-01-01 09:30:00,532.18,18.94,8.74
2024-01-01 09:45:00,447.66,16.32,9.09
2024-01-01 10:00:00,396.35,18.98,10.67
