timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,108.23,0.0,13.88
2024-01-01 00:15:00,93.31,6.62,12.27
2024-01-01 00:30:00,103.39,1.84,10.54
2024-01-01 00:45:00,132.4,2.76,10.35
2024-01-01 01:00:00,92.57,0.0,8.1
2024-01-01 01:15:00,105.38,0.0,9.27
2024-01-01 01:30:00,131.65,0.0,10.79
2024-01-01 01:45:00,143.35,0.8,13.34
2024-01-01 02:00:00,164.45,0.0,13.75
2024-01-01 02:15:00,198.73,1.11,12.88
2024-01-01 02:30:00,200.54,5.75,12.14
2024-01-01 02:45:00,134.69,5.86,9.65
2024-01-01 03:00:00,142.0,5.79,10.1
2024-01-01 03:15:00,193.13,4.19,13.82
2024-01-01 03:30:00,172.53,0.0,11.34
2024-01-01 03:45:00,163.75,0.0,12.62
2024-01-01 04:00:00,186.39,3.77,15.53
2024-01-01 04:15:00,220.48,0.0,13.03
2024-01-01 04:30:00,256.81,0.19,19.62
2024-01-01 04:45:00,215.56,0.96,17.85
2024-01-01 05:00:00,213.87,0.0,15.98
2024-01-01 05:15:00,233.33,0.0,14.54
2024-01-01 05:30:00,213.98,3.22,12.01
2024-01-01 05:45:00,237.68,4.09,14.17
2024-01-01 06:00:00,292.2,3.03,15.92
2024-01-01 06:15:00,307.45,1.15,16.62
2024-01-01 06:30:00,286.96,0.0,14.69
2024-01-01 06:45:00,321.84,0.8,12.75
2024-01-01 07:00:00,338.32,4.56,11.38
2024-01-01 07:15:00,273.33,4.38,9.46
2024-01-01 07:30:00,304.16,0.76,12.45
2024-01-01 07:45:00,290.0,6.57,12.68
2024-01-01 08:00:00,315.41,7.53,13.09
2024-01-01 08:15:00,360.99,8.86,14.9
2024-01-01 08:30:00,369.82,11.25,12.67
2024-01-01 08:45:00,352.58,14.07,12.05
2024-01-01 09:00:00,417.7,22.23,11.03
2024-01-01 09:15:00,369.03,17.91,9.54
2024-01-01 09:30:00,332.97,21.48,8.86
2024-01-01 09:45:00,473.61,24.39,9.5
2024-01-01 10:00:00,427.73,21.94,10.74
2024-01-01 10:15:00,357.63,30.09,11.87
2024-01-01 10:30:00,341.48,31.22,11.84
