timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,145.15,3.33,6.0
2024-01-01 00:15:00,181.62,0.33,7.81
2024-01-01 00:30:00,98.48,0.0,8.36
2024-01-01 00:45:00,113.6,0.0,7.35
2024-01-01 01:00:00,103.16,0.0,8.95
2024-01-01 01:15:00,180.63,0.0,8.61
2024-01-01 01:30:00,66.82,0.91,8.32
2024-01-01 01:45:00,110.87,0.99,9.93
2024-01-01 02:00:00,129.25,2.38,8.94
2024-01-01 02:15:00,108.2,0.0,10.68
2024-01-01 02:30:00,61.57,1.99,11.23
2024-01-01 02:45:00,185.54,0.0,11.51
2024-01-01 03:00:00,164.99,3.01,13.06
2024-01-01 03:15:00,255.19,0.0,10.96
2024-01-01 03:30:00,212.73,0.0,10.57
2024-01-01 03:45:00,244.86,0.0,10.09
2024-01-01 04:00:00,245.49,1.65,10.29
2024-01-01 04:15:00,261.2,1.9,12.19
2024-01-01 04:30:00,269.04,0.0,11.69
2024-01-01 04:45:00,221.17,3.65,12.33
2024-01-01 05:00:00,251.19,0.0,9.19
2024-01-01 05:15:00,242.85,0.76,7.39
2024-01-01 05:30:00,301.6,0.53,8.06
2024-01-01 05:45:00,279.19,0.0,5.96
2024-01-01 06:00:00,334.71,0.45,6.49
2024-01-01 06:15:00,326.17,2.13,7.56
2024-01-01 06:30:00,281.4,0.0,7.21
2024-01-01 06:45:00,362.7,0.0,8.74
2024-01-01 07:00:00,381.0,0.0,9.05
2024-01-01 07:15:00,394.47,7.36,6.75
2024-01-01 07:30:00,380.22,0.86,8.1
2024-01-01 07:45:00,455.44,3.97,6.3
2024-01-01 08:00:00,438.37,8.61,4.17
2024-01-01 08:15:00,415.57,5.96,6.32
2024-01-01 08:30:00,369.58,9.93,5.42
2024-01-01 08:45:00,451.12,13.48,8.42
2024-01-01 09:00:00,389.51,12.26,11.18
2024-01-01 09:15:00,543.09,12.59,11.6
2024-01-01 09:30:00,424.96,16.68,12.77
2024-01-01 09:45:00,457.53,18.7,11.99
2024-01-01 10:00:00,467.36,17.07,8.36
2024-01-01 10:15:00,468.22,22.37,6.9
2024-01-01 10:30:00,539.37,18.75,7.11
2024-01-01 10:45:00,521.62,22.57,6.35
2024-01-01 11:00:00,513.78,23.55,10.0
2024-01-01 11:15:00,521.92,22.64,10.66
2024-01-01 11:30:00,495.49,20.32,9.34
2024-01-01 11:45:00,501.7,25.82,10.44
2024-01-01 12:00:00,562.56,22.88,10.3
2024-01-01 12:15:00,534.09,26.86,10.35
2024-01-01 12:30:00,498.78,24.21,7.23
2024-01-01 12:45:00,505.17,26.2,6.39
2024-01-01 13:00:00,453.41,22.46,7.92
2024-01-01 13:15:00,533.26,23.62,8.63
2024-01-01 13:30:00,467.32,29.53,11.33
2024-01-01 13:45:00,556.77,25.58,13.56
2024-01-01 14:00:00,488.77,19.57,12.82
2024-01-01 14:15:00,514.32,27.8,11.41
2024-01-01 14:30:00,520.18,19.03,13.44
2024-01-01 14:45:00,477.82,26.74,12.46
2024-01-01 15:00:00,419.68,20.66,12.83
2024-01-01 15:15:00,453.34,22.56,13.74
2024-01-01 15:30:00,489.13,14.74,11.61
2024-01-01 15:45:00,410.45,17.32,9.49
2024-01-01 16:00:00,461.25,21.69,9.01
2024-01-01 16:15:00,414.56,19.38,9.44
2024-01-01 16:30:00,405.8,14.64,8.47
2024-01-01 16:45:00,391.01,19.45,9.55
2024-01-01 17:00:00,356.99,15.12,8.75
2024-01-01 17:15:00,376.73,11.91,8.48
2024-01-01 17:30:00,380.49,12.58,10.58
2024-01-01 17:45:00,349.16,9.56,9.68
2024-01-01 18:00:00,334.97,8.78,13.08
2024-01-01 18:15:00,281.07,4.22,9.86
2024-01-01 18:30:00,358.31,5.35,9.5
2024-01-01 18:45:00,311.62,2.51,8.56
2024-01-01 19:00:00,287.32,3.32,5.6
2024-01-01 19:15:00,272.51,3.18,8.25
2024-01-01 19:30:00,294.64,0.9,6.83
2024-01-01 19:45:00,270.18,6.47,8.17
2024-01-01 20:00:00,237.63,0.28,6.99
2024-01-01 20:15:00,291.71,0.0,6.39
2024-01-01 20:30:00,193.45,2.85,9.69
2024-01-01 20:45:00,190.62,0.0,8.2
2024-01-01 21:00:00,191.33,1.15,10.19
2024-01-01 21:15:00,157.25,2.58,8.57
2024-01-01 21:30:00,143.78,1.83,5.55
2024-01-01 21:45:00,158.64,0.0,6.87
2024-01-01 22:00:00,149.5,1.91,4.04
2024-01-01 22:15:00,128.52,0.0,5.48
2024-01-01 22:30:00,144.93,0.0,7.53
2024-01-01 22:45:00,122.48,0.43,6.53
2024-01-01 23:00:00,171.46,0.88,8.39
2024-01-01 23:15:00,145.41,0.0,9.2
2024-01-01 23:30:00,79.95,0.0,8.63
2024-01-01 23:45:00,54.46,0.0,9.86
2024-01-02 00:00:00,106.43,0.0,8.55
2024-01-02 00:15:00,172.34,4.5,9.73
2024-01-02 00:30:00,110.83,1.07,10.72
2024-01-02 00:45:00,106.34,0.8,11.99
2024-01-02 01:00:00,87.19,4.59,13.51
2024-01-02 01:15:00,85.15,0.0,12.88
2024-01-02 01:30:00,154.99,0.0,10.48
2024-01-02 01:45:00,130.75,0.0,7.85
2024-01-02 02:00:00,129.15,0.0,7.27
2024-01-02 02:15:00,129.35,0.0,5.72
2024-01-02 02:30:00,211.98,2.45,6.03
2024-01-02 02:45:00,140.1,2.79,10.75
2024-01-02 03:00:00,115.28,0.0,10.54
2024-01-02 03:15:00,192.09,0.58,13.89
2024-01-02 03:30:00,194.22,0.0,16.36
2024-01-02 03:45:00,186.95,0.0,12.55
2024-01-02 04:00:00,183.94,0.22,11.43
2024-01-02 04:15:00,180.24,1.14,9.32
2024-01-02 04:30:00,184.08,0.0,7.21
2024-01-02 04:45:00,260.74,1.2,9.16
2024-01-02 05:00:00,273.41,0.0,10.22
2024-01-02 05:15:00,224.12,0.0,7.83
2024-01-02 05:30:00,315.15,3.69,7.19
2024-01-02 05:45:00,314.0,0.0,3.13
2024-01-02 06:00:00,299.53,0.0,2.0
2024-01-02 06:15:00,293.71,0.0,2.2
2024-01-02 06:30:00,276.71,2.28,2.94
2024-01-02 06:45:00,339.31,2.01,6.66
2024-01-02 07:00:00,356.77,0.0,9.35
2024-01-02 07:15:00,384.37,0.77,11.92
2024-01-02 07:30:00,421.71,4.79,11.93
2024-01-02 07:45:00,391.21,5.61,9.13
2024-01-02 08:00:00,438.76,5.43,8.36
2024-01-02 08:15:00,407.82,4.38,8.32
2024-01-02 08:30:00,414.86,9.49,8.58
2024-01-02 08:45:00,437.2,11.07,9.0
2024-01-02 09:00:00,439.8,14.8,8.59
2024-01-02 09:15:00,489.56,16.4,7.18
2024-01-02 09:30:00,493.17,14.46,6.18
2024-01-02 09:45:00,526.48,12.29,5.6
2024-01-02 10:00:00,491.03,19.6,6.59
2024-01-02 10:15:00,433.76,22.07,8.3
2024-01-02 10:30:00,530.49,22.04,8.34
2024-01-02 10:45:00,504.2,16.72,11.48
2024-01-02 11:00:00,520.19,22.94,10.62
2024-01-02 11:15:00,553.22,21.16,8.32
2024-01-02 11:30:00,497.28,24.25,10.85
2024-01-02 11:45:00,535.66,23.75,7.76
2024-01-02 12:00:00,462.69,24.58,8.58
2024-01-02 12:15:00,523.34,25.35,9.32
2024-01-02 12:30:00,516.06,24.5,5.35
2024-01-02 12:45:00,516.28,23.25,8.79
2024-01-02 13:00:00,533.6,27.14,9.04
2024-01-02 13:15:00,507.6,27.4,8.28
2024-01-02 13:30:00,509.26,25.86,11.32
2024-01-02 13:45:00,516.93,22.51,10.5
2024-01-02 14:00:00,534.34,25.87,10.16
2024-01-02 14:15:00,543.13,24.86,10.82
2024-01-02 14:30:00,459.44,25.62,9.6
2024-01-02 14:45:00,464.3,26.87,10.1
2024-01-02 15:00:00,475.22,22.44,8.18
2024-01-02 15:15:00,425.63,20.77,9.07
2024-01-02 15:30:00,481.83,23.92,10.16
2024-01-02 15:45:00,437.38,20.39,8.88
2024-01-02 16:00:00,391.31,16.65,9.7
2024-01-02 16:15:00,445.93,17.52,9.79
2024-01-02 16:30:00,445.91,13.85,9.55
2024-01-02 16:45:00,375.49,18.69,10.75
2024-01-02 17:00:00,410.79,8.06,15.02
2024-01-02 17:15:00,406.19,11.96,15.14
2024-01-02 17:30:00,341.38,12.38,13.24
2024-01-02 17:45:00,379.33,8.47,11.4
2024-01-02 18:00:00,302.43,7.35,10.19
