timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,89.3,0.0,3.69
2024-01-01 00:15:00,65.71,0.17,5.31
2024-01-01 00:30:00,113.0,0.0,6.42
2024-01-01 00:45:00,58.75,0.0,6.12
2024-01-01 01:00:00,46.98,0.0,8.08
2024-01-01 01:15:00,80.92,0.0,6.84
2024-01-01 01:30:00,75.51,0.0,5.82
2024-01-01 01:45:00,122.08,0.35,5.8
2024-01-01 02:00:00,90.98,0.12,6.61
2024-01-01 02:15:00,121.56,0.0,6.9
2024-01-01 02:30:00,89.64,0.0,6.31
2024-01-01 02:45:00,78.87,1.17,5.95
2024-01-01 03:00:00,115.69,0.0,4.67
2024-01-01 03:15:00,120.11,0.62,7.26
2024-01-01 03:30:00,121.48,0.0,8.21
2024-01-01 03:45:00,138.27,0.0,9.5
2024-01-01 04:00:00,147.16,0.0,8.12
2024-01-01 04:15:00,143.86,0.0,5.74
2024-01-01 04:30:00,131.01,1.54,5.32
2024-01-01 04:45:00,148.4,0.0,5.37
2024-01-01 05:00:00,94.79,0.0,6.4
2024-01-01 05:15:00,158.88,2.35,7.91
2024-01-01 05:30:00,167.54,0.0,8.56
2024-01-01 05:45:00,154.89,0.0,7.44
2024-01-01 06:00:00,186.88,0.29,7.0
2024-01-01 06:15:00,218.03,0.13,5.56
2024-01-01 06:30:00,198.62,0.0,5.38
2024-01-01 06:45:00,174.52,0.0,5.36
2024-01-01 07:00:00,169.27,0.66,5.1
2024-01-01 07:15:00,239.47,3.86,5.41
2024-01-01 07:30:00,206.36,2.75,6.29
2024-01-01 07:45:00,248.25,3.81,5.32
2024-01-01 08:00:00,279.61,4.07,6.63
2024-01-01 08:15:00,220.03,5.0,7.39
2024-01-01 08:30:00,277.45,4.48,6.95
2024-01-01 08:45:00,253.85,6.7,8.12
2024-01-01 09:00:00,274.89,7.24,6.59
2024-01-01 09:15:00,321.21,7.67,5.59
2024-01-01 09:30:00,253.01,11.84,6.05
2024-01-01 09:45:00,313.48,9.4,5.64
2024-01-01 10:00:00,329.4,11.14,6.09
2024-01-01 10:15:00,311.44,11.48,7.54
2024-01-01 10:30:00,274.72,10.67,6.24
2024-01-01 10:45:00,331.29,12.49,6.09
2024-01-01 11:00:00,337.86,14.13,5.05
2024-01-01 11:15:00,308.11,11.17,5.42
2024-01-01 11:30:00,295.51,15.47,5.72
2024-01-01 11:45:00,328.01,15.23,5.08
2024-01-01 12:00:00,358.23,16.46,7.63
2024-01-01 12:15:00,313.52,15.58,6.32
2024-01-01 12:30:00,318.66,17.1,6.59
2024-01-01 12:45:00,280.68,16.79,7.29
2024-01-01 13:00:00,317.67,16.84,6.38
2024-01-01 13:15:00,295.94,15.76,4.98
2024-01-01 13:30:00,312.42,11.48,4.25
2024-01-01 13:45:00,307.62,14.78,4.68
2024-01-01 14:00:00,291.27,15.77,3.82
2024-01-01 14:15:00,299.06,12.06,5.83
2024-01-01 14:30:00,315.98,13.59,5.63
2024-01-01 14:45:00,285.7,13.6,6.02
2024-01-01 15:00:00,318.85,13.29,7.1
2024-01-01 15:15:00,288.77,14.12,4.98
2024-01-01 15:30:00,292.95,10.54,6.04
2024-01-01 15:45:00,255.07,10.84,6.11
2024-01-01 16:00:00,258.12,12.16,3.57
2024-01-01 16:15:00,303.01,9.56,4.91
2024-01-01 16:30:00,272.15,8.39,4.17
2024-01-01 16:45:00,245.67,9.21,4.12
2024-01-01 17:00:00,211.84,6.85,4.96
