timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,32.68,0.0,20.14
2024-01-01 00:15:00,60.3,0.0,15.98
2024-01-01 00:30:00,52.45,0.0,14.3
2024-01-01 00:45:00,54.56,0.0,15.15
2024-01-01 01:00:00,59.8,0.0,15.23
2024-01-01 01:15:00,67.44,2.96,15.82
2024-01-01 01:30:00,68.07,0.0,18.56
2024-01-01 01:45:00,57.16,0.0,17.31
2024-01-01 02:00:00,56.3,0.0,14.87
2024-01-01 02:15:00,46.59,0.0,14.33
2024-01-01 02:30:00,48.59,0.0,10.33
2024-01-01 02:45:00,58.35,0.0,7.46
2024-01-01 03:00:00,81.18,1.28,9.24
2024-01-01 03:15:00,64.56,0.0,12.3
2024-01-01 03:30:00,75.71,0.0,14.24
2024-01-01 03:45:00,97.76,1.02,19.97
2024-01-01 04:00:00,96.74,0.0,17.76
2024-01-01 04:15:00,81.87,0.0,15.47
2024-01-01 04:30:00,100.16,0.0,16.29
2024-01-01 04:45:00,90.37,0.0,12.24
2024-01-01 05:00:00,117.36,0.0,12.57
2024-01-01 05:15:00,94.03,0.0,9.39
2024-01-01 05:30:00,95.96,1.49,8.96
2024-01-01 05:45:00,100.54,0.94,9.5
2024-01-01 06:00:00,118.39,0.0,8.46
2024-01-01 06:15:00,106.37,0.0,11.15
2024-01-01 06:30:00,116.93,2.3,11.39
2024-01-01 06:45:00,131.43,0.0,9.79
2024-01-01 07:00:00,123.22,0.0,12.22
2024-01-01 07:15:00,126.11,0.74,14.41
2024-01-01 07:30:00,121.68,0.73,15.29
2024-01-01 07:45:00,130.32,2.14,17.44
2024-01-01 08:00:00,145.01,5.59,13.77
2024-01-01 08:15:00,150.22,3.18,10.71
2024-01-01 08:30:00,139.05,4.12,6.78
2024-01-01 08:45:00,145.91,6.31,5.63
2024-01-01 09:00:00,148.8,7.51,6.87
2024-01-01 09:15:00,145.73,4.63,7.23
2024-01-01 09:30:00,140.91,8.33,7.53
2024-01-01 09:45:00,171.21,9.37,10.68
2024-01-01 10:00:00,168.25,7.93,8.32
2024-01-01 10:15:00,144.09,11.0,9.55
2024-01-01 10:30:00,159.52,10.77,9.42
2024-01-01 10:45:00,164.32,11.72,9.19
2024-01-01 11:00:00,151.82,11.88,13.47
2024-01-01 11:15:00,160.93,12.95,13.06
2024-01-01 11:30:00,166.83,15.04,14.05
2024-01-01 11:45:00,160.84,14.5,14.02
2024-01-01 12:00:00,165.58,14.43,12.3
2024-01-01 12:15:00,187.8,15.9,13.35
2024-01-01 12:30:00,169.06,14.52,15.54
2024-01-01 12:45:00,136.39,14.69,14.31
2024-01-01 13:00:00,164.14,16.54,15.23
2024-01-01 13:15:00,165.07,16.09,15.94
2024-01-01 13:30:00,149.11,15.55,15.7
2024-01-01 13:45:00,145.4,15.85,12.43
2024-01-01 14:00:00,144.11,15.16,11.19
2024-01-01 14:15:00,133.99,15.03,8.01
2024-01-01 14:30:00,161.22,14.17,5.71
2024-01-01 14:45:00,119.07,13.05,7.71
2024-01-01 15:00:00,125.25,14.73,10.09
2024-01-01 15:15:00,126.43,12.54,9.83
2024-01-01 15:30:00,121.27,14.31,6.95
2024-01-01 15:45:00,136.05,10.88,8.27
2024-01-01 16:00:00,115.85,10.91,7.52
2024-01-01 16:15:00,110.28,16.18,8.97
2024-01-01 16:30:00,120.25,9.32,12.18
2024-01-01 16:45:00,97.49,5.27,10.74
2024-01-01 17:00:00,93.58,8.21,11.52
2024-01-01 17:15:00,92.83,4.68,9.07
2024-01-01 17:30:00,81.72,7.13,9.8
2024-01-01 17:45:00,82.11,4.27,9.0
2024-01-01 18:00:00,103.51,2.41,8.62
2024-01-01 18:15:00,85.6,2.72,12.91
2024-01-01 18:30:00,83.79,0.3,13.2
2024-01-01 18:45:00,72.38,2.69,14.98
2024-01-01 19:00:00,54.99,0.02,16.31
2024-01-01 19:15:00,81.28,0.0,12.15
2024-01-01 19:30:00,57.18,0.0,7.8
2024-01-01 19:45:00,61.6,0.0,6.61
2024-01-01 20:00:00,72.08,0.04,3.82
2024-01-01 20:15:00,59.26,0.07,3.86
2024-01-01 20:30:00,45.52,0.0,7.7
2024-01-01 20:45:00,53.71,0.0,6.97
2024-01-01 21:00:00,48.04,2.03,8.78
2024-01-01 21:15:00,39.53,0.0,10.92
2024-01-01 21:30:00,50.14,0.0,10.81
2024-01-01 21:45:00,44.96,0.0,11.68
2024-01-01 22:00:00,58.57,1.57,11.98
2024-01-01 22:15:00,39.33,0.0,9.74
2024-01-01 22:30:00,55.31,0.0,10.26
2024-01-01 22:45:00,27.77,0.92,11.9
2024-01-01 23:00:00,27.57,0.0,8.4
2024-01-01 23:15:00,37.19,0.0,11.32
2024-01-01 23:30:00,33.15,0.57,11.35
2024-01-01 23:45:00,37.17,0.36,9.43
2024-01-02 00:00:00,39.86,0.0,9.87
2024-01-02 00:15:00,43.94,0.0,8.71
2024-01-02 00:30:00,32.57,1.47,7.83
2024-01-02 00:45:00,32.48,0.0,11.17
