timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,140.51,2.02,9.34
2024-01-01 00:15:00,83.35,2.21,10.02
2024-01-01 00:30:00,76.3,0.0,7.54
2024-01-01 00:45:00,97.73,0.26,6.97
2024-01-01 01:00:00,121.06,2.59,6.53
2024-01-01 01:15:00,128.05,0.0,4.78
2024-01-01 01:30:00,113.17,0.0,5.2
2024-01-01 01:45:00,128.38,0.56,4.43
2024-01-01 02:00:00,122.06,0.0,3.59
2024-01-01 02:15:00,147.71,0.0,4.17
2024-01-01 02:30:00,149.23,0.0,4.35
2024-01-01 02:45:00,137.32,4.27,6.22
2024-01-01 03:00:00,129.21,0.0,6.66
2024-01-01 03:15:00,109.64,3.76,5.16
2024-01-01 03:30:00,123.81,1.42,4.5
2024-01-01 03:45:00,182.04,0.58,3.03
2024-01-01 04:00:00,180.42,0.88,2.96
2024-01-01 04:15:00,194.97,1.45,2.22
2024-01-01 04:30:00,203.88,0.0,1.84
2024-01-01 04:45:00,190.95,0.0,2.82
2024-01-01 05:00:00,172.78,0.23,3.85
2024-01-01 05:15:00,186.65,0.0,5.51
2024-01-01 05:30:00,292.21,1.98,5.88
2024-01-01 05:45:00,295.94,0.73,6.44
2024-01-01 06:00:00,237.19,1.15,4.8
2024-01-01 06:15:00,238.57,0.81,5.17
2024-01-01 06:30:00,282.47,0.0,6.29
2024-01-01 06:45:00,240.87,0.0,4.16
2024-01-01 07:00:00,299.68,0.89,6.02
2024-01-01 07:15:00,323.26,3.65,6.62
2024-01-01 07:30:00,239.94,0.0,6.63
2024-01-01 07:45:00,363.08,2.02,7.21
2024-01-01 08:00:00,282.23,5.57,7.2
2024-01-01 08:15:00,353.84,6.36,6.49
2024-01-01 08:30:00,386.98,11.74,7.08
2024-01-01 08:45:00,344.23,11.62,7.75
2024-01-01 09:00:00,372.18,9.13,6.84
2024-01-01 09:15:00,386.72,10.6,7.21
2024-01-01 09:30:00,407.48,14.13,6.12
2024-01-01 09:45:00,387.74,14.67,6.68
2024-01-01 10:00:00,348.6,15.59,8.41
2024-01-01 10:15:00,421.5,17.85,7.9
2024-01-01 10:30:00,397.63,17.06,8.6
2024-01-01 10:45:00,436.55,15.97,7.5
2024-01-01 11:00:00,453.1,15.19,5.12
2024-01-01 11:15:00,531.49,18.13,5.1
2024-01-01 11:30:00,439.77,18.38,5.47
2024-01-01 11:45:00,428.18,17.67,6.88
2024-01-01 12:00:00,404.39,19.4,5.64
2024-01-01 12:15:00,466.04,18.5,6.74
2024-01-01 12:30:00,448.9,22.75,5.74
2024-01-01 12:45:00,417.55,18.4,4.11
2024-01-01 13:00:00,488.16,20.46,5.82
2024-01-01 13:15:00,450.74,20.31,5.04
2024-01-01 13:30:00,362.84,18.55,6.8
2024-01-01 13:45:00,462.77,19.04,7.17
2024-01-01 14:00:00,413.85,18.74,6.6
2024-01-01 14:15:00,439.5,16.24,6.62
2024-01-01 14:30:00,430.99,18.18,4.57
2024-01-01 14:45:00,384.48,14.21,4.67
2024-01-01 15:00:00,472.32,19.48,4.21
2024-01-01 15:15:00,418.7,16.96,3.89
2024-01-01 15:30:00,386.97,14.21,4.54
2024-01-01 15:45:00,444.19,14.93,5.51
2024-01-01 16:00:00,368.33,13.36,6.07
2024-01-01 16:15:00,363.49,12.19,6.76
2024-01-01 16:30:00,293.76,11.73,6.47
2024-01-01 16:45:00,379.66,13.73,7.04
2024-01-01 17:00:00,304.85,6.68,7.7
2024-01-01 17:15:00,343.21,10.66,7.93
2024-01-01 17:30:00,320.46,11.44,8.22
2024-01-01 17:45:00,339.78,6.27,6.79
2024-01-01 18:00:00,273.72,6.44,7.14
2024-01-01 18:15:00,299.77,2.24,5.31
2024-01-01 18:30:00,291.91,5.53,5.76
2024-01-01 18:45:00,255.7,0.0,4.88
2024-01-01 19:00:00,242.3,0.37,4.58
2024-01-01 19:15:00,255.16,0.0,5.63
2024-01-01 19:30:00,259.79,0.0,5.72
2024-01-01 19:45:00,206.74,0.0,5.81
2024-01-01 20:00:00,203.8,0.0,6.16
2024-01-01 20:15:00,179.41,0.0,7.67
2024-01-01 20:30:00,227.95,3.78,6.8
2024-01-01 20:45:00,174.74,0.0,9.34
2024-01-01 21:00:00,172.38,0.0,8.01
