timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,258.41,0.0,2.85
2024-01-01 00:15:00,160.15,1.58,1.93
2024-01-01 00:30:00,196.4,0.0,3.21
2024-01-01 00:45:00,155.66,2.14,3.48
2024-01-01 01:00:00,200.52,0.62,3.6
2024-01-01 01:15:00,121.6,0.0,4.0
2024-01-01 01:30:00,187.6,0.58,4.0
2024-01-01 01:45:00,209.13,0.0,4.26
2024-01-01 02:00:00,191.5,0.0,4.86
2024-01-01 02:15:00,167.21,1.31,5.15
2024-01-01 02:30:00,230.43,0.0,4.67
2024-01-01 02:45:00,201.65,1.88,4.42
2024-01-01 03:00:00,209.35,0.58,3.38
2024-01-01 03:15:00,236.38,2.56,2.73
2024-01-01 03:30:00,248.16,0.0,2.24
2024-01-01 03:45:00,250.06,0.0,1.21
2024-01-01 04:00:00,263.94,4.96,2.09
2024-01-01 04:15:00,180.32,0.0,2.94
2024-01-01 04:30:00,168.79,0.0,2.67
2024-01-01 04:45:00,341.62,0.0,3.53
2024-01-01 05:00:00,277.17,0.76,2.77
2024-01-01 05:15:00,314.7,0.0,1.66
2024-01-01 05:30:00,300.35,2.97,2.82
2024-01-01 05:45:00,427.84,4.41,2.14
2024-01-01 06:00:00,234.41,0.26,2.08
2024-01-01 06:15:00,417.61,1.5,2.97
2024-01-01 06:30:00,381.96,0.0,2.1
2024-01-01 06:45:00,389.09,3.97,2.72
2024-01-01 07:00:00,462.77,4.13,3.08
2024-01-01 07:15:00,457.87,1.72,3.4
2024-01-01 07:30:00,428.67,3.7,4.1
2024-01-01 07:45:00,441.58,4.42,3.85
2024-01-01 08:00:00,481.73,7.95,3.97
2024-01-01 08:15:00,414.27,8.52,3.69
2024-01-01 08:30:00,550.26,9.97,3.58
2024-01-01 08:45:00,498.17,13.25,3.79
2024-01-01 09:00:00,517.71,17.37,3.39
2024-01-01 09:15:00,613.55,17.59,3.64
2024-01-01 09:30:00,584.03,22.42,3.42
2024-01-01 09:45:00,577.8,19.33,3.06
2024-01-01 10:00:00,621.34,21.6,3.03
2024-01-01 10:15:00,603.61,26.26,2.47
2024-01-01 10:30:00,610.9,25.74,2.67
2024-01-01 10:45:00,639.74,29.29,2.17
2024-01-01 11:00:00,637.81,29.98,2.64
2024-01-01 11:15:00,615.57,29.01,2.81
2024-01-01 11:30:00,551.9,27.05,2.99
2024-01-01 11:45:00,618.38,26.78,4.01
2024-01-01 12:00:00,653.67,29.64,3.7
2024-01-01 12:15:00,717.7,33.5,4.33
2024-01-01 12:30:00,641.7,29.37,2.98
2024-01-01 12:45:00,617.46,27.51,3.04
2024-01-01 13:00:00,593.94,32.54,3.71
2024-01-01 13:15:00,586.63,32.26,2.95
2024-01-01 13:30:00,615.14,30.65,4.06
2024-01-01 13:45:00,627.76,29.47,3.3
2024-01-01 14:00:00,647.91,23.87,2.9
2024-01-01 14:15:00,625.19,28.89,2.82
2024-01-01 14:30:00,635.14,30.63,2.44
2024-01-01 14:45:00,599.6,26.73,2.61
2024-01-01 15:00:00,607.82,25.78,2.06
2024-01-01 15:15:00,568.58,26.93,2.29
2024-01-01 15:30:00,577.5,22.53,2.02
2024-01-01 15:45:00,534.93,20.37,1.94
2024-01-01 16:00:00,579.62,19.01,2.12
2024-01-01 16:15:00,525.47,23.31,2.12
2024-01-01 16:30:00,546.8,17.81,2.56
2024-01-01 16:45:00,476.57,17.16,2.18
2024-01-01 17:00:00,476.43,17.04,2.66
2024-01-01 17:15:00,364.91,12.27,1.9
2024-01-01 17:30:00,415.88,11.92,1.98
2024-01-01 17:45:00,468.77,11.51,2.14
2024-01-01 18:00:00,517.42,7.77,1.64
2024-01-01 18:15:00,295.37,2.74,2.26
2024-01-01 18:30:00,482.35,2.85,1.84
2024-01-01 18:45:00,385.54,2.83,1.98
2024-01-01 19:00:00,423.9,0.0,1.92
2024-01-01 19:15:00,400.29,0.0,2.16
2024-01-01 19:30:00,424.6,0.0,2.14
2024-01-01 19:45:00,372.29,4.6,3.1
2024-01-01 20:00:00,321.25,0.69,3.88
2024-01-01 20:15:00,336.79,1.7,4.07
2024-01-01 20:30:00,304.12,0.67,4.66
2024-01-01 20:45:00,224.09,2.28,4.17
2024-01-01 21:00:00,271.59,4.55,3.42
2024-01-01 21:15:00,203.97,0.0,2.99
2024-01-01 21:30:00,224.58,0.0,2.87
2024-01-01 21:45:00,238.93,0.0,2.3
2024-01-01 22:00:00,220.71,0.06,2.46
2024-01-01 22:15:00,254.55,1.2,2.76
2024-01-01 22:30:00,209.27,0.0,2.06
2024-01-01 22:45:00,186.49,0.43,2.7
2024-01-01 23:00:00,193.69,1.61,2.79
2024-01-01 23:15:00,143.86,0.0,3.03
2024-01-01 23:30:00,148.91,0.0,3.66
2024-01-01 23:45:00,198.68,0.0,3.23
2024-01-02 00:00:00,216.53,2.06,3.9
2024-01-02 00:15:00,162.85,1.63,3.22
2024-01-02 00:30:00,187.87,3.24,2.96
2024-01-02 00:45:00,207.83,0.0,3.08
2024-01-02 01:00:00,162.63,3.61,2.34
2024-01-02 01:15:00,263.69,4.79,2.84
2024-01-02 01:30:00,201.98,0.0,3.15
2024-01-02 01:45:00,154.16,2.23,2.96
2024-01-02 02:00:00,210.7,0.0,3.02
2024-01-02 02:15:00,182.31,2.46,2.78
2024-01-02 02:30:00,198.22,0.17,2.93
2024-01-02 02:45:00,244.15,0.0,3.56
2024-01-02 03:00:00,174.77,4.51,3.44
2024-01-02 03:15:00,179.15,0.0,4.39
2024-01-02 03:30:00,248.89,0.0,3.94
2024-01-02 03:45:00,272.69,0.0,3.78
2024-01-02 04:00:00,296.13,0.0,4.05
2024-01-02 04:15:00,267.17,0.0,3.07
2024-01-02 04:30:00,263.81,3.76,3.8
2024-01-02 04:45:00,271.89,0.0,3.49
