timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,37.58,0.0,0.46
2024-01-01 00:15:00,51.28,1.38,1.98
2024-01-01 00:30:00,36.41,0.0,2.21
2024-01-01 00:45:00,40.67,4.14,2.35
2024-01-01 01:00:00,43.12,0.0,2.81
2024-01-01 01:15:00,34.03,0.0,2.67
2024-01-01 01:30:00,28.59,0.0,2.34
2024-01-01 01:45:00,30.08,0.0,2.51
2024-01-01 02:00:00,56.58,0.0,2.0
2024-01-01 02:15:00,64.65,0.0,1.85
2024-01-01 02:30:00,40.89,0.0,2.0
2024-01-01 02:45:00,74.32,1.26,1.85
2024-01-01 03:00:00,77.8,5.51,2.62
2024-01-01 03:15:00,66.24,0.0,2.26
2024-01-01 03:30:00,83.47,0.0,2.83
2024-01-01 03:45:00,79.84,2.14,2.82
2024-01-01 04:00:00,76.24,2.01,2.66
2024-01-01 04:15:00,90.46,1.94,2.63
2024-01-01 04:30:00,78.92,0.0,2.03
2024-01-01 04:45:00,99.72,0.72,2.06
2024-01-01 05:00:00,98.34,0.14,2.38
2024-01-01 05:15:00,95.74,0.0,2.78
2024-01-01 05:30:00,103.27,0.0,3.43
2024-01-01 05:45:00,136.68,2.68,3.78
2024-01-01 06:00:00,100.92,8.19,4.15
2024-01-01 06:15:00,129.85,0.0,4.25
2024-01-01 06:30:00,107.48,0.0,3.78
2024-01-01 06:45:00,123.25,0.0,3.53
2024-01-01 07:00:00,134.89,0.0,2.98
2024-01-01 07:15:00,146.2,5.8,2.68
2024-01-01 07:30:00,122.7,2.74,3.19
2024-01-01 07:45:00,142.07,10.29,3.31
2024-01-01 08:00:00,147.11,6.97,3.09
2024-01-01 08:15:00,158.74,15.16,3.44
2024-01-01 08:30:00,147.91,20.2,3.08
2024-01-01 08:45:00,160.18,19.49,2.74
2024-01-01 09:00:00,148.09,27.97,2.47
2024-01-01 09:15:00,148.61,24.51,3.0
2024-01-01 09:30:00,151.98,26.46,2.81
2024-01-01 09:45:00,146.21,31.89,3.23
2024-01-01 10:00:00,160.08,37.79,4.08
2024-01-01 10:15:00,173.39,27.11,3.4
2024-01-01 10:30:00,167.25,30.96,3.65
2024-01-01 10:45:00,163.3,34.05,3.74
2024-01-01 11:00:00,177.73,36.37,3.79
2024-01-01 11:15:00,182.02,38.01,3.37
2024-01-01 11:30:00,173.9,34.74,3.46
2024-01-01 11:45:00,164.26,32.22,2.81
2024-01-01 12:00:00,163.5,36.49,2.36
2024-01-01 12:15:00,167.28,33.96,3.6
2024-01-01 12:30:00,176.33,35.53,3.37
2024-01-01 12:45:00,173.69,43.31,3.88
2024-01-01 13:00:00,173.56,37.51,3.07
2024-01-01 13:15:00,157.17,48.04,2.25
2024-01-01 13:30:00,158.35,40.7,1.91
2024-01-01 13:45:00,165.09,40.27,2.02
2024-01-01 14:00:00,157.04,46.48,2.87
2024-01-01 14:15:00,164.66,39.16,3.12
2024-01-01 14:30:00,149.16,41.08,3.46
2024-01-01 14:45:00,159.19,39.04,3.1
2024-01-01 15:00:00,147.77,41.56,3.26
2024-01-01 15:15:00,139.3,28.11,3.53
2024-01-01 15:30:00,119.69,26.6,3.68
2024-01-01 15:45:00,131.04,28.18,3.77
2024-01-01 16:00:00,125.58,34.72,3.62
2024-01-01 16:15:00,109.16,21.18,3.01
2024-01-01 16:30:00,127.64,27.31,2.73
2024-01-01 16:45:00,116.3,32.77,2.31
2024-01-01 17:00:00,118.45,22.19,1.58
2024-01-01 17:15:00,132.09,20.56,1.91
2024-01-01 17:30:00,99.76,18.23,1.72
2024-01-01 17:45:00,94.43,10.11,2.09
2024-01-01 18:00:00,115.03,6.59,2.24
2024-01-01 18:15:00,73.83,4.58,1.24
2024-01-01 18:30:00,77.94,7.54,1.52
2024-01-01 18:45:00,98.63,0.0,0.98
2024-01-01 19:00:00,70.09,0.0,0.92
2024-01-01 19:15:00,81.94,0.0,2.14
2024-01-01 19:30:00,72.5,0.0,1.73
