timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,54.52,1.18,2.39
2024-01-01 00:15:00,62.78,0.0,2.07
2024-01-01 00:30:00,31.51,0.0,2.73
2024-01-01 00:45:00,61.01,0.16,2.91
2024-01-01 01:00:00,65.82,0.0,3.49
2024-01-01 01:15:00,46.0,0.22,3.78
2024-01-01 01:30:00,61.44,1.75,3.1
2024-01-01 01:45:00,53.28,0.0,3.31
2024-01-01 02:00:00,46.13,0.0,3.09
2024-01-01 02:15:00,103.4,0.0,2.89
2024-01-01 02:30:00,56.77,0.53,4.2
2024-01-01 02:45:00,81.8,0.0,3.62
2024-01-01 03:00:00,74.76,0.37,3.41
2024-01-01 03:15:00,48.83,1.11,3.88
2024-01-01 03:30:00,80.9,1.14,3.07
2024-01-01 03:45:00,59.39,1.5,3.86
2024-01-01 04:00:00,88.27,1.79,4.39
2024-01-01 04:15:00,81.53,0.0,4.11
2024-01-01 04:30:00,104.69,0.07,4.03
2024-01-01 04:45:00,96.05,0.0,3.87
2024-01-01 05:00:00,111.81,0.0,3.37
2024-01-01 05:15:00,102.66,0.0,3.52
2024-01-01 05:30:00,110.88,0.0,3.38
2024-01-01 05:45:00,129.7,0.53,2.86
2024-01-01 06:00:00,128.18,1.12,2.59
2024-01-01 06:15:00,125.95,1.01,2.57
2024-01-01 06:30:00,152.73,0.0,2.66
2024-01-01 06:45:00,136.2,0.0,2.28
2024-01-01 07:00:00,129.45,0.0,2.36
2024-01-01 07:15:00,166.77,2.26,2.43
2024-01-01 07:30:00,156.46,0.54,3.11
2024-01-01 07:45:00,143.91,2.67,2.9
2024-01-01 08:00:00,161.4,2.95,2.68
2024-01-01 08:15:00,185.53,3.43,2.27
2024-01-01 08:30:00,176.27,4.9,2.01
2024-01-01 08:45:00,165.51,1.65,2.41
2024-01-01 09:00:00,196.83,5.33,3.04
2024-01-01 09:15:00,147.17,7.37,3.19
2024-01-01 09:30:00,183.57,5.28,2.53
2024-01-01 09:45:00,187.21,6.21,3.36
2024-01-01 10:00:00,179.34,6.9,3.75
2024-01-01 10:15:00,197.42,8.06,4.67
2024-01-01 10:30:00,169.77,7.89,4.47
2024-01-01 10:45:00,216.18,7.99,3.48
2024-01-01 11:00:00,193.01,8.37,2.51
2024-01-01 11:15:00,180.1,9.72,1.68
2024-01-01 11:30:00,175.39,9.82,2.3
2024-01-01 11:45:00,184.21,9.56,2.68
2024-01-01 12:00:00,210.16,7.21,2.8
2024-01-01 12:15:00,211.89,10.66,2.02
2024-01-01 12:30:00,198.65,9.36,1.71
2024-01-01 12:45:00,192.43,9.47,1.18
2024-01-01 13:00:00,204.14,11.32,1.2
2024-01-01 13:15:00,216.16,12.35,1.82
2024-01-01 13:30:00,195.75,10.2,2.04
2024-01-01 13:45:00,198.21,10.72,2.69
2024-01-01 14:00:00,213.84,8.8,2.91
2024-01-01 14:15:00,213.52,9.01,3.05
2024-01-01 14:30:00,178.77,8.4,2.73
2024-01-01 14:45:00,163.48,10.86,2.87
2024-01-01 15:00:00,186.94,8.44,3.77
2024-01-01 15:15:00,155.48,8.23,3.12
2024-01-01 15:30:00,166.86,8.96,2.81
2024-01-01 15:45:00,162.46,8.9,2.57
2024-01-01 16:00:00,167.72,5.99,1.78
2024-01-01 16:15:00,198.3,5.65,2.19
2024-01-01 16:30:00,164.71,5.41,2.88
2024-01-01 16:45:00,140.69,5.18,2.63
2024-01-01 17:00:00,136.1,5.48,2.71
2024-01-01 17:15:00,139.49,4.97,2.66
2024-01-01 17:30:00,124.97,4.7,2.06
2024-01-01 17:45:00,140.1,5.1,2.64
2024-01-01 18:00:00,142.93,1.54,2.36
2024-01-01 18:15:00,106.2,2.81,2.64
2024-01-01 18:30:00,116.58,1.03,4.2
2024-01-01 18:45:00,108.22,0.5,4.14
2024-01-01 19:00:00,91.49,0.31,3.87
2024-01-01 19:15:00,109.57,0.77,3.88
2024-01-01 19:30:00,96.12,1.2,2.53
2024-01-01 19:45:00,110.48,0.0,2.45
2024-01-01 20:00:00,64.93,0.0,2.56
2024-01-01 20:15:00,80.08,2.12,2.79
2024-01-01 20:30:00,78.51,0.0,3.33
2024-01-01 20:45:00,90.48,0.0,3.43
2024-01-01 21:00:00,76.05,0.12,3.42
2024-01-01 21:15:00,61.92,0.83,3.17
2024-01-01 21:30:00,76.5,0.0,2.96
2024-01-01 21:45:00,52.13,0.0,3.59
2024-01-01 22:00:00,62.95,0.96,3.95
2024-01-01 22:15:00,61.76,1.06,3.98
2024-01-01 22:30:00,82.67,2.13,3.47
2024-01-01 22:45:00,55.67,0.56,2.79
2024-01-01 23:00:00,55.61,0.0,2.14
2024-01-01 23:15:00,51.82,0.0,2.29
2024-01-01 23:30:00,54.6,0.59,2.7
2024-01-01 23:45:00,80.68,0.0,2.18
2024-01-02 00:00:00,21.48,0.0,2.99
2024-01-02 00:15:00,54.4,0.0,2.99
2024-01-02 00:30:00,15.54,0.33,2.26
2024-01-02 00:45:00,70.59,2.02,2.89
2024-01-02 01:00:00,53.69,0.0,2.34
2024-01-02 01:15:00,34.4,1.36,2.07
2024-01-02 01:30:00,47.72,0.94,2.6
2024-01-02 01:45:00,54.08,0.59,2.15
2024-01-02 02:00:00,66.21,1.61,2.1
2024-01-02 02:15:00,62.08,0.0,2.1
2024-01-02 02:30:00,32.06,0.0,1.82
2024-01-02 02:45:00,73.54,0.0,2.16
2024-01-02 03:00:00,57.7,0.0,2.56
2024-01-02 03:15:00,96.2,1.26,2.74
2024-01-02 03:30:00,86.88,0.0,2.62
2024-01-02 03:45:00,66.75,0.0,2.67
2024-01-02 04:00:00,89.21,0.0,3.34
2024-01-02 04:15:00,104.59,0.8,3.86
2024-01-02 04:30:00,82.01,1.32,4.23
2024-01-02 04:45:00,87.57,0.65,4.0
2024-01-02 05:00:00,87.12,0.0,3.34
2024-01-02 05:15:00,108.55,0.14,1.83
2024-01-02 05:30:00,126.63,0.0,2.05
2024-01-02 05:45:00,136.85,0.8,2.53
2024-01-02 06:00:00,137.52,0.0,1.54
2024-01-02 06:15:00,111.37,0.37,2.09
2024-01-02 06:30:00,132.76,0.0,2.46
2024-01-02 06:45:00,135.81,0.19,2.58
2024-01-02 07:00:00,147.3,3.22,3.53
2024-01-02 07:15:00,125.24,1.16,4.27
2024-01-02 07:30:00,146.76,2.76,3.91
2024-01-02 07:45:00,161.21,2.91,3.63
2024-01-02 08:00:00,155.12,4.5,3.66
2024-01-02 08:15:00,180.84,3.53,3.31
2024-01-02 08:30:00,187.5,5.3,3.54
2024-01-02 08:45:00,190.13,4.25,3.22
2024-01-02 09:00:00,189.49,5.82,2.81
2024-01-02 09:15:00,186.12,7.29,3.1
2024-01-02 09:30:00,201.37,5.46,2.94
2024-01-02 09:45:00,177.08,5.31,3.44
2024-01-02 10:00:00,173.33,6.36,3.67
2024-01-02 10:15:00,194.22,7.52,3.91
2024-01-02 10:30:00,182.93,7.54,4.26
2024-01-02 10:45:00,204.86,7.77,3.55
2024-01-02 11:00:00,188.45,8.99,3.51
2024-01-02 11:15:00,201.07,8.53,3.23
2024-01-02 11:30:00,203.48,8.51,2.93
2024-01-02 11:45:00,219.09,8.08,3.03
2024-01-02 12:00:00,190.0,10.7,2.61
2024-01-02 12:15:00,221.44,9.41,1.8
2024-01-02 12:30:00,204.11,10.06,1.71
2024-01-02 12:45:00,181.72,10.48,1.91
2024-01-02 13:00:00,216.92,10.12,2.71
2024-01-02 13:15:00,211.03,9.11,3.41
2024-01-02 13:30:00,202.42,10.11,3.8
2024-01-02 13:45:00,193.68,9.43,3.46
2024-01-02 14:00:00,193.07,9.34,2.3
2024-01-02 14:15:00,191.83,10.92,2.26
2024-01-02 14:30:00,194.32,8.01,1.85
2024-01-02 14:45:00,185.19,9.56,2.15
2024-01-02 15:00:00,181.46,9.78,3.93
2024-01-02 15:15:00,180.28,9.43,4.45
2024-01-02 15:30:00,158.55,7.51,4.91
2024-01-02 15:45:00,178.63,7.56,4.94
2024-01-02 16:00:00,200.35,8.24,4.13
2024-01-02 16:15:00,172.31,5.08,3.85
2024-01-02 16:30:00,163.76,7.06,3.02
2024-01-02 16:45:00,144.81,6.69,2.24
2024-01-02 17:00:00,134.14,4.13,2.31
2024-01-02 17:15:00,144.38,5.21,1.67
2024-01-02 17:30:00,108.57,4.22,1.92
