timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,39.19,2.07,0.0
2024-01-01 00:15:00,36.31,0.0,2.02
2024-01-01 00:30:00,21.49,0.0,1.58
2024-01-01 00:45:00,41.29,0.8,1.9
2024-01-01 01:00:00,40.43,0.55,2.54
2024-01-01 01:15:00,56.81,0.0,2.48
2024-01-01 01:30:00,50.32,0.28,3.12
2024-01-01 01:45:00,49.45,0.0,3.64
2024-01-01 02:00:00,44.31,0.43,3.64
2024-01-01 02:15:00,51.26,1.24,3.39
2024-01-01 02:30:00,55.43,0.0,3.03
2024-01-01 02:45:00,62.4,0.0,3.31
2024-01-01 03:00:00,46.05,0.4,3.75
2024-01-01 03:15:00,60.28,0.49,3.26
2024-01-01 03:30:00,55.46,0.53,3.25
2024-01-01 03:45:00,54.96,0.0,2.05
2024-01-01 04:00:00,69.13,1.96,2.28
2024-01-01 04:15:00,61.83,0.0,2.83
2024-01-01 04:30:00,74.01,0.0,3.21
2024-01-01 04:45:00,84.28,0.0,3.71
2024-01-01 05:00:00,83.65,0.0,3.2
2024-01-01 05:15:00,69.83,0.14,3.01
2024-01-01 05:30:00,82.72,0.2,3.19
2024-01-01 05:45:00,91.39,0.44,3.45
2024-01-01 06:00:00,105.46,0.0,3.49
2024-01-01 06:15:00,110.56,0.0,3.88
2024-01-01 06:30:00,105.09,0.0,3.86
2024-01-01 06:45:00,110.43,0.0,4.1
2024-01-01 07:00:00,114.57,0.13,4.64
2024-01-01 07:15:00,122.11,0.0,3.6
2024-01-01 07:30:00,116.28,0.86,3.72
2024-01-01 07:45:00,96.29,2.35,3.04
2024-01-01 08:00:00,109.5,2.87,2.41
2024-01-01 08:15:00,130.39,4.45,3.38
2024-01-01 08:30:00,134.15,4.78,2.53
2024-01-01 08:45:00,125.09,4.88,3.17
2024-01-01 09:00:00,143.88,3.67,2.5
2024-01-01 09:15:00,112.04,6.39,1.36
2024-01-01 09:30:00,135.68,6.76,1.99
2024-01-01 09:45:00,141.92,6.07,1.45
2024-01-01 10:00:00,133.95,8.37,2.89
2024-01-01 10:15:00,134.46,5.56,4.01
2024-01-01 10:30:00,148.14,7.81,4.3
2024-01-01 10:45:00,139.79,8.73,3.54
2024-01-01 11:00:00,143.93,8.99,2.84
2024-01-01 11:15:00,134.98,8.18,2.74
2024-01-01 11:30:00,148.07,7.96,1.98
2024-01-01 11:45:00,144.66,12.14,3.09
2024-01-01 12:00:00,142.4,9.68,2.78
2024-01-01 12:15:00,151.41,10.09,2.57
2024-01-01 12:30:00,154.17,7.86,2.88
2024-01-01 12:45:00,153.54,9.19,2.42
2024-01-01 13:00:00,124.51,10.8,3.28
2024-01-01 13:15:00,148.89,10.71,3.23
2024-01-01 13:30:00,157.04,9.76,3.6
2024-01-01 13:45:00,147.66,9.74,3.48
2024-01-01 14:00:00,131.66,8.28,3.68
2024-01-01 14:15:00,139.35,9.93,4.2
2024-01-01 14:30:00,132.3,10.42,4.25
