timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,29.89,0.0,0.0
2024-01-01 00:15:00,45.65,2.38,3.05
2024-01-01 00:30:00,31.97,1.25,7.93
2024-01-01 00:45:00,20.35,0.0,11.5
2024-01-01 01:00:00,50.98,1.72,11.46
2024-01-01 01:15:00,44.07,3.93,13.31
2024-01-01 01:30:00,64.07,0.54,12.53
2024-01-01 01:45:00,36.26,0.0,8.38
2024-01-01 02:00:00,53.16,0.0,10.93
2024-01-01 02:15:00,55.54,0.0,10.86
2024-01-01 02:30:00,70.45,1.12,11.42
2024-01-01 02:45:00,72.04,1.41,11.83
2024-01-01 03:00:00,59.98,0.22,16.33
2024-01-01 03:15:00,75.18,0.0,20.37
2024-01-01 03:30:00,73.6,0.0,20.49
2024-01-01 03:45:00,102.31,0.0,23.46
2024-01-01 04:00:00,98.85,0.0,20.37
2024-01-01 04:15:00,87.93,3.88,16.41
2024-01-01 04:30:00,96.09,0.0,17.07
2024-01-01 04:45:00,95.03,1.05,15.41
2024-01-01 05:00:00,93.35,0.14,18.58
2024-01-01 05:15:00,95.9,0.0,23.22
2024-01-01 05:30:00,118.67,0.0,24.58
2024-01-01 05:45:00,114.11,0.51,27.65
2024-01-01 06:00:00,123.28,2.03,24.94
2024-01-01 06:15:00,119.51,0.0,18.69
2024-01-01 06:30:00,116.98,1.26,13.87
2024-01-01 06:45:00,147.13,0.7,10.53
2024-01-01 07:00:00,131.73,0.78,10.44
2024-01-01 07:15:00,130.76,0.83,10.03
2024-01-01 07:30:00,153.87,2.83,12.03
2024-01-01 07:45:00,137.9,4.4,10.95
2024-01-01 08:00:00,145.73,4.13,7.57
2024-01-01 08:15:00,183.97,7.38,15.2
2024-01-01 08:30:00,171.78,10.39,15.56
2024-01-01 08:45:00,153.38,9.26,18.2
2024-01-01 09:00:00,185.41,8.46,23.71
2024-01-01 09:15:00,173.05,9.44,18.08
2024-01-01 09:30:00,148.39,15.13,18.85
2024-01-01 09:45:00,169.26,12.48,18.39
2024-01-01 10:00:00,185.29,14.31,13.89
2024-01-01 10:15:00,190.39,10.9,17.32
2024-01-01 10:30:00,181.16,17.1,20.2
2024-01-01 10:45:00,168.82,15.42,17.14
2024-01-01 11:00:00,159.81,18.16,18.5
2024-01-01 11:15:00,200.74,19.42,16.35
2024-01-01 11:30:00,191.59,21.19,13.53
2024-01-01 11:45:00,187.32,18.62,15.68
2024-01-01 12:00:00,172.78,20.46,18.5
2024-01-01 12:15:00,186.94,16.79,15.65
2024-01-01 12:30:00,168.57,22.3,15.67
2024-01-01 12:45:00,167.21,22.34,15.95
2024-01-01 13:00:00,187.31,24.54,12.46
2024-01-01 13:15:00,156.05,19.5,13.7
2024-01-01 13:30:00,160.38,20.39,16.11
2024-01-01 13:45:00,164.7,23.48,19.66
2024-01-01 14:00:00,158.26,21.18,20.11
2024-01-01 14:15:00,176.37,22.75,20.5
2024-01-01 14:30:00,145.46,21.68,17.32
2024-01-01 14:45:00,142.0,17.95,14.13
2024-01-01 15:00:00,149.98,21.43,15.82
2024-01-01 15:15:00,149.81,20.4,15.1
2024-01-01 15:30:00,140.24,18.97,13.95
2024-01-01 15:45:00,136.41,15.6,14.85
2024-01-01 16:00:00,117.84,12.94,14.65
2024-01-01 16:15:00,154.36,14.29,16.14
2024-01-01 16:30:00,131.06,9.47,15.41
2024-01-01 16:45:00,120.24,14.5,11.75
2024-01-01 17:00:00,114.81,8.3,10.59
2024-01-01 17:15:00,105.78,7.32,10.27
2024-01-01 17:30:00,112.88,9.27,12.61
2024-01-01 17:45:00,104.85,8.52,16.03
2024-01-01 18:00:00,103.3,7.64,18.42
2024-01-01 18:15:00,67.53,3.31,17.51
2024-01-01 18:30:00,87.64,3.58,14.72
2024-01-01 18:45:00,116.82,5.82,14.32
2024-01-01 19:00:00,79.98,4.4,12.88
2024-01-01 19:15:00,61.21,0.0,13.93
2024-01-01 19:30:00,78.67,0.0,16.79
2024-01-01 19:45:00,72.7,0.0,16.81
2024-01-01 20:00:00,65.35,0.0,17.84
2024-01-01 20:15:00,74.01,0.35,16.49
2024-01-01 20:30:00,73.51,2.63,16.5
2024-01-01 20:45:00,90.36,0.0,15.76
2024-01-01 21:00:00,64.34,0.0,16.89
2024-01-01 21:15:00,94.05,0.57,21.33
2024-01-01 21:30:00,51.71,0.0,22.41
2024-01-01 21:45:00,83.53,1.51,24.24
2024-01-01 22:00:00,37.96,0.0,23.17
2024-01-01 22:15:00,42.65,0.0,18.27
2024-01-01 22:30:00,61.94,1.89,14.75
2024-01-01 22:45:00,42.3,0.0,16.22
2024-01-01 23:00:00,35.59,0.71,16.8
2024-01-01 23:15:00,41.25,0.0,19.56
2024-01-01 23:30:00,36.59,4.33,18.58
2024-01-01 23:45:00,38.96,0.0,15.3
2024-01-02 00:00:00,43.84,0.0,12.02
2024-01-02 00:15:00,33.91,1.92,15.13
2024-01-02 00:30:00,49.25,0.42,17.71
2024-01-02 00:45:00,49.5,1.85,18.74
2024-01-02 01:00:00,54.16,0.24,23.11
2024-01-02 01:15:00,25.56,0.93,16.6
