timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,372.29,2.26,113.92
2024-01-01 00:15:00,310.56,0.0,77.99
2024-01-01 00:30:00,322.88,0.0,107.02
2024-01-01 00:45:00,323.78,0.0,78.88
2024-01-01 01:00:00,410.49,5.73,74.7
2024-01-01 01:15:00,326.47,0.81,80.36
2024-01-01 01:30:00,426.85,0.0,65.11
2024-01-01 01:45:00,389.47,0.0,71.39
2024-01-01 02:00:00,560.05,0.0,74.17
2024-01-01 02:15:00,617.63,0.0,80.41
2024-01-01 02:30:00,481.45,0.0,49.88
2024-01-01 02:45:00,347.96,0.8,70.63
2024-01-01 03:00:00,469.46,0.0,73.83
2024-01-01 03:15:00,482.23,0.0,76.75
2024-01-01 03:30:00,413.67,0.0,90.74
2024-01-01 03:45:00,515.66,0.0,97.7
2024-01-01 04:00:00,536.45,2.21,98.27
2024-01-01 04:15:00,633.19,0.0,84.77
2024-01-01 04:30:00,559.87,0.0,99.22
2024-01-01 04:45:00,635.32,0.0,73.56
2024-01-01 05:00:00,713.79,0.0,68.25
2024-01-01 05:15:00,708.71,0.11,78.9
2024-01-01 05:30:00,825.26,0.0,81.97
2024-01-01 05:45:00,776.16,10.76,88.75
2024-01-01 06:00:00,878.06,0.54,75.18
2024-01-01 06:15:00,826.29,5.05,64.52
2024-01-01 06:30:00,772.9,0.0,60.24
2024-01-01 06:45:00,800.74,5.34,77.84
2024-01-01 07:00:00,801.56,2.0,104.13
2024-01-01 07:15:00,1085.28,1.48,111.95
2024-01-01 07:30:00,981.5,3.64,114.82
2024-01-01 07:45:00,984.66,12.18,99.76
2024-01-01 08:00:00,958.44,17.42,67.55
2024-01-01 08:15:00,1184.63,18.47,52.54
2024-01-01 08:30:00,1072.55,10.11,42.58
2024-01-01 08:45:00,1117.06,26.41,41.47
2024-01-01 09:00:00,1166.37,20.02,45.13
2024-01-01 09:15:00,1098.82,22.19,62.06
2024-01-01 09:30:00,1246.45,24.62,62.85
2024-01-01 09:45:00,1039.67,30.94,69.94
2024-01-01 10:00:00,1159.6,34.69,61.63
2024-01-01 10:15:00,1060.32,47.34,81.98
2024-01-01 10:30:00,1115.95,37.27,98.1
2024-01-01 10:45:00,1132.62,36.24,108.06
2024-01-01 11:00:00,1217.06,47.35,130.79
2024-01-01 11:15:00,1147.4,40.39,111.79
2024-01-01 11:30:00,1079.83,43.37,91.22
2024-01-01 11:45:00,1291.3,50.73,94.09
2024-01-01 12:00:00,1177.44,40.59,84.78
2024-01-01 12:15:00,1316.47,49.42,74.91
2024-01-01 12:30:00,1154.76,59.15,75.59
2024-01-01 12:45:00,1073.93,58.58,76.79
2024-01-01 13:00:00,1224.09,57.28,65.86
2024-01-01 13:15:00,1277.5,51.0,78.68
2024-01-01 13:30:00,1170.81,44.64,78.98
2024-01-01 13:45:00,1115.46,55.04,63.52
2024-01-01 14:00:00,1157.58,51.97,94.46
2024-01-01 14:15:00,1191.03,51.35,119.14
2024-01-01 14:30:00,1094.68,46.13,129.08
2024-01-01 14:45:00,966.34,42.26,123.9
2024-01-01 15:00:00,936.8,51.46,134.28
2024-01-01 15:15:00,990.97,39.99,122.35
2024-01-01 15:30:00,853.0,41.12,129.95
2024-01-01 15:45:00,890.24,37.9,144.69
2024-01-01 16:00:00,744.37,34.54,130.02
2024-01-01 16:15:00,1010.22,30.24,103.51
2024-01-01 16:30:00,849.18,29.99,76.84
2024-01-01 16:45:00,831.41,27.21,59.99
2024-01-01 17:00:00,890.06,31.35,69.33
2024-01-01 17:15:00,765.34,21.38,52.43
2024-01-01 17:30:00,781.32,19.8,65.67
2024-01-01 17:45:00,760.27,17.48,70.82
2024-01-01 18:00:00,566.74,16.45,66.4
2024-01-01 18:15:00,720.53,11.94,93.97
2024-01-01 18:30:00,653.22,8.75,97.2
2024-01-01 18:45:00,551.19,6.91,105.63
2024-01-01 19:00:00,547.54,10.83,103.33
2024-01-01 19:15:00,508.6,0.0,117.94
2024-01-01 19:30:00,495.77,0.0,130.22
2024-01-01 19:45:00,378.68,0.0,124.13
2024-01-01 20:00:00,568.52,0.0,138.09
2024-01-01 20:15:00,310.11,3.27,130.53
2024-01-01 20:30:00,258.35,0.0,113.47
2024-01-01 20:45:00,367.49,2.15,119.31
2024-01-01 21:00:00,364.64,0.0,105.7
2024-01-01 21:15:00,385.89,0.0,101.36
2024-01-01 21:30:00,431.6,0.81,122.06
2024-01-01 21:45:00,253.83,1.16,104.18
2024-01-01 22:00:00,223.33,1.48,92.4
2024-01-01 22:15:00,230.43,0.0,74.8
2024-01-01 22:30:00,409.7,3.08,68.89
2024-01-01 22:45:00,355.22,1.37,101.36
2024-01-01 23:00:00,212.39,0.0,78.28
2024-01-01 23:15:00,362.38,0.75,96.31
2024-01-01 23:30:00,393.27,0.0,82.14
2024-01-01 23:45:00,387.82,0.0,62.82
2024-01-02 00:00:00,321.79,3.7,81.34
2024-01-02 00:15:00,230.69,0.0,86.74
2024-01-02 00:30:00,240.6,3.86,85.67
2024-01-02 00:45:00,372.58,8.12,77.7
2024-01-02 01:00:00,336.96,0.0,95.95
2024-01-02 01:15:00,241.01,0.0,96.86
2024-01-02 01:30:00,487.19,0.0,72.87
2024-01-02 01:45:00,499.6,9.0,83.55
2024-01-02 02:00:00,356.3,0.0,67.03
2024-01-02 02:15:00,448.92,0.19,45.51
2024-01-02 02:30:00,377.58,0.0,77.26
2024-01-02 02:45:00,469.03,4.7,86.13
2024-01-02 03:00:00,382.93,0.0,89.51
2024-01-02 03:15:00,523.43,0.5,98.04
2024-01-02 03:30:00,587.86,0.0,86.56
2024-01-02 03:45:00,480.88,3.95,76.9
2024-01-02 04:00:00,563.37,0.69,73.02
2024-01-02 04:15:00,588.79,0.0,83.83
2024-01-02 04:30:00,703.6,6.35,87.8
2024-01-02 04:45:00,677.58,0.0,87.79
2024-01-02 05:00:00,590.34,0.0,84.25
2024-01-02 05:15:00,733.36,0.0,98.98
2024-01-02 05:30:00,688.48,0.53,121.56
2024-01-02 05:45:00,742.0,0.0,124.57
2024-01-02 06:00:00,797.53,0.0,139.45
2024-01-02 06:15:00,856.54,6.49,118.37
2024-01-02 06:30:00,934.99,0.0,96.26
2024-01-02 06:45:00,742.02,11.54,101.36
2024-01-02 07:00:00,1013.14,1.92,96.47
2024-01-02 07:15:00,983.99,3.09,97.92
2024-01-02 07:30:00,917.51,10.41,95.85
2024-01-02 07:45:00,1028.94,9.51,101.7
2024-01-02 08:00:00,1051.68,14.79,91.96
2024-01-02 08:15:00,968.41,13.27,73.38
2024-01-02 08:30:00,1156.99,18.68,78.31
2024-01-02 08:45:00,1187.19,22.49,95.5
2024-01-02 09:00:00,1146.5,23.66,108.63
2024-01-02 09:15:00,1104.06,19.87,110.86
2024-01-02 09:30:00,1115.16,31.34,147.06
2024-01-02 09:45:00,1209.49,30.01,109.96
2024-01-02 10:00:00,1091.4,30.51,104.65
2024-01-02 10:15:00,1227.41,35.58,117.86
2024-01-02 10:30:00,1182.41,35.51,102.22
2024-01-02 10:45:00,1202.64,43.21,88.07
2024-01-02 11:00:00,1156.09,43.69,92.0
2024-01-02 11:15:00,1210.78,54.98,101.54
2024-01-02 11:30:00,1297.66,46.97,90.84
2024-01-02 11:45:00,1324.83,48.6,110.72
2024-01-02 12:00:00,1242.41,51.08,127.03
2024-01-02 12:15:00,1192.41,58.23,99.34
2024-01-02 12:30:00,1241.21,47.71,106.4
2024-01-02 12:45:00,924.3,52.15,114.34
2024-01-02 13:00:00,1251.08,51.79,112.42
2024-01-02 13:15:00,1054.77,53.67,139.71
2024-01-02 13:30:00,1180.03,49.48,136.88
2024-01-02 13:45:00,1087.89,46.32,153.9
2024-01-02 14:00:00,978.54,50.59,141.16
2024-01-02 14:15:00,970.98,62.2,128.25
2024-01-02 14:30:00,1132.78,43.64,116.89
2024-01-02 14:45:00,1138.02,46.93,100.3
2024-01-02 15:00:00,952.16,40.49,102.62
2024-01-02 15:15:00,942.8,39.19,83.41
2024-01-02 15:30:00,945.71,38.45,67.43
2024-01-02 15:45:00,895.74,38.8,42.19
2024-01-02 16:00:00,816.72,38.13,27.27
2024-01-02 16:15:00,792.49,38.2,39.62
