timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,95.73,1.77,10.53
2024-01-01 00:15:00,141.43,0.0,20.05
2024-01-01 00:30:00,155.16,8.58,17.21
2024-01-01 00:45:00,84.87,0.0,18.99
2024-01-01 01:00:00,165.43,0.0,18.57
2024-01-01 01:15:00,120.79,0.0,19.36
2024-01-01 01:30:00,112.93,2.49,23.06
2024-01-01 01:45:00,118.83,1.71,23.17
2024-01-01 02:00:00,76.81,3.17,26.49
2024-01-01 02:15:00,96.31,0.0,19.68
2024-01-01 02:30:00,141.79,0.0,12.66
2024-01-01 02:45:00,158.22,0.0,17.7
2024-01-01 03:00:00,166.31,2.12,19.73
2024-01-01 03:15:00,142.93,0.0,21.54
2024-01-01 03:30:00,191.6,2.25,27.63
2024-01-01 03:45:00,210.53,0.0,15.51
2024-01-01 04:00:00,244.66,0.0,16.06
2024-01-01 04:15:00,155.68,4.33,21.67
2024-01-01 04:30:00,238.19,0.67,27.16
2024-01-01 04:45:00,234.84,0.0,29.94
2024-01-01 05:00:00,245.41,0.0,29.05
2024-01-01 05:15:00,204.74,0.0,24.04
2024-01-01 05:30:00,266.66,0.0,18.68
2024-01-01 05:45:00,273.82,1.9,27.23
2024-01-01 06:00:00,249.47,0.0,29.38
2024-01-01 06:15:00,289.65,0.56,29.84
2024-01-01 06:30:00,299.82,0.0,36.56
2024-01-01 06:45:00,310.65,0.0,30.7
2024-01-01 07:00:00,318.1,0.0,29.18
2024-01-01 07:15:00,349.91,1.55,33.23
2024-01-01 07:30:00,323.32,5.17,24.36
2024-01-01 07:45:00,381.66,0.37,19.29
2024-01-01 08:00:00,350.94,4.53,15.69
2024-01-01 08:15:00,347.15,10.28,13.58
2024-01-01 08:30:00,386.83,15.88,15.22
2024-01-01 08:45:00,299.56,14.4,24.07
2024-01-01 09:00:00,387.36,25.3,22.28
2024-01-01 09:15:00,373.82,13.02,19.79
2024-01-01 09:30:00,352.79,18.19,27.05
2024-01-01 09:45:00,406.35,14.9,30.88
2024-01-01 10:00:00,373.5,18.65,31.98
2024-01-01 10:15:00,390.75,21.99,30.58
