timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,57.46,7.92,10.14
2024-01-01 00:15:00,69.17,0.17,8.6
2024-01-01 00:30:00,43.1,0.0,7.5
2024-01-01 00:45:00,62.93,5.1,7.03
2024-01-01 01:00:00,71.91,0.0,6.12
2024-01-01 01:15:00,83.23,4.45,5.59
2024-01-01 01:30:00,84.73,4.87,5.33
2024-01-01 01:45:00,51.38,0.0,5.04
2024-01-01 02:00:00,75.76,1.6,4.91
2024-01-01 02:15:00,117.0,0.0,5.43
2024-01-01 02:30:00,61.16,0.0,6.05
2024-01-01 02:45:00,77.5,0.0,6.5
2024-01-01 03:00:00,100.18,0.0,6.92
2024-01-01 03:15:00,85.51,0.3,6.17
2024-01-01 03:30:00,119.97,0.0,5.71
2024-01-01 03:45:00,101.63,2.42,5.01
2024-01-01 04:00:00,117.05,0.0,6.96
2024-01-01 04:15:00,98.27,0.0,7.78
2024-01-01 04:30:00,128.29,0.0,7.93
2024-01-01 04:45:00,106.83,0.0,9.0
2024-01-01 05:00:00,119.01,1.05,8.08
2024-01-01 05:15:00,127.07,0.92,7.48
2024-01-01 05:30:00,148.76,2.74,7.97
2024-01-01 05:45:00,158.02,0.0,6.88
2024-01-01 06:00:00,152.41,0.85,5.38
2024-01-01 06:15:00,111.82,1.05,6.29
2024-01-01 06:30:00,140.74,3.4,6.16
2024-01-01 06:45:00,173.21,0.0,6.75
2024-01-01 07:00:00,160.66,0.0,6.27
2024-01-01 07:15:00,188.72,2.88,4.54
2024-01-01 07:30:00,185.96,2.58,3.97
2024-01-01 07:45:00,171.85,2.01,3.75
2024-01-01 08:00:00,188.34,5.52,3.64
2024-01-01 08:15:00,203.71,10.48,4.32
2024-01-01 08:30:00,206.13,13.0,5.63
2024-01-01 08:45:00,204.19,10.0,5.08
2024-01-01 09:00:00,211.42,14.19,6.76
2024-01-01 09:15:00,204.58,13.38,6.03
2024-01-01 09:30:00,235.08,13.1,5.33
2024-01-01 09:45:00,224.23,16.4,6.45
2024-01-01 10:00:00,218.79,16.41,5.94
2024-01-01 10:15:00,240.74,24.29,7.15
2024-01-01 10:30:00,225.41,21.32,7.43
2024-01-01 10:45:00,231.52,23.23,6.47
2024-01-01 11:00:00,258.04,23.11,5.45
2024-01-01 11:15:00,243.52,21.65,6.56
2024-01-01 11:30:00,241.68,20.89,5.86
2024-01-01 11:45:00,258.88,23.54,6.65
2024-01-01 12:00:00,251.16,26.08,7.42
2024-01-01 12:15:00,245.9,29.09,6.97
2024-01-01 12:30:00,248.62,24.51,7.02
2024-01-01 12:45:00,228.55,27.26,6.69
2024-01-01 13:00:00,214.29,24.07,5.93
2024-01-01 13:15:00,254.59,26.32,4.86
2024-01-01 13:30:00,227.72,23.2,4.95
2024-01-01 13:45:00,262.97,29.49,6.22
2024-01-01 14:00:00,218.73,26.64,7.62
2024-01-01 14:15:00,253.0,25.22,7.41
2024-01-01 14:30:00,233.13,21.61,7.0
2024-01-01 14:45:00,194.69,21.34,6.3
2024-01-01 15:00:00,212.71,24.38,6.36
2024-01-01 15:15:00,231.52,15.83,6.66
2024-01-01 15:30:00,200.68,22.53,6.41
2024-01-01 15:45:00,221.07,19.5,6.37
2024-01-01 16:00:00,177.39,17.22,5.5
2024-01-01 16:15:00,204.96,20.18,6.14
2024-01-01 16:30:00,196.06,14.82,5.71
2024-01-01 16:45:00,173.25,14.18,5.88
2024-01-01 17:00:00,167.79,9.22,5.78
2024-01-01 17:15:00,183.9,7.33,5.01
2024-01-01 17:30:00,176.58,11.49,7.17
2024-01-01 17:45:00,152.12,6.16,6.64
2024-01-01 18:00:00,153.73,7.41,5.7
2024-01-01 18:15:00,118.58,3.2,6.69
2024-01-01 18:30:00,150.56,6.27,4.54
2024-01-01 18:45:00,147.11,0.0,5.95
2024-01-01 19:00:00,131.79,4.58,6.83
2024-01-01 19:15:00,116.11,0.0,6.56
2024-01-01 19:30:00,96.25,0.0,7.2
2024-01-01 19:45:00,94.38,0.03,6.98
2024-01-01 20:00:00,128.54,0.0,7.05
2024-01-01 20:15:00,94.72,0.0,6.93
2024-01-01 20:30:00,109.26,1.37,6.09
2024-01-01 20:45:00,88.53,1.62,5.2
2024-01-01 21:00:00,70.09,0.0,4.46
2024-01-01 21:15:00,94.79,0.0,4.48
2024-01-01 21:30:00,96.78,0.0,6.29
2024-01-01 21:45:00,92.86,0.0,6.88
2024-01-01 22:00:00,79.7,0.0,7.49
2024-01-01 22:15:00,71.39,0.0,6.58
2024-01-01 22:30:00,78.28,3.1,4.5
2024-01-01 22:45:00,70.98,4.67,4.38
2024-01-01 23:00:00,45.65,0.17,5.43
2024-01-01 23:15:00,79.49,0.0,6.18
2024-01-01 23:30:00,60.93,0.0,8.68
2024-01-01 23:45:00,63.27,0.0,7.89
2024-01-02 00:00:00,73.41,0.0,6.26
2024-01-02 00:15:00,49.04,0.2,6.69
2024-01-02 00:30:00,57.78,2.24,4.9
2024-01-02 00:45:00,56.81,0.0,5.55
2024-01-02 01:00:00,59.85,0.0,5.08
2024-01-02 01:15:00,66.54,0.0,4.7
2024-01-02 01:30:00,60.99,0.0,4.92
2024-01-02 01:45:00,52.4,0.0,5.0
2024-01-02 02:00:00,74.91,0.0,7.03
2024-01-02 02:15:00,95.27,5.15,7.95
2024-01-02 02:30:00,66.28,1.67,9.11
2024-01-02 02:45:00,88.76,0.0,8.88
2024-01-02 03:00:00,76.28,3.39,7.78
2024-01-02 03:15:00,107.24,0.0,7.11
2024-01-02 03:30:00,96.23,0.69,4.88
