timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,39.18,0.0,19.22
2024-01-01 00:15:00,60.55,0.0,10.72
2024-01-01 00:30:00,42.41,0.12,12.51
2024-01-01 00:45:00,59.9,0.23,12.91
2024-01-01 01:00:00,52.55,1.72,11.01
2024-01-01 01:15:00,57.71,1.81,13.4
2024-01-01 01:30:00,49.51,0.0,13.42
2024-01-01 01:45:00,36.56,0.93,11.01
2024-01-01 02:00:00,56.29,0.0,8.73
2024-01-01 02:15:00,67.95,1.11,6.61
2024-01-01 02:30:00,38.92,0.0,5.81
2024-01-01 02:45:00,70.99,0.47,5.17
2024-01-01 03:00:00,60.71,0.45,7.56
2024-01-01 03:15:00,53.55,0.0,11.7
2024-01-01 03:30:00,60.79,1.01,13.73
2024-01-01 03:45:00,66.85,3.14,13.98
2024-01-01 04:00:00,76.83,1.28,11.52
2024-01-01 04:15:00,73.33,0.0,9.08
2024-01-01 04:30:00,85.58,0.0,4.04
2024-01-01 04:45:00,86.96,0.0,7.57
2024-01-01 05:00:00,77.78,0.9,10.36
2024-01-01 05:15:00,100.67,0.03,9.92
2024-01-01 05:30:00,85.66,0.96,13.51
2024-01-01 05:45:00,101.73,0.46,14.86
2024-01-01 06:00:00,104.81,0.82,16.64
2024-01-01 06:15:00,130.32,0.0,15.49
2024-01-01 06:30:00,106.77,0.0,15.19
2024-01-01 06:45:00,110.09,0.0,13.41
2024-01-01 07:00:00,117.37,0.0,9.75
2024-01-01 07:15:00,116.48,1.75,11.08
2024-01-01 07:30:00,130.15,1.57,8.21
2024-01-01 07:45:00,138.13,3.57,6.93
2024-01-01 08:00:00,116.17,1.91,9.13
2024-01-01 08:15:00,144.06,7.98,8.62
2024-01-01 08:30:00,138.2,5.85,12.72
2024-01-01 08:45:00,150.5,8.04,13.16
2024-01-01 09:00:00,148.24,5.1,12.64
2024-01-01 09:15:00,149.13,9.16,13.3
2024-01-01 09:30:00,116.94,10.07,9.24
2024-01-01 09:45:00,149.56,9.17,10.15
2024-01-01 10:00:00,142.03,12.3,8.48
2024-01-01 10:15:00,154.17,10.47,10.0
2024-01-01 10:30:00,129.31,13.06,13.86
2024-01-01 10:45:00,166.06,14.85,13.93
2024-01-01 11:00:00,162.81,13.75,15.19
2024-01-01 11:15:00,159.59,11.87,16.67
2024-01-01 11:30:00,151.89,15.72,14.95
2024-01-01 11:45:00,152.26,15.04,17.17
2024-01-01 12:00:00,144.75,13.15,19.63
2024-01-01 12:15:00,156.76,17.14,15.05
2024-01-01 12:30:00,147.84,13.56,16.27
2024-01-01 12:45:00,142.23,13.21,11.18
2024-01-01 13:00:00,141.81,14.2,9.92
2024-01-01 13:15:00,145.7,15.79,11.3
2024-01-01 13:30:00,147.87,13.56,11.54
2024-01-01 13:45:00,130.99,18.47,12.43
2024-01-01 14:00:00,119.12,16.26,12.23
2024-01-01 14:15:00,143.92,13.85,13.59
2024-01-01 14:30:00,135.11,15.36,7.92
2024-01-01 14:45:00,143.83,12.32,8.81
2024-01-01 15:00:00,125.63,14.5,6.03
2024-01-01 15:15:00,106.26,13.8,4.8
2024-01-01 15:30:00,106.4,13.0,9.62
2024-01-01 15:45:00,109.94,10.68,7.77
2024-01-01 16:00:00,103.19,8.55,9.37
2024-01-01 16:15:00,108.22,12.6,7.97
2024-01-01 16:30:00,109.58,10.64,8.04
2024-01-01 16:45:00,90.7,10.07,9.98
2024-01-01 17:00:00,85.69,9.51,11.15
2024-01-01 17:15:00,83.67,6.87,11.94
2024-01-01 17:30:00,103.57,8.05,10.29
2024-01-01 17:45:00,88.31,6.47,11.88
2024-01-01 18:00:00,85.27,1.95,10.63
2024-01-01 18:15:00,79.65,4.21,9.18
2024-01-01 18:30:00,83.49,3.34,11.54
2024-01-01 18:45:00,83.31,2.71,9.71
2024-01-01 19:00:00,68.59,1.79,9.92
2024-01-01 19:15:00,67.17,0.0,10.58
2024-01-01 19:30:00,62.01,1.0,10.06
2024-01-01 19:45:00,62.16,0.0,11.5
2024-01-01 20:00:00,53.35,1.68,14.46
2024-01-01 20:15:00,44.54,1.18,17.89
2024-01-01 20:30:00,47.57,0.36,14.41
2024-01-01 20:45:00,52.59,0.33,13.91
2024-01-01 21:00:00,57.64,2.8,11.87
2024-01-01 21:15:00,47.45,0.0,8.62
2024-01-01 21:30:00,33.07,1.74,10.22
2024-01-01 21:45:00,40.91,0.0,11.56
2024-01-01 22:00:00,34.85,0.0,11.16
2024-01-01 22:15:00,31.53,1.6,14.2
2024-01-01 22:30:00,37.61,0.0,15.1
2024-01-01 22:45:00,43.21,0.0,13.96
2024-01-01 23:00:00,50.84,0.0,9.73
2024-01-01 23:15:00,40.18,1.3,5.83
2024-01-01 23:30:00,58.4,0.0,6.97
2024-01-01 23:45:00,41.81,0.99,6.24
