timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,43.42,1.43,28.03
2024-01-01 00:15:00,37.87,0.06,42.93
2024-01-01 00:30:00,53.2,0.0,41.03
2024-01-01 00:45:00,43.39,1.09,35.03
2024-01-01 01:00:00,52.41,1.02,43.53
2024-01-01 01:15:00,55.71,0.0,42.25
2024-01-01 01:30:00,63.73,0.0,46.5
2024-01-01 01:45:00,56.49,0.0,49.22
2024-01-01 02:00:00,55.49,0.0,48.17
2024-01-01 02:15:00,36.43,0.0,48.73
2024-01-01 02:30:00,58.8,0.01,40.34
2024-01-01 02:45:00,44.5,0.0,44.27
2024-01-01 03:00:00,56.31,0.0,40.45
2024-01-01 03:15:00,60.0,0.0,39.62
2024-01-01 03:30:00,81.78,0.0,54.3
2024-01-01 03:45:00,62.64,0.0,59.66
2024-01-01 04:00:00,86.18,0.0,64.22
2024-01-01 04:15:00,81.45,0.0,68.18
2024-01-01 04:30:00,72.61,0.0,52.17
2024-01-01 04:45:00,75.24,0.46,49.15
2024-01-01 05:00:00,83.63,0.0,43.78
2024-01-01 05:15:00,88.71,0.0,35.39
2024-01-01 05:30:00,106.24,0.84,44.39
2024-01-01 05:45:00,120.48,0.0,39.4
2024-01-01 06:00:00,111.59,1.34,49.6
2024-01-01 06:15:00,105.74,0.47,55.44
2024-01-01 06:30:00,87.19,0.73,47.76
2024-01-01 06:45:00,153.61,0.0,53.57
2024-01-01 07:00:00,121.34,0.2,41.41
2024-01-01 07:15:00,126.0,1.75,42.57
2024-01-01 07:30:00,139.37,1.45,64.03
2024-01-01 07:45:00,129.99,0.69,51.29
2024-01-01 08:00:00,125.56,1.63,57.19
2024-01-01 08:15:00,160.42,2.62,51.18
2024-01-01 08:30:00,162.91,3.69,34.29
2024-01-01 08:45:00,149.03,5.04,43.91
2024-01-01 09:00:00,150.57,6.59,48.3
2024-01-01 09:15:00,148.74,5.28,44.52
2024-01-01 09:30:00,159.54,7.48,46.43
2024-01-01 09:45:00,173.56,6.82,48.52
2024-01-01 10:00:00,166.34,7.34,29.85
2024-01-01 10:15:00,187.63,7.18,25.07
2024-01-01 10:30:00,172.22,8.57,22.09
2024-01-01 10:45:00,174.78,10.02,18.57
2024-01-01 11:00:00,170.44,9.42,29.83
2024-01-01 11:15:00,191.73,10.02,34.35
2024-01-01 11:30:00,172.58,9.78,36.5
2024-01-01 11:45:00,164.54,8.76,38.95
2024-01-01 12:00:00,165.75,11.25,36.18
2024-01-01 12:15:00,195.52,9.7,50.05
2024-01-01 12:30:00,166.34,10.25,48.45
2024-01-01 12:45:00,197.36,10.46,46.16
2024-01-01 13:00:00,157.89,9.64,52.12
2024-01-01 13:15:00,185.46,10.48,38.84
2024-01-01 13:30:00,179.59,9.87,38.21
2024-01-01 13:45:00,194.38,10.3,43.2
2024-01-01 14:00:00,184.0,9.7,39.12
2024-01-01 14:15:00,184.24,11.17,47.81
2024-01-01 14:30:00,169.91,8.91,47.21
2024-01-01 14:45:00,172.91,8.92,46.72
2024-01-01 15:00:00,174.68,8.27,38.64
2024-01-01 15:15:00,164.41,8.38,31.97
2024-01-01 15:30:00,182.18,9.17,31.09
2024-01-01 15:45:00,163.81,6.55,29.01
2024-01-01 16:00:00,145.64,7.41,43.67
2024-01-01 16:15:00,142.03,6.01,45.18
2024-01-01 16:30:00,153.83,4.92,40.69
2024-01-01 16:45:00,135.1,5.23,35.77
2024-01-01 17:00:00,130.92,5.82,37.81
2024-01-01 17:15:00,159.42,4.69,36.52
2024-01-01 17:30:00,132.66,2.49,40.11
2024-01-01 17:45:00,113.95,1.74,56.94
2024-01-01 18:00:00,126.64,3.71,66.36
2024-01-01 18:15:00,118.53,1.9,65.55
2024-01-01 18:30:00,114.93,1.72,72.34
2024-01-01 18:45:00,100.35,0.0,66.72
2024-01-01 19:00:00,109.86,0.0,54.77
2024-01-01 19:15:00,101.76,0.55,60.0
2024-01-01 19:30:00,113.17,0.0,59.26
2024-01-01 19:45:00,73.12,0.0,57.57
2024-01-01 20:00:00,91.09,0.31,54.85
2024-01-01 20:15:00,92.17,0.84,49.25
2024-01-01 20:30:00,82.29,0.84,54.97
2024-01-01 20:45:00,87.24,0.35,48.9
2024-01-01 21:00:00,76.22,0.81,48.28
2024-01-01 21:15:00,75.19,0.25,55.43
2024-01-01 21:30:00,75.42,1.35,65.5
2024-01-01 21:45:00,70.29,0.42,75.74
2024-01-01 22:00:00,72.9,0.52,71.49
2024-01-01 22:15:00,54.73,0.45,70.22
2024-01-01 22:30:00,32.39,0.45,55.23
2024-01-01 22:45:00,55.26,1.33,41.8
2024-01-01 23:00:00,59.17,1.66,46.72
2024-01-01 23:15:00,42.79,0.59,43.99
2024-01-01 23:30:00,31.53,0.0,45.94
2024-01-01 23:45:00,49.66,0.0,42.51
2024-01-02 00:00:00,56.39,2.74,42.49
2024-01-02 00:15:00,39.81,0.0,45.25
2024-01-02 00:30:00,35.86,0.0,43.83
2024-01-02 00:45:00,58.49,0.03,55.9
2024-01-02 01:00:00,31.93,0.65,48.52
2024-01-02 01:15:00,44.45,0.27,51.67
2024-01-02 01:30:00,43.04,1.2,47.78
2024-01-02 01:45:00,70.6,0.0,39.79
2024-01-02 02:00:00,46.87,0.73,38.49
2024-01-02 02:15:00,52.94,1.12,32.25
2024-01-02 02:30:00,55.6,0.24,35.34
2024-01-02 02:45:00,58.86,0.0,32.72
2024-01-02 03:00:00,70.42,0.0,40.67
2024-01-02 03:15:00,69.35,0.76,47.11
2024-01-02 03:30:00,47.84,0.0,45.89
2024-01-02 03:45:00,68.17,0.81,49.42
2024-01-02 04:00:00,83.33,0.81,48.71
2024-01-02 04:15:00,71.31,0.0,45.19
2024-01-02 04:30:00,78.19,0.15,43.25
2024-01-02 04:45:00,92.98,0.45,42.91
2024-01-02 05:00:00,99.33,0.45,43.22
2024-01-02 05:15:00,100.19,0.41,40.89
2024-01-02 05:30:00,112.65,0.29,54.1
2024-01-02 05:45:00,104.91,0.0,63.35
