timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,36.71,0.0,3.02
2024-01-01 00:15:00,40.51,0.0,3.16
2024-01-01 00:30:00,49.13,0.0,2.38
2024-01-01 00:45:00,48.04,1.59,3.14
2024-01-01 01:00:00,40.6,0.0,2.97
2024-01-01 01:15:00,40.89,0.0,2.58
2024-01-01 01:30:00,52.48,0.0,3.59
2024-01-01 01:45:00,45.48,1.4,3.61
2024-01-01 02:00:00,63.55,0.0,3.75
2024-01-01 02:15:00,51.96,0.0,4.47
2024-01-01 02:30:00,55.85,0.0,4.14
2024-01-01 02:45:00,67.45,0.0,3.27
2024-01-01 03:00:00,70.48,0.62,3.54
2024-01-01 03:15:00,55.67,0.0,2.96
2024-01-01 03:30:00,74.81,0.0,2.85
2024-01-01 03:45:00,89.78,0.1,3.04
2024-01-01 04:00:00,95.31,1.1,2.93
2024-01-01 04:15:00,90.97,0.0,3.37
2024-01-01 04:30:00,87.45,0.0,3.3
2024-01-01 04:45:00,92.61,0.0,3.21
2024-01-01 05:00:00,101.82,0.81,2.54
2024-01-01 05:15:00,96.87,1.9,1.79
2024-01-01 05:30:00,103.03,0.46,1.96
2024-01-01 05:45:00,88.01,0.0,1.76
2024-01-01 06:00:00,119.6,0.0,3.29
2024-01-01 06:15:00,125.98,0.49,3.72
2024-01-01 06:30:00,111.95,0.16,3.22
2024-01-01 06:45:00,130.32,0.0,3.82
2024-01-01 07:00:00,137.7,0.23,2.32
2024-01-01 07:15:00,128.53,0.0,2.72
2024-01-01 07:30:00,151.25,1.98,3.55
2024-01-01 07:45:00,139.7,0.68,2.73
2024-01-01 08:00:00,140.41,2.96,3.21
2024-01-01 08:15:00,164.84,2.08,3.62
2024-01-01 08:30:00,156.08,3.68,3.61
2024-01-01 08:45:00,149.66,5.47,4.31
2024-01-01 09:00:00,154.26,3.36,4.39
2024-01-01 09:15:00,163.4,6.33,3.4
2024-01-01 09:30:00,165.89,6.01,2.86
2024-01-01 09:45:00,162.71,7.17,2.43
2024-01-01 10:00:00,165.68,5.59,2.42
2024-01-01 10:15:00,173.68,5.2,2.35
2024-01-01 10:30:00,187.77,6.67,2.33
2024-01-01 10:45:00,160.56,8.88,2.58
2024-01-01 11:00:00,154.8,11.39,2.09
2024-01-01 11:15:00,150.78,8.56,2.22
2024-01-01 11:30:00,159.43,9.91,3.43
2024-01-01 11:45:00,173.54,8.68,2.75
2024-01-01 12:00:00,154.19,9.05,3.3
2024-01-01 12:15:00,171.28,10.72,3.65
2024-01-01 12:30:00,162.43,11.09,2.08
2024-01-01 12:45:00,151.88,7.84,2.75
2024-01-01 13:00:00,155.99,11.27,2.32
2024-01-01 13:15:00,157.43,8.13,1.65
2024-01-01 13:30:00,168.07,10.2,2.13
2024-01-01 13:45:00,144.24,8.56,2.15
2024-01-01 14:00:00,151.97,9.55,2.93
2024-01-01 14:15:00,152.86,10.25,3.73
2024-01-01 14:30:00,146.24,8.97,3.22
2024-01-01 14:45:00,152.81,8.87,3.57
2024-01-01 15:00:00,139.23,8.26,2.73
2024-01-01 15:15:00,153.03,6.85,3.08
2024-01-01 15:30:00,131.57,7.72,3.73
2024-01-01 15:45:00,132.69,7.29,3.82
2024-01-01 16:00:00,120.05,6.09,4.15
2024-01-01 16:15:00,115.42,6.86,3.8
2024-01-01 16:30:00,135.36,5.57,3.73
2024-01-01 16:45:00,131.21,6.18,3.35
2024-01-01 17:00:00,114.13,5.26,3.94
2024-01-01 17:15:00,112.65,5.68,3.64
2024-01-01 17:30:00,95.89,4.23,4.54
2024-01-01 17:45:00,101.32,3.37,4.52
2024-01-01 18:00:00,99.3,3.14,3.69
2024-01-01 18:15:00,85.06,2.42,3.58
2024-01-01 18:30:00,105.31,1.94,2.55
2024-01-01 18:45:00,91.98,0.4,1.89
2024-01-01 19:00:00,78.16,0.0,2.48
2024-01-01 19:15:00,79.81,0.0,2.45
2024-01-01 19:30:00,88.66,0.75,1.56
2024-01-01 19:45:00,56.03,0.0,2.53
2024-01-01 20:00:00,50.36,0.04,2.56
2024-01-01 20:15:00,53.93,0.22,2.45
2024-01-01 20:30:00,60.26,0.0,3.44
2024-01-01 20:45:00,52.33,0.0,2.92
2024-01-01 21:00:00,45.6,0.0,2.52
2024-01-01 21:15:00,82.33,0.73,3.47
2024-01-01 21:30:00,66.81,0.0,3.45
2024-01-01 21:45:00,53.42,0.54,4.23
2024-01-01 22:00:00,65.73,1.55,4.71
2024-01-01 22:15:00,34.06,0.0,4.25
2024-01-01 22:30:00,41.43,0.59,4.49
2024-01-01 22:45:00,43.1,0.68,4.59
2024-01-01 23:00:00,48.83,0.0,4.41
2024-01-01 23:15:00,27.16,0.11,4.3
2024-01-01 23:30:00,38.0,0.0,4.3
2024-01-01 23:45:00,57.39,0.0,3.81
2024-01-02 00:00:00,59.26,2.61,3.59
2024-01-02 00:15:00,48.52,1.41,2.88
2024-01-02 00:30:00,36.49,0.92,2.54
2024-01-02 00:45:00,33.84,1.02,2.41
2024-01-02 01:00:00,55.59,0.0,2.42
2024-01-02 01:15:00,59.26,0.0,3.08
2024-01-02 01:30:00,51.67,1.44,3.24
2024-01-02 01:45:00,25.04,0.0,3.98
2024-01-02 02:00:00,54.4,0.0,3.26
2024-01-02 02:15:00,54.93,0.0,3.64
2024-01-02 02:30:00,43.68,1.12,3.73
2024-01-02 02:45:00,53.93,1.99,2.78
2024-01-02 03:00:00,73.69,0.0,3.28
2024-01-02 03:15:00,77.16,0.0,3.03
2024-01-02 03:30:00,58.4,1.13,3.74
2024-01-02 03:45:00,82.55,0.81,4.54
2024-01-02 04:00:00,87.21,0.0,4.41
2024-01-02 04:15:00,83.2,0.0,3.76
2024-01-02 04:30:00,82.23,0.56,2.98
2024-01-02 04:45:00,96.67,0.13,2.04
2024-01-02 05:00:00,101.67,0.7,2.44
2024-01-02 05:15:00,97.76,0.0,2.72
2024-01-02 05:30:00,103.61,0.0,3.03
2024-01-02 05:45:00,73.13,0.0,3.34
2024-01-02 06:00:00,119.66,0.0,3.43
2024-01-02 06:15:00,133.58,0.0,3.21
2024-01-02 06:30:00,121.88,0.0,2.61
2024-01-02 06:45:00,136.36,0.99,2.8
2024-01-02 07:00:00,129.04,0.37,2.03
2024-01-02 07:15:00,128.25,1.13,2.85
2024-01-02 07:30:00,147.81,1.88,3.09
2024-01-02 07:45:00,132.46,0.78,3.32
2024-01-02 08:00:00,136.04,2.8,3.64
2024-01-02 08:15:00,146.29,2.99,2.73
2024-01-02 08:30:00,135.4,3.77,2.04
2024-01-02 08:45:00,150.1,4.96,2.28
2024-01-02 09:00:00,168.23,5.24,2.32
2024-01-02 09:15:00,170.86,6.36,2.86
2024-01-02 09:30:00,166.72,5.49,3.79
2024-01-02 09:45:00,160.76,6.19,2.99
2024-01-02 10:00:00,156.72,6.6,3.91
2024-01-02 10:15:00,153.25,7.99,3.78
2024-01-02 10:30:00,165.43,8.55,3.24
2024-01-02 10:45:00,157.19,7.88,3.18
2024-01-02 11:00:00,158.34,7.9,1.88
2024-01-02 11:15:00,160.62,9.77,1.7
2024-01-02 11:30:00,171.46,8.28,1.18
2024-01-02 11:45:00,185.04,8.87,1.51
2024-01-02 12:00:00,181.97,9.63,1.71
2024-01-02 12:15:00,163.57,10.33,2.53
2024-01-02 12:30:00,167.01,10.0,2.47
2024-01-02 12:45:00,153.17,10.37,2.55
2024-01-02 13:00:00,150.65,9.4,2.54
2024-01-02 13:15:00,156.88,9.63,1.82
2024-01-02 13:30:00,161.6,9.54,2.35
2024-01-02 13:45:00,147.45,9.86,2.31
