timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,40.54,1.63,3.99
2024-01-01 00:15:00,18.19,0.0,5.42
2024-01-01 00:30:00,28.77,0.54,4.09
2024-01-01 00:45:00,31.77,0.9,3.36
2024-01-01 01:00:00,33.88,0.0,2.55
2024-01-01 01:15:00,23.35,0.0,2.01
2024-01-01 01:30:00,19.49,0.0,2.84
2024-01-01 01:45:00,39.09,0.0,3.73
2024-01-01 02:00:00,36.93,0.0,4.36
2024-01-01 02:15:00,46.9,1.53,3.53
2024-01-01 02:30:00,42.04,2.04,2.79
2024-01-01 02:45:00,36.66,0.0,2.41
2024-01-01 03:00:00,28.39,1.23,2.07
2024-01-01 03:15:00,54.56,0.0,2.16
2024-01-01 03:30:00,39.94,0.66,2.92
2024-01-01 03:45:00,35.76,0.17,3.04
2024-01-01 04:00:00,56.59,1.65,3.0
2024-01-01 04:15:00,54.58,0.0,3.02
2024-01-01 04:30:00,60.15,0.0,2.78
2024-01-01 04:45:00,51.63,0.0,2.71
2024-01-01 05:00:00,56.13,1.53,2.78
2024-01-01 05:15:00,71.92,0.0,3.19
2024-01-01 05:30:00,69.87,1.32,3.0
2024-01-01 05:45:00,63.53,0.0,2.48
2024-01-01 06:00:00,52.59,0.05,2.2
2024-01-01 06:15:00,66.82,0.11,1.47
2024-01-01 06:30:00,74.04,0.0,2.21
2024-01-01 06:45:00,86.05,0.83,2.65
2024-01-01 07:00:00,64.62,0.0,3.52
2024-01-01 07:15:00,113.65,0.36,4.92
2024-01-01 07:30:00,84.61,2.19,4.62
2024-01-01 07:45:00,89.68,2.84,4.32
2024-01-01 08:00:00,104.79,2.83,4.11
2024-01-01 08:15:00,90.16,3.66,3.05
2024-01-01 08:30:00,97.3,4.29,1.95
2024-01-01 08:45:00,106.04,4.05,2.29
2024-01-01 09:00:00,99.46,5.42,1.32
2024-01-01 09:15:00,106.94,4.52,2.18
2024-01-01 09:30:00,98.7,4.02,2.58
2024-01-01 09:45:00,96.18,5.58,2.88
2024-01-01 10:00:00,118.13,5.52,4.52
2024-01-01 10:15:00,108.42,8.58,4.36
