timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,47.24,0.41,26.02
2024-01-01 00:15:00,65.25,0.99,19.38
2024-01-01 00:30:00,25.9,0.0,17.47
2024-01-01 00:45:00,29.81,0.0,19.91
2024-01-01 01:00:00,39.87,0.0,19.56
2024-01-01 01:15:00,64.98,0.53,18.7
2024-01-01 01:30:00,46.03,0.96,21.35
2024-01-01 01:45:00,28.39,0.38,19.22
2024-01-01 02:00:00,24.78,1.82,15.65
2024-01-01 02:15:00,42.16,0.0,21.79
2024-01-01 02:30:00,47.96,0.0,18.8
2024-01-01 02:45:00,58.57,0.99,14.66
2024-01-01 03:00:00,55.88,0.0,19.08
2024-01-01 03:15:00,66.76,0.0,17.6
2024-01-01 03:30:00,59.34,0.0,19.27
2024-01-01 03:45:00,53.23,0.53,17.26
2024-01-01 04:00:00,60.76,3.11,12.3
2024-01-01 04:15:00,88.65,0.2,14.65
2024-01-01 04:30:00,81.52,0.0,15.13
2024-01-01 04:45:00,76.22,0.64,17.97
2024-01-01 05:00:00,86.19,0.0,23.45
2024-01-01 05:15:00,87.45,0.0,19.74
2024-01-01 05:30:00,107.15,0.0,20.07
2024-01-01 05:45:00,93.0,0.0,21.12
2024-01-01 06:00:00,80.03,0.03,17.82
2024-01-01 06:15:00,99.45,2.33,16.75
2024-01-01 06:30:00,100.7,3.48,16.01
2024-01-01 06:45:00,123.12,0.0,17.7
2024-01-01 07:00:00,105.46,0.0,15.19
2024-01-01 07:15:00,113.0,0.09,14.47
2024-01-01 07:30:00,124.22,2.76,18.5
2024-01-01 07:45:00,125.21,3.5,17.28
2024-01-01 08:00:00,156.53,0.39,20.89
2024-01-01 08:15:00,132.66,5.58,21.62
2024-01-01 08:30:00,136.4,6.96,17.41
2024-01-01 08:45:00,122.81,6.76,21.34
2024-01-01 09:00:00,139.07,9.26,20.7
2024-01-01 09:15:00,161.94,6.77,19.48
2024-01-01 09:30:00,159.52,10.64,19.93
2024-01-01 09:45:00,153.1,10.61,13.32
2024-01-01 10:00:00,146.87,10.92,14.47
2024-01-01 10:15:00,167.23,9.58,16.54
2024-01-01 10:30:00,169.71,14.27,14.44
2024-01-01 10:45:00,147.5,12.72,20.16
2024-01-01 11:00:00,182.8,14.77,14.73
2024-01-01 11:15:00,170.29,13.19,15.22
2024-01-01 11:30:00,187.07,14.38,18.81
2024-01-01 11:45:00,162.66,13.76,16.22
2024-01-01 12:00:00,155.73,16.04,19.33
2024-01-01 12:15:00,165.0,15.07,22.3
2024-01-01 12:30:00,165.21,17.01,20.11
2024-01-01 12:45:00,194.97,17.85,23.84
2024-01-01 13:00:00,171.39,11.82,25.65
2024-01-01 13:15:00,177.55,16.76,22.51
2024-01-01 13:30:00,177.88,16.09,24.5
2024-01-01 13:45:00,168.46,15.45,19.37
2024-01-01 14:00:00,163.25,12.4,20.16
2024-01-01 14:15:00,177.99,14.66,18.75
2024-01-01 14:30:00,168.49,15.1,16.81
2024-01-01 14:45:00,174.16,14.77,18.99
2024-01-01 15:00:00,173.6,13.26,16.48
2024-01-01 15:15:00,158.68,14.21,18.75
2024-01-01 15:30:00,163.94,12.86,16.54
2024-01-01 15:45:00,168.13,11.58,19.42
2024-01-01 16:00:00,151.25,10.66,19.22
2024-01-01 16:15:00,167.71,9.26,14.62
2024-01-01 16:30:00,134.19,7.15,19.41
2024-01-01 16:45:00,143.45,9.15,18.65
2024-01-01 17:00:00,146.76,6.04,20.67
2024-01-01 17:15:00,151.58,9.66,24.77
2024-01-01 17:30:00,129.39,7.36,22.28
2024-01-01 17:45:00,130.14,5.25,19.29
2024-01-01 18:00:00,117.29,3.26,17.89
2024-01-01 18:15:00,134.2,2.21,16.47
2024-01-01 18:30:00,116.5,4.22,17.35
2024-01-01 18:45:00,110.61,0.54,21.17
2024-01-01 19:00:00,131.81,0.0,21.26
2024-01-01 19:15:00,109.32,0.01,23.28
2024-01-01 19:30:00,76.57,0.0,29.7
2024-01-01 19:45:00,89.17,0.81,28.68
2024-01-01 20:00:00,112.32,0.0,30.3
2024-01-01 20:15:00,93.07,0.38,32.22
2024-01-01 20:30:00,78.61,1.49,25.09
2024-01-01 20:45:00,86.37,1.46,24.19
2024-01-01 21:00:00,92.48,1.98,21.52
2024-01-01 21:15:00,62.32,1.4,19.6
2024-01-01 21:30:00,54.51,2.31,20.93
2024-01-01 21:45:00,75.1,0.0,21.05
2024-01-01 22:00:00,45.07,1.2,19.81
2024-01-01 22:15:00,52.88,0.82,16.08
2024-01-01 22:30:00,54.32,0.0,12.92
2024-01-01 22:45:00,60.51,0.17,8.84
2024-01-01 23:00:00,49.11,0.0,14.81
2024-01-01 23:15:00,69.42,0.0,14.55
2024-01-01 23:30:00,43.63,0.0,15.07
2024-01-01 23:45:00,54.04,0.0,17.97
2024-01-02 00:00:00,48.83,0.0,15.98
2024-01-02 00:15:00,65.44,0.74,20.73
2024-01-02 00:30:00,36.24,0.0,26.23
2024-01-02 00:45:00,42.95,0.84,27.01
2024-01-02 01:00:00,40.38,0.27,23.76
2024-01-02 01:15:00,26.83,0.49,19.63
2024-01-02 01:30:00,48.89,0.7,13.83
2024-01-02 01:45:00,50.28,0.13,15.27
2024-01-02 02:00:00,18.71,0.78,16.27
2024-01-02 02:15:00,64.57,0.89,14.23
2024-01-02 02:30:00,43.76,0.0,13.77
2024-01-02 02:45:00,63.03,0.0,10.29
2024-01-02 03:00:00,63.81,0.63,16.08
2024-01-02 03:15:00,55.71,0.0,17.26
2024-01-02 03:30:00,69.18,0.0,17.53
2024-01-02 03:45:00,42.02,0.0,20.58
2024-01-02 04:00:00,66.61,0.28,14.58
2024-01-02 04:15:00,80.17,0.54,17.12
2024-01-02 04:30:00,88.71,0.0,17.61
2024-01-02 04:45:00,69.75,1.32,18.39
2024-01-02 05:00:00,71.23,0.0,19.96
2024-01-02 05:15:00,95.98,0.32,20.33
2024-01-02 05:30:00,81.76,0.61,22.86
2024-01-02 05:45:00,74.64,0.0,18.66
2024-01-02 06:00:00,100.86,0.35,23.36
2024-01-02 06:15:00,104.17,0.02,20.24
2024-01-02 06:30:00,93.46,0.0,18.34
2024-01-02 06:45:00,117.05,0.0,19.23
2024-01-02 07:00:00,112.67,0.0,14.32
2024-01-02 07:15:00,114.81,0.0,17.2
2024-01-02 07:30:00,122.56,5.96,14.5
2024-01-02 07:45:00,120.21,4.11,12.88
2024-01-02 08:00:00,123.24,5.59,14.83
2024-01-02 08:15:00,150.85,5.22,12.46
2024-01-02 08:30:00,125.05,5.16,14.03
2024-01-02 08:45:00,140.06,3.46,14.27
2024-01-02 09:00:00,147.27,9.12,12.39
2024-01-02 09:15:00,142.98,10.06,9.96
2024-01-02 09:30:00,156.16,12.15,9.3
2024-01-02 09:45:00,133.6,9.43,12.18
2024-01-02 10:00:00,165.95,12.64,12.0
2024-01-02 10:15:00,187.15,11.88,16.29
2024-01-02 10:30:00,173.33,13.42,21.3
2024-01-02 10:45:00,186.28,14.4,20.93
2024-01-02 11:00:00,138.47,13.24,21.59
2024-01-02 11:15:00,181.19,13.71,23.73
2024-01-02 11:30:00,171.89,16.54,21.41
2024-01-02 11:45:00,182.67,14.56,19.88
2024-01-02 12:00:00,159.14,13.38,18.96
2024-01-02 12:15:00,166.43,12.72,19.55
2024-01-02 12:30:00,172.1,14.12,19.67
2024-01-02 12:45:00,195.05,14.59,21.12
2024-01-02 13:00:00,195.04,15.55,21.19
2024-01-02 13:15:00,160.97,12.91,22.4
2024-01-02 13:30:00,173.71,14.61,24.87
2024-01-02 13:45:00,167.39,17.03,23.99
2024-01-02 14:00:00,187.14,13.23,24.09
2024-01-02 14:15:00,167.66,13.31,19.52
2024-01-02 14:30:00,164.71,14.37,16.08
2024-01-02 14:45:00,174.49,14.16,20.15
2024-01-02 15:00:00,182.31,15.73,22.94
2024-01-02 15:15:00,162.38,12.17,24.49
2024-01-02 15:30:00,172.3,10.6,24.98
2024-01-02 15:45:00,149.77,11.02,22.5
2024-01-02 16:00:00,149.61,11.03,19.96
2024-01-02 16:15:00,150.88,11.47,18.65
2024-01-02 16:30:00,129.92,6.95,15.83
2024-01-02 16:45:00,146.91,5.15,15.83
2024-01-02 17:00:00,152.04,4.51,19.57
2024-01-02 17:15:00,137.93,5.03,21.99
2024-01-02 17:30:00,89.39,7.1,25.58
2024-01-02 17:45:00,127.62,2.88,28.8
2024-01-02 18:00:00,119.46,2.35,28.21
2024-01-02 18:15:00,125.1,1.91,24.37
