timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,49.75,1.65,1.94
2024-01-01 00:15:00,31.39,3.81,2.69
2024-01-01 00:30:00,43.55,0.03,2.69
2024-01-01 00:45:00,36.45,0.0,3.15
2024-01-01 01:00:00,55.86,0.0,3.8
2024-01-01 01:15:00,42.71,0.0,3.82
2024-01-01 01:30:00,44.6,1.0,3.83
2024-01-01 01:45:00,32.89,2.7,3.06
2024-01-01 02:00:00,47.2,0.0,3.16
2024-01-01 02:15:00,60.38,0.58,2.85
2024-01-01 02:30:00,51.78,0.0,3.32
2024-01-01 02:45:00,35.52,0.0,4.28
2024-01-01 03:00:00,43.0,0.0,4.32
2024-01-01 03:15:00,62.42,2.17,4.31
2024-01-01 03:30:00,68.44,1.47,3.7
2024-01-01 03:45:00,73.9,0.14,3.06
2024-01-01 04:00:00,56.02,1.99,2.49
2024-01-01 04:15:00,80.75,1.44,2.58
2024-01-01 04:30:00,54.64,0.46,3.19
2024-01-01 04:45:00,75.66,0.2,3.61
2024-01-01 05:00:00,77.95,0.95,3.6
2024-01-01 05:15:00,88.08,3.11,3.87
2024-01-01 05:30:00,83.54,1.19,2.84
2024-01-01 05:45:00,93.02,2.43,2.74
2024-01-01 06:00:00,73.54,0.0,2.27
2024-01-01 06:15:00,91.06,0.0,1.94
2024-01-01 06:30:00,106.18,0.24,2.4
2024-01-01 06:45:00,111.55,0.0,2.0
2024-01-01 07:00:00,116.33,1.64,2.02
2024-01-01 07:15:00,104.12,0.13,2.41
2024-01-01 07:30:00,111.79,2.74,2.13
2024-01-01 07:45:00,124.3,1.81,2.25
2024-01-01 08:00:00,114.81,2.14,3.17
2024-01-01 08:15:00,136.92,5.37,2.96
2024-01-01 08:30:00,132.5,5.45,2.74
2024-01-01 08:45:00,138.2,6.61,1.81
2024-01-01 09:00:00,133.6,7.81,1.28
2024-01-01 09:15:00,140.94,8.72,1.6
2024-01-01 09:30:00,148.58,10.88,2.11
2024-01-01 09:45:00,147.76,9.86,2.59
2024-01-01 10:00:00,139.06,13.89,2.52
2024-01-01 10:15:00,170.39,12.36,1.71
2024-01-01 10:30:00,144.55,13.02,1.29
2024-01-01 10:45:00,149.93,12.62,1.93
2024-01-01 11:00:00,160.62,14.16,2.56
2024-01-01 11:15:00,177.1,13.81,2.78
2024-01-01 11:30:00,164.35,14.59,3.26
2024-01-01 11:45:00,162.97,14.9,2.74
2024-01-01 12:00:00,155.32,14.74,2.36
2024-01-01 12:15:00,153.43,16.34,2.14
2024-01-01 12:30:00,151.6,13.31,1.89
2024-01-01 12:45:00,140.29,14.31,2.49
2024-01-01 13:00:00,159.75,13.4,2.58
2024-01-01 13:15:00,156.61,13.26,3.19
2024-01-01 13:30:00,174.0,15.73,3.53
2024-01-01 13:45:00,137.34,15.39,3.6
2024-01-01 14:00:00,147.62,15.36,3.48
2024-01-01 14:15:00,153.68,14.83,2.83
2024-01-01 14:30:00,149.07,15.65,2.3
2024-01-01 14:45:00,149.54,13.37,2.44
2024-01-01 15:00:00,159.23,15.73,2.76
2024-01-01 15:15:00,161.63,14.87,3.16
2024-01-01 15:30:00,131.97,11.78,3.02
2024-01-01 15:45:00,147.06,10.22,2.38
2024-01-01 16:00:00,117.25,6.85,2.26
2024-01-01 16:15:00,140.07,10.1,2.39
2024-01-01 16:30:00,115.61,9.25,3.79
2024-01-01 16:45:00,114.82,10.57,3.0
2024-01-01 17:00:00,142.77,6.97,2.52
2024-01-01 17:15:00,116.11,8.11,2.62
2024-01-01 17:30:00,109.53,5.4,1.78
2024-01-01 17:45:00,103.24,5.23,3.19
2024-01-01 18:00:00,94.98,4.15,3.29
2024-01-01 18:15:00,112.02,4.26,2.86
2024-01-01 18:30:00,90.04,4.23,2.64
2024-01-01 18:45:00,87.81,0.44,2.55
2024-01-01 19:00:00,87.11,1.38,2.9
2024-01-01 19:15:00,72.68,0.0,3.97
2024-01-01 19:30:00,68.55,0.0,4.17
2024-01-01 19:45:00,76.56,0.57,3.32
2024-01-01 20:00:00,81.43,2.38,3.13
2024-01-01 20:15:00,65.76,0.66,2.84
2024-01-01 20:30:00,52.4,2.74,3.36
2024-01-01 20:45:00,93.98,0.11,3.42
2024-01-01 21:00:00,77.18,0.0,4.0
2024-01-01 21:15:00,39.46,0.73,3.36
2024-01-01 21:30:00,47.88,0.0,2.73
2024-01-01 21:45:00,61.38,0.0,3.3
2024-01-01 22:00:00,52.5,0.0,2.2
2024-01-01 22:15:00,40.56,0.0,2.21
2024-01-01 22:30:00,50.07,0.0,1.54
2024-01-01 22:45:00,42.22,0.52,2.28
2024-01-01 23:00:00,57.89,0.0,2.95
2024-01-01 23:15:00,34.43,0.0,3.32
2024-01-01 23:30:00,34.26,0.0,4.22
2024-01-01 23:45:00,28.57,0.0,3.09
2024-01-02 00:00:00,40.26,1.31,3.24
2024-01-02 00:15:00,31.72,1.09,2.91
2024-01-02 00:30:00,27.13,0.0,3.53
2024-01-02 00:45:00,28.55,0.0,2.93
2024-01-02 01:00:00,44.96,2.81,2.2
2024-01-02 01:15:00,41.42,0.0,2.27
2024-01-02 01:30:00,42.85,1.53,1.9
2024-01-02 01:45:00,45.19,3.15,3.1
2024-01-02 02:00:00,27.68,0.0,3.32
2024-01-02 02:15:00,39.87,1.75,3.01
2024-01-02 02:30:00,32.3,0.0,3.14
2024-01-02 02:45:00,40.01,0.72,2.21
2024-01-02 03:00:00,59.34,2.1,2.13
2024-01-02 03:15:00,60.53,0.0,1.88
2024-01-02 03:30:00,61.76,1.41,1.06
2024-01-02 03:45:00,70.2,0.05,1.3
2024-01-02 04:00:00,56.87,0.0,1.85
2024-01-02 04:15:00,73.22,0.0,2.72
2024-01-02 04:30:00,65.74,3.2,3.65
2024-01-02 04:45:00,86.76,1.55,3.94
2024-01-02 05:00:00,79.77,0.0,4.01
2024-01-02 05:15:00,71.46,0.0,4.14
2024-01-02 05:30:00,96.75,0.0,3.73
2024-01-02 05:45:00,81.97,1.29,2.89
2024-01-02 06:00:00,106.83,1.86,2.17
2024-01-02 06:15:00,91.17,1.77,2.14
2024-01-02 06:30:00,97.7,0.02,1.72
2024-01-02 06:45:00,88.58,0.0,3.26
2024-01-02 07:00:00,109.65,0.0,3.73
2024-01-02 07:15:00,104.66,3.48,4.15
2024-01-02 07:30:00,118.78,1.89,4.14
2024-01-02 07:45:00,113.39,3.58,3.61
2024-01-02 08:00:00,120.2,4.18,3.48
2024-01-02 08:15:00,130.87,4.1,2.61
2024-01-02 08:30:00,134.76,7.92,3.13
2024-01-02 08:45:00,119.99,5.65,3.4
2024-01-02 09:00:00,146.24,7.58,3.5
2024-01-02 09:15:00,138.68,10.94,3.67
2024-01-02 09:30:00,161.3,8.09,4.1
2024-01-02 09:45:00,140.31,9.43,3.69
2024-01-02 10:00:00,136.33,13.41,4.07
2024-01-02 10:15:00,162.17,13.72,3.52
2024-01-02 10:30:00,149.38,9.69,2.68
2024-01-02 10:45:00,147.82,11.76,2.76
2024-01-02 11:00:00,148.27,13.49,2.29
2024-01-02 11:15:00,161.56,16.04,3.34
2024-01-02 11:30:00,153.72,12.46,3.48
2024-01-02 11:45:00,171.05,14.85,3.3
2024-01-02 12:00:00,176.08,14.69,2.73
2024-01-02 12:15:00,154.01,15.46,1.37
2024-01-02 12:30:00,168.21,16.71,1.94
2024-01-02 12:45:00,161.59,14.44,2.54
2024-01-02 13:00:00,172.25,14.27,2.47
2024-01-02 13:15:00,161.83,16.41,3.41
2024-01-02 13:30:00,162.85,14.47,3.05
2024-01-02 13:45:00,139.66,14.49,2.86
2024-01-02 14:00:00,140.34,15.55,3.38
2024-01-02 14:15:00,147.32,13.59,3.2
2024-01-02 14:30:00,149.25,17.39,3.74
2024-01-02 14:45:00,158.1,12.49,3.94
2024-01-02 15:00:00,137.18,12.51,4.03
2024-01-02 15:15:00,145.64,13.07,4.17
2024-01-02 15:30:00,136.45,12.64,2.87
2024-01-02 15:45:00,141.77,11.94,2.44
2024-01-02 16:00:00,127.42,12.45,2.19
2024-01-02 16:15:00,117.09,9.96,2.19
2024-01-02 16:30:00,121.76,9.23,2.29
2024-01-02 16:45:00,119.12,10.75,2.05
2024-01-02 17:00:00,123.97,9.09,1.97
2024-01-02 17:15:00,109.61,9.24,0.96
2024-01-02 17:30:00,105.59,3.29,1.99
2024-01-02 17:45:00,104.7,4.21,2.79
2024-01-02 18:00:00,102.68,2.3,3.55
2024-01-02 18:15:00,112.0,3.29,4.6
2024-01-02 18:30:00,92.98,0.75,4.32
2024-01-02 18:45:00,94.07,0.0,3.62
2024-01-02 19:00:00,87.16,0.0,2.97
2024-01-02 19:15:00,80.17,0.0,2.96
2024-01-02 19:30:00,95.62,0.0,3.14
2024-01-02 19:45:00,86.62,0.36,3.35
2024-01-02 20:00:00,63.81,1.01,3.83
2024-01-02 20:15:00,61.38,0.0,3.3
2024-01-02 20:30:00,46.2,0.0,2.51
2024-01-02 20:45:00,59.49,0.0,2.28
2024-01-02 21:00:00,49.66,1.44,2.2
2024-01-02 21:15:00,50.6,0.0,1.68
2024-01-02 21:30:00,45.97,0.55,1.45
2024-01-02 21:45:00,68.14,0.0,1.78
2024-01-02 22:00:00,45.59,0.0,1.02
2024-01-02 22:15:00,43.88,2.49,1.81
2024-01-02 22:30:00,39.88,0.0,2.31
2024-01-02 22:45:00,48.04,0.0,2.22
2024-01-02 23:00:00,23.13,1.16,3.46
2024-01-02 23:15:00,45.87,0.0,3.71
2024-01-02 23:30:00,37.85,0.0,3.25
2024-01-02 23:45:00,18.79,0.0,3.09
2024-01-03 00:00:00,29.02,0.0,2.32
2024-01-03 00:15:00,23.05,0.56,2.11
2024-01-03 00:30:00,29.75,1.68,2.64
2024-01-03 00:45:00,36.79,0.44,2.64
2024-01-03 01:00:00,37.65,0.0,2.74
2024-01-03 01:15:00,42.44,1.63,2.81
2024-01-03 01:30:00,22.73,0.0,2.81
2024-01-03 01:45:00,61.3,0.0,3.34
2024-01-03 02:00:00,25.74,1.96,3.56
2024-01-03 02:15:00,46.75,0.96,4.16
2024-01-03 02:30:00,51.61,0.0,4.11
2024-01-03 02:45:00,54.3,0.67,3.94
2024-01-03 03:00:00,65.74,0.14,3.94
2024-01-03 03:15:00,66.85,1.79,3.4
2024-01-03 03:30:00,78.8,0.0,3.22
2024-01-03 03:45:00,49.11,0.0,2.45
2024-01-03 04:00:00,70.14,0.0,2.11
2024-01-03 04:15:00,69.89,0.0,2.22
2024-01-03 04:30:00,78.88,0.35,2.26
2024-01-03 04:45:00,85.07,0.0,3.22
2024-01-03 05:00:00,77.22,0.0,3.56
2024-01-03 05:15:00,84.95,0.4,3.17
2024-01-03 05:30:00,83.81,0.0,3.28
2024-01-03 05:45:00,108.31,0.54,2.48
2024-01-03 06:00:00,94.1,0.56,1.62
