timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,52.51,1.61,3.12
2024-01-01 00:15:00,88.48,0.0,3.49
2024-01-01 00:30:00,53.39,0.95,3.91
2024-01-01 00:45:00,77.34,1.79,3.74
2024-01-01 01:00:00,38.81,2.76,3.65
2024-01-01 01:15:00,76.99,0.0,3.7
2024-01-01 01:30:00,39.94,0.0,3.39
2024-01-01 01:45:00,31.33,0.41,3.07
2024-01-01 02:00:00,50.16,0.62,2.71
2024-01-01 02:15:00,60.16,0.0,2.74
2024-01-01 02:30:00,55.69,1.09,3.25
2024-01-01 02:45:00,71.96,0.45,3.07
2024-01-01 03:00:00,53.54,0.18,3.03
2024-01-01 03:15:00,70.49,0.64,2.94
2024-01-01 03:30:00,90.95,0.0,2.28
2024-01-01 03:45:00,66.18,0.0,3.24
2024-01-01 04:00:00,97.86,0.94,3.77
2024-01-01 04:15:00,100.86,0.0,3.73
2024-01-01 04:30:00,101.66,0.95,3.89
2024-01-01 04:45:00,99.08,0.24,3.86
2024-01-01 05:00:00,96.4,0.0,4.06
2024-01-01 05:15:00,112.91,0.0,3.68
2024-01-01 05:30:00,113.94,0.0,2.72
2024-01-01 05:45:00,103.79,0.0,2.55
2024-01-01 06:00:00,119.34,0.0,2.31
2024-01-01 06:15:00,118.18,1.65,2.53
2024-01-01 06:30:00,139.92,0.0,3.1
2024-01-01 06:45:00,152.37,0.2,3.0
2024-01-01 07:00:00,135.35,2.54,3.29
2024-01-01 07:15:00,141.9,1.25,2.79
2024-01-01 07:30:00,129.35,2.56,3.13
2024-01-01 07:45:00,140.23,3.11,3.1
2024-01-01 08:00:00,192.95,5.75,2.46
2024-01-01 08:15:00,160.52,7.43,2.89
2024-01-01 08:30:00,175.71,6.68,2.72
2024-01-01 08:45:00,173.42,7.97,2.09
2024-01-01 09:00:00,200.92,8.42,2.83
2024-01-01 09:15:00,176.32,11.66,2.57
2024-01-01 09:30:00,184.31,9.58,2.75
2024-01-01 09:45:00,181.15,13.08,2.83
2024-01-01 10:00:00,219.8,12.43,2.39
2024-01-01 10:15:00,207.05,13.39,3.34
2024-01-01 10:30:00,206.8,11.75,3.75
2024-01-01 10:45:00,187.93,13.03,4.23
2024-01-01 11:00:00,225.79,19.5,4.41
2024-01-01 11:15:00,217.4,21.71,3.87
2024-01-01 11:30:00,225.96,16.58,3.2
2024-01-01 11:45:00,195.96,22.83,2.85
2024-01-01 12:00:00,215.05,20.66,2.58
2024-01-01 12:15:00,203.2,19.17,2.77
2024-01-01 12:30:00,235.56,17.36,2.16
2024-01-01 12:45:00,228.5,23.01,2.24
2024-01-01 13:00:00,199.3,20.98,2.71
2024-01-01 13:15:00,239.76,24.88,2.31
2024-01-01 13:30:00,213.92,19.25,3.76
2024-01-01 13:45:00,236.42,17.4,3.64
2024-01-01 14:00:00,214.4,18.44,3.85
2024-01-01 14:15:00,224.63,19.85,3.46
2024-01-01 14:30:00,215.7,19.72,2.53
2024-01-01 14:45:00,202.92,23.17,2.99
2024-01-01 15:00:00,233.82,19.26,2.58
2024-01-01 15:15:00,194.56,13.22,2.99
2024-01-01 15:30:00,202.69,15.6,3.02
2024-01-01 15:45:00,205.97,14.71,2.81
2024-01-01 16:00:00,174.63,12.43,2.31
2024-01-01 16:15:00,189.82,11.33,2.47
2024-01-01 16:30:00,194.66,12.61,2.43
2024-01-01 16:45:00,200.78,12.53,3.09
2024-01-01 17:00:00,167.9,11.37,4.28
2024-01-01 17:15:00,179.43,10.29,4.43
2024-01-01 17:30:00,160.9,8.91,4.56
2024-01-01 17:45:00,145.68,7.05,3.28
2024-01-01 18:00:00,165.57,5.16,2.39
2024-01-01 18:15:00,172.77,4.23,1.71
2024-01-01 18:30:00,129.54,0.33,2.01
2024-01-01 18:45:00,150.79,0.7,2.77
2024-01-01 19:00:00,146.55,0.0,2.26
2024-01-01 19:15:00,132.18,0.82,2.17
2024-01-01 19:30:00,136.96,0.0,1.85
2024-01-01 19:45:00,125.36,1.63,1.31
2024-01-01 20:00:00,105.53,0.0,1.94
2024-01-01 20:15:00,111.33,1.19,1.66
2024-01-01 20:30:00,115.94,0.74,1.6
2024-01-01 20:45:00,97.55,0.59,2.31
2024-01-01 21:00:00,92.32,0.0,2.2
2024-01-01 21:15:00,87.0,0.0,3.33
2024-01-01 21:30:00,71.15,3.55,3.41
2024-01-01 21:45:00,65.11,1.99,3.91
2024-01-01 22:00:00,82.23,0.0,3.49
2024-01-01 22:15:00,106.44,0.0,3.29
2024-01-01 22:30:00,85.13,0.0,4.14
2024-01-01 22:45:00,54.22,2.3,3.35
2024-01-01 23:00:00,69.69,0.0,3.89
2024-01-01 23:15:00,41.25,1.85,4.25
2024-01-01 23:30:00,70.06,0.0,4.02
2024-01-01 23:45:00,33.45,0.0,4.4
2024-01-02 00:00:00,57.21,0.0,5.04
2024-01-02 00:15:00,30.09,0.0,3.82
2024-01-02 00:30:00,51.44,2.95,3.26
2024-01-02 00:45:00,40.4,1.94,2.88
2024-01-02 01:00:00,63.28,0.0,2.27
2024-01-02 01:15:00,54.51,3.45,2.42
2024-01-02 01:30:00,64.67,0.68,2.29
2024-01-02 01:45:00,50.44,3.5,2.06
2024-01-02 02:00:00,75.27,0.0,1.68
2024-01-02 02:15:00,79.66,1.72,2.4
2024-01-02 02:30:00,54.46,0.0,2.9
2024-01-02 02:45:00,70.37,0.0,3.77
2024-01-02 03:00:00,76.32,0.3,3.97
