timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,36.62,1.65,5.23
2024-01-01 00:15:00,52.48,0.0,4.48
2024-01-01 00:30:00,70.6,1.15,3.61
2024-01-01 00:45:00,76.48,1.52,4.07
2024-01-01 01:00:00,56.41,2.27,3.34
2024-01-01 01:15:00,60.37,1.25,4.81
2024-01-01 01:30:00,51.87,0.18,6.02
2024-01-01 01:45:00,49.7,1.67,6.94
2024-01-01 02:00:00,65.34,0.55,7.53
2024-01-01 02:15:00,43.92,0.31,7.44
2024-01-01 02:30:00,55.64,0.27,7.04
2024-01-01 02:45:00,83.49,0.83,6.34
2024-01-01 03:00:00,74.22,0.91,7.26
2024-01-01 03:15:00,85.11,0.94,5.61
2024-01-01 03:30:00,80.37,1.47,6.9
2024-01-01 03:45:00,82.14,1.18,5.84
2024-01-01 04:00:00,117.83,0.0,5.81
2024-01-01 04:15:00,81.43,2.08,6.88
2024-01-01 04:30:00,101.54,0.56,5.83
2024-01-01 04:45:00,116.29,1.88,5.89
2024-01-01 05:00:00,98.48,0.0,5.51
2024-01-01 05:15:00,109.36,0.56,4.41
2024-01-01 05:30:00,118.45,0.99,4.02
2024-01-01 05:45:00,136.76,1.48,4.78
2024-01-01 06:00:00,130.47,0.0,4.78
2024-01-01 06:15:00,135.72,0.18,6.15
2024-01-01 06:30:00,132.71,0.0,5.53
2024-01-01 06:45:00,113.5,0.0,5.97
2024-01-01 07:00:00,135.22,0.0,5.9
2024-01-01 07:15:00,151.78,2.02,4.89
2024-01-01 07:30:00,147.76,3.38,5.19
2024-01-01 07:45:00,155.64,1.73,4.67
2024-01-01 08:00:00,172.92,4.73,3.88
2024-01-01 08:15:00,151.1,5.13,5.21
2024-01-01 08:30:00,154.93,4.36,5.59
2024-01-01 08:45:00,184.31,8.18,4.39
2024-01-01 09:00:00,195.36,9.16,3.94
2024-01-01 09:15:00,191.05,5.85,4.6
2024-01-01 09:30:00,175.97,9.16,4.96
2024-01-01 09:45:00,188.96,11.67,6.31
2024-01-01 10:00:00,210.16,10.05,6.99
2024-01-01 10:15:00,207.95,12.12,5.84
2024-01-01 10:30:00,196.49,12.91,5.9
2024-01-01 10:45:00,211.91,9.67,6.12
2024-01-01 11:00:00,205.34,14.64,7.09
2024-01-01 11:15:00,189.0,12.89,7.33
2024-01-01 11:30:00,203.09,15.36,8.04
2024-01-01 11:45:00,178.6,14.26,7.68
2024-01-01 12:00:00,204.66,15.59,6.34
2024-01-01 12:15:00,214.05,14.66,6.75
2024-01-01 12:30:00,207.01,14.37,5.65
2024-01-01 12:45:00,172.96,11.61,6.05
2024-01-01 13:00:00,203.29,13.63,6.48
2024-01-01 13:15:00,196.46,16.43,5.3
2024-01-01 13:30:00,202.35,16.1,6.19
2024-01-01 13:45:00,190.57,15.75,6.13
2024-01-01 14:00:00,202.9,13.86,6.08
2024-01-01 14:15:00,210.96,16.38,6.26
2024-01-01 14:30:00,209.4,18.18,5.91
2024-01-01 14:45:00,145.24,12.29,5.95
2024-01-01 15:00:00,187.58,13.93,6.36
2024-01-01 15:15:00,173.34,14.97,7.07
2024-01-01 15:30:00,168.08,14.01,6.32
2024-01-01 15:45:00,173.3,12.07,6.81
2024-01-01 16:00:00,135.21,10.75,6.91
2024-01-01 16:15:00,138.02,13.05,5.96
2024-01-01 16:30:00,177.06,8.3,5.93
2024-01-01 16:45:00,153.94,8.95,4.51
2024-01-01 17:00:00,155.26,7.31,4.41
2024-01-01 17:15:00,121.06,5.4,4.28
2024-01-01 17:30:00,123.9,8.83,4.3
2024-01-01 17:45:00,104.27,8.36,5.06
2024-01-01 18:00:00,116.07,3.89,5.61
2024-01-01 18:15:00,108.24,2.06,6.45
2024-01-01 18:30:00,108.93,0.69,6.73
2024-01-01 18:45:00,120.54,2.07,6.34
2024-01-01 19:00:00,108.32,1.24,6.45
2024-01-01 19:15:00,109.27,0.16,6.01
2024-01-01 19:30:00,93.56,0.56,5.81
2024-01-01 19:45:00,120.58,0.53,5.41
2024-01-01 20:00:00,92.49,0.0,3.64
2024-01-01 20:15:00,82.14,0.0,2.61
2024-01-01 20:30:00,73.44,0.0,1.62
2024-01-01 20:45:00,71.86,0.0,2.29
2024-01-01 21:00:00,78.32,0.33,3.15
2024-01-01 21:15:00,66.04,0.0,5.44
2024-01-01 21:30:00,79.12,0.06,7.95
2024-01-01 21:45:00,41.76,0.0,8.51
2024-01-01 22:00:00,89.18,0.0,8.37
2024-01-01 22:15:00,40.14,0.69,8.57
2024-01-01 22:30:00,67.92,0.0,8.12
2024-01-01 22:45:00,50.73,0.0,8.81
2024-01-01 23:00:00,58.46,0.0,8.5
2024-01-01 23:15:00,55.33,3.21,7.83
2024-01-01 23:30:00,42.45,3.59,6.47
2024-01-01 23:45:00,48.88,0.2,4.38
2024-01-02 00:00:00,63.37,0.0,6.26
2024-01-02 00:15:00,51.8,0.82,5.61
2024-01-02 00:30:00,78.17,0.0,5.29
2024-01-02 00:45:00,65.61,0.0,7.48
2024-01-02 01:00:00,14.96,0.25,7.22
2024-01-02 01:15:00,45.65,0.0,7.58
2024-01-02 01:30:00,36.88,0.0,9.05
2024-01-02 01:45:00,39.63,0.61,7.69
2024-01-02 02:00:00,49.13,0.15,8.5
2024-01-02 02:15:00,61.97,0.0,9.25
2024-01-02 02:30:00,74.03,0.0,7.82
2024-01-02 02:45:00,45.6,2.19,7.07
2024-01-02 03:00:00,77.17,0.0,5.27
2024-01-02 03:15:00,62.26,1.55,4.4
