timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,38.85,0.27,2.7
2024-01-01 00:15:00,41.46,0.6,1.28
2024-01-01 00:30:00,22.35,1.5,1.89
2024-01-01 00:45:00,31.59,0.0,1.94
2024-01-01 01:00:00,23.89,0.0,2.01
2024-01-01 01:15:00,29.92,0.04,2.76
2024-01-01 01:30:00,38.34,0.0,3.07
2024-01-01 01:45:00,28.41,1.72,3.55
2024-01-01 02:00:00,44.05,0.12,3.62
2024-01-01 02:15:00,47.16,0.0,3.41
2024-01-01 02:30:00,43.79,1.38,2.97
2024-01-01 02:45:00,43.93,0.71,2.96
2024-01-01 03:00:00,43.93,0.0,3.25
2024-01-01 03:15:00,47.26,2.05,3.23
2024-01-01 03:30:00,44.32,0.0,3.26
2024-01-01 03:45:00,54.47,0.53,3.3
2024-01-01 04:00:00,31.2,0.58,3.4
2024-01-01 04:15:00,60.79,0.0,3.89
2024-01-01 04:30:00,54.02,0.0,4.57
2024-01-01 04:45:00,62.92,2.62,3.84
2024-01-01 05:00:00,60.86,0.0,3.28
2024-01-01 05:15:00,85.22,0.0,3.15
2024-01-01 05:30:00,63.86,0.97,2.48
2024-01-01 05:45:00,62.59,0.0,3.38
2024-01-01 06:00:00,65.58,1.23,3.89
2024-01-01 06:15:00,78.5,0.66,3.69
2024-01-01 06:30:00,76.84,0.0,3.48
2024-01-01 06:45:00,68.41,1.04,3.22
2024-01-01 07:00:00,85.59,0.1,3.49
2024-01-01 07:15:00,95.43,1.55,3.07
2024-01-01 07:30:00,102.9,0.0,3.83
2024-01-01 07:45:00,93.33,1.19,3.75
2024-01-01 08:00:00,119.17,3.81,3.45
2024-01-01 08:15:00,103.1,3.58,4.2
2024-01-01 08:30:00,115.3,3.9,3.36
2024-01-01 08:45:00,114.34,3.82,3.4
2024-01-01 09:00:00,110.49,4.16,2.76
2024-01-01 09:15:00,113.22,3.85,2.89
2024-01-01 09:30:00,111.14,6.96,3.68
2024-01-01 09:45:00,116.22,6.36,3.08
2024-01-01 10:00:00,125.88,7.89,3.72
2024-01-01 10:15:00,124.9,7.35,2.98
2024-01-01 10:30:00,123.1,8.67,2.47
2024-01-01 10:45:00,116.77,9.46,4.09
2024-01-01 11:00:00,134.91,8.24,3.93
2024-01-01 11:15:00,125.15,10.27,4.75
2024-01-01 11:30:00,123.8,10.5,5.22
2024-01-01 11:45:00,118.21,9.82,3.89
2024-01-01 12:00:00,138.51,9.57,4.18
2024-01-01 12:15:00,132.94,10.7,4.27
2024-01-01 12:30:00,120.66,10.45,4.04
2024-01-01 12:45:00,150.49,11.25,3.98
2024-01-01 13:00:00,113.04,11.26,3.39
2024-01-01 13:15:00,122.18,10.73,3.06
2024-01-01 13:30:00,122.86,9.31,3.4
2024-01-01 13:45:00,116.92,7.64,3.55
2024-01-01 14:00:00,122.05,10.24,3.24
2024-01-01 14:15:00,124.57,9.48,2.51
2024-01-01 14:30:00,131.03,11.19,2.2
2024-01-01 14:45:00,107.58,7.03,2.08
2024-01-01 15:00:00,127.73,8.19,2.48
2024-01-01 15:15:00,115.08,7.22,2.73
2024-01-01 15:30:00,121.28,5.61,2.82
2024-01-01 15:45:00,104.7,8.29,2.71
2024-01-01 16:00:00,108.19,7.88,2.58
2024-01-01 16:15:00,94.33,5.44,2.69
2024-01-01 16:30:00,111.15,6.67,2.55
2024-01-01 16:45:00,96.37,5.1,2.37
