timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,429.64,0.0,9.75
2024-01-01 00:15:00,238.31,3.3,7.78
2024-01-01 00:30:00,337.44,11.22,7.6
2024-01-01 00:45:00,444.93,0.0,7.75
2024-01-01 01:00:00,324.88,14.4,7.31
2024-01-01 01:15:00,520.26,0.0,5.98
2024-01-01 01:30:00,448.23,4.87,6.16
2024-01-01 01:45:00,339.07,0.0,6.81
2024-01-01 02:00:00,323.38,0.0,7.78
2024-01-01 02:15:00,388.93,9.14,9.22
2024-01-01 02:30:00,374.39,3.27,8.85
2024-01-01 02:45:00,353.39,0.0,6.9
2024-01-01 03:00:00,536.52,0.75,4.79
2024-01-01 03:15:00,425.04,0.0,6.21
2024-01-01 03:30:00,494.9,2.94,5.65
2024-01-01 03:45:00,527.11,0.0,6.86
2024-01-01 04:00:00,517.11,9.77,6.16
2024-01-01 04:15:00,711.39,12.71,4.12
2024-01-01 04:30:00,506.57,0.0,4.76
2024-01-01 04:45:00,444.22,0.0,4.2
2024-01-01 05:00:00,570.95,17.17,4.72
2024-01-01 05:15:00,604.83,0.0,4.58
2024-01-01 05:30:00,617.5,6.8,3.51
2024-01-01 05:45:00,626.66,11.01,3.23
2024-01-01 06:00:00,721.07,0.0,3.58
2024-01-01 06:15:00,811.59,0.0,4.42
2024-01-01 06:30:00,811.98,14.09,5.33
2024-01-01 06:45:00,736.83,6.56,5.51
2024-01-01 07:00:00,820.35,2.99,6.1
2024-01-01 07:15:00,875.03,10.74,4.66
2024-01-01 07:30:00,855.7,23.24,4.12
2024-01-01 07:45:00,907.67,25.74,5.51
2024-01-01 08:00:00,984.17,21.51,5.44
2024-01-01 08:15:00,919.9,35.6,5.86
2024-01-01 08:30:00,1077.85,35.01,6.22
2024-01-01 08:45:00,873.83,47.75,3.96
2024-01-01 09:00:00,965.95,59.63,3.76
2024-01-01 09:15:00,995.78,55.94,4.11
2024-01-01 09:30:00,1185.96,56.07,5.44
2024-01-01 09:45:00,1059.06,72.41,6.51
2024-01-01 10:00:00,1151.15,69.45,4.7
2024-01-01 10:15:00,1061.93,81.13,4.81
2024-01-01 10:30:00,1144.56,82.54,2.32
2024-01-01 10:45:00,932.74,80.68,2.79
2024-01-01 11:00:00,1226.16,90.25,4.28
2024-01-01 11:15:00,1152.69,106.49,3.95
2024-01-01 11:30:00,1108.23,85.61,5.15
2024-01-01 11:45:00,1071.74,80.2,4.31
2024-01-01 12:00:00,1114.45,100.21,4.62
2024-01-01 12:15:00,1073.22,75.02,6.56
2024-01-01 12:30:00,1015.29,90.69,6.99
2024-01-01 12:45:00,1128.12,98.07,8.21
2024-01-01 13:00:00,967.71,110.46,8.04
2024-01-01 13:15:00,1077.5,96.72,6.86
2024-01-01 13:30:00,1035.7,109.18,6.05
2024-01-01 13:45:00,1057.16,99.2,5.7
2024-01-01 14:00:00,1010.74,109.72,6.82
2024-01-01 14:15:00,999.98,104.21,7.6
2024-01-01 14:30:00,1003.67,90.15,6.84
2024-01-01 14:45:00,931.85,87.29,5.98
2024-01-01 15:00:00,867.7,99.71,4.42
2024-01-01 15:15:00,1117.44,103.03,3.16
2024-01-01 15:30:00,905.21,69.36,2.71
2024-01-01 15:45:00,779.12,71.36,3.27
2024-01-01 16:00:00,1024.53,59.93,3.62
2024-01-01 16:15:00,899.37,69.65,4.54
2024-01-01 16:30:00,741.15,43.33,6.05
2024-01-01 16:45:00,630.15,53.85,6.53
2024-01-01 17:00:00,687.68,58.38,6.55
2024-01-01 17:15:00,756.95,59.3,4.79
2024-01-01 17:30:00,739.8,39.29,5.33
2024-01-01 17:45:00,652.95,38.2,3.24
2024-01-01 18:00:00,680.72,24.32,3.22
2024-01-01 18:15:00,474.77,25.4,3.45
2024-01-01 18:30:00,559.3,31.41,3.28
2024-01-01 18:45:00,637.02,0.0,6.39
2024-01-01 19:00:00,590.41,7.93,5.64
2024-01-01 19:15:00,624.55,0.0,7.77
2024-01-01 19:30:00,498.96,21.79,7.36
2024-01-01 19:45:00,472.16,3.92,6.28
2024-01-01 20:00:00,461.49,0.0,6.73
2024-01-01 20:15:00,454.21,0.0,6.83
2024-01-01 20:30:00,355.02,0.0,4.9
2024-01-01 20:45:00,394.45,0.0,3.69
2024-01-01 21:00:00,432.57,0.74,3.83
2024-01-01 21:15:00,240.14,4.86,2.84
2024-01-01 21:30:00,396.49,8.36,5.63
2024-01-01 21:45:00,224.65,6.93,5.69
2024-01-01 22:00:00,264.38,0.0,5.38
2024-01-01 22:15:00,303.39,0.32,4.17
2024-01-01 22:30:00,254.8,3.21,3.41
2024-01-01 22:45:00,243.41,0.0,4.33
2024-01-01 23:00:00,288.42,0.0,3.71
2024-01-01 23:15:00,353.65,0.0,4.7
2024-01-01 23:30:00,276.43,19.23,2.99
2024-01-01 23:45:00,282.79,18.05,2.46
2024-01-02 00:00:00,414.74,0.0,3.41
2024-01-02 00:15:00,268.12,0.0,3.22
2024-01-02 00:30:00,248.94,5.86,5.12
2024-01-02 00:45:00,325.12,0.0,4.92
2024-01-02 01:00:00,312.39,0.0,5.36
2024-01-02 01:15:00,383.45,0.0,6.38
2024-01-02 01:30:00,344.93,0.94,7.0
2024-01-02 01:45:00,378.36,2.57,6.93
2024-01-02 02:00:00,450.02,6.45,7.81
2024-01-02 02:15:00,338.08,8.4,6.56
2024-01-02 02:30:00,324.68,0.0,5.78
2024-01-02 02:45:00,359.13,0.0,6.37
2024-01-02 03:00:00,390.16,10.7,5.76
2024-01-02 03:15:00,464.37,2.02,5.91
2024-01-02 03:30:00,529.02,9.19,6.2
2024-01-02 03:45:00,455.11,8.05,5.42
2024-01-02 04:00:00,418.19,0.0,5.45
2024-01-02 04:15:00,480.19,2.09,5.69
2024-01-02 04:30:00,644.03,0.0,5.79
2024-01-02 04:45:00,631.75,0.0,6.32
2024-01-02 05:00:00,628.7,15.59,5.55
2024-01-02 05:15:00,646.36,0.0,5.61
2024-01-02 05:30:00,674.89,1.52,6.21
2024-01-02 05:45:00,604.11,0.0,6.54
2024-01-02 06:00:00,648.4,0.0,7.35
2024-01-02 06:15:00,779.97,17.26,7.06
2024-01-02 06:30:00,868.38,0.0,6.26
2024-01-02 06:45:00,837.25,2.6,5.99
2024-01-02 07:00:00,792.83,0.0,4.44
2024-01-02 07:15:00,811.9,0.0,4.96
2024-01-02 07:30:00,954.08,7.48,4.48
2024-01-02 07:45:00,951.39,5.96,3.71
2024-01-02 08:00:00,960.72,21.36,5.2
2024-01-02 08:15:00,941.92,36.85,4.57
2024-01-02 08:30:00,1051.25,35.88,5.08
2024-01-02 08:45:00,1034.24,63.69,6.31
2024-01-02 09:00:00,995.39,57.34,6.59
2024-01-02 09:15:00,965.66,50.45,7.3
2024-01-02 09:30:00,928.03,56.75,6.68
2024-01-02 09:45:00,1060.47,82.63,5.58
2024-01-02 10:00:00,1018.59,73.75,6.25
2024-01-02 10:15:00,1025.28,64.0,5.54
2024-01-02 10:30:00,1095.0,68.68,6.31
2024-01-02 10:45:00,974.25,120.31,6.55
2024-01-02 11:00:00,1208.43,103.06,4.84
2024-01-02 11:15:00,1198.43,93.93,6.37
2024-01-02 11:30:00,1082.61,80.4,5.8
2024-01-02 11:45:00,1049.69,88.53,7.52
2024-01-02 12:00:00,1084.66,92.72,5.81
2024-01-02 12:15:00,1110.45,124.41,4.96
2024-01-02 12:30:00,1218.08,98.97,5.89
2024-01-02 12:45:00,1007.87,98.34,3.88
2024-01-02 13:00:00,934.84,108.69,6.19
2024-01-02 13:15:00,1067.04,113.48,5.81
2024-01-02 13:30:00,1106.74,97.92,5.31
2024-01-02 13:45:00,920.41,102.37,6.0
2024-01-02 14:00:00,853.14,91.15,7.31
2024-01-02 14:15:00,943.02,94.21,9.06
2024-01-02 14:30:00,1052.97,95.52,8.93
2024-01-02 14:45:00,965.16,107.75,8.81
2024-01-02 15:00:00,989.34,93.69,6.7
2024-01-02 15:15:00,985.7,85.73,4.38
2024-01-02 15:30:00,978.62,77.92,3.87
2024-01-02 15:45:00,880.3,99.1,4.29
2024-01-02 16:00:00,948.21,76.61,5.54
2024-01-02 16:15:00,867.33,61.52,7.63
2024-01-02 16:30:00,946.52,51.11,7.31
2024-01-02 16:45:00,819.53,54.52,6.91
2024-01-02 17:00:00,681.47,65.72,6.79
2024-01-02 17:15:00,659.66,51.63,4.33
2024-01-02 17:30:00,804.83,35.03,5.23
2024-01-02 17:45:00,685.22,31.13,4.82
2024-01-02 18:00:00,758.97,38.01,4.29
2024-01-02 18:15:00,601.8,24.13,5.66
2024-01-02 18:30:00,586.87,12.48,4.7
2024-01-02 18:45:00,349.83,15.33,5.15
2024-01-02 19:00:00,631.84,0.0,5.32
2024-01-02 19:15:00,454.96,0.0,4.35
2024-01-02 19:30:00,442.53,0.0,5.42
2024-01-02 19:45:00,459.0,15.17,4.84
2024-01-02 20:00:00,338.35,7.67,4.76
2024-01-02 20:15:00,395.65,0.0,5.07
2024-01-02 20:30:00,322.65,0.0,5.37
2024-01-02 20:45:00,441.76,0.0,7.12
2024-01-02 21:00:00,318.11,0.0,5.76
2024-01-02 21:15:00,357.55,16.14,6.61
2024-01-02 21:30:00,327.59,0.0,5.03
2024-01-02 21:45:00,389.45,3.9,3.24
2024-01-02 22:00:00,350.55,0.0,4.44
2024-01-02 22:15:00,198.12,0.0,4.42
2024-01-02 22:30:00,307.01,0.0,5.49
2024-01-02 22:45:00,377.04,0.33,4.99
2024-01-02 23:00:00,316.14,0.0,5.1
