timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,39.95,0.0,3.47
2024-01-01 00:15:00,44.89,0.43,2.82
2024-01-01 00:30:00,51.83,0.77,3.65
2024-01-01 00:45:00,47.89,1.15,3.35
2024-01-01 01:00:00,40.45,0.38,3.14
2024-01-01 01:15:00,51.04,0.07,3.56
2024-01-01 01:30:00,48.58,0.0,2.69
2024-01-01 01:45:00,34.57,0.0,2.66
2024-01-01 02:00:00,37.41,0.57,2.5
2024-01-01 02:15:00,47.52,0.0,1.74
2024-01-01 02:30:00,37.66,0.79,2.17
2024-01-01 02:45:00,44.61,0.67,2.57
2024-01-01 03:00:00,48.71,0.12,3.42
2024-01-01 03:15:00,61.83,0.0,3.95
2024-01-01 03:30:00,62.13,1.13,3.11
2024-01-01 03:45:00,36.93,0.0,2.68
2024-01-01 04:00:00,71.91,0.0,2.75
2024-01-01 04:15:00,65.18,0.0,2.42
2024-01-01 04:30:00,59.01,0.46,3.05
2024-01-01 04:45:00,66.27,0.14,3.24
2024-01-01 05:00:00,66.74,0.0,2.19
2024-01-01 05:15:00,75.02,0.0,2.5
2024-01-01 05:30:00,94.24,0.0,1.69
2024-01-01 05:45:00,80.29,0.19,1.69
2024-01-01 06:00:00,93.81,0.0,2.09
2024-01-01 06:15:00,80.41,0.0,2.12
2024-01-01 06:30:00,105.96,0.0,3.2
2024-01-01 06:45:00,105.66,0.79,2.93
2024-01-01 07:00:00,99.84,0.0,2.66
2024-01-01 07:15:00,112.35,1.61,3.21
2024-01-01 07:30:00,119.58,1.07,2.96
2024-01-01 07:45:00,124.57,1.97,3.67
2024-01-01 08:00:00,132.71,1.37,3.11
2024-01-01 08:15:00,134.75,2.79,2.82
2024-01-01 08:30:00,115.77,3.82,2.71
2024-01-01 08:45:00,134.43,6.84,2.14
2024-01-01 09:00:00,133.96,7.06,2.45
2024-01-01 09:15:00,134.52,5.01,1.53
2024-01-01 09:30:00,135.9,5.22,1.67
2024-01-01 09:45:00,156.42,7.09,2.02
2024-01-01 10:00:00,160.8,7.04,2.92
2024-01-01 10:15:00,144.5,6.43,3.51
2024-01-01 10:30:00,141.67,9.78,3.52
2024-01-01 10:45:00,154.56,6.38,3.13
2024-01-01 11:00:00,137.29,9.35,3.14
2024-01-01 11:15:00,168.28,9.83,3.3
2024-01-01 11:30:00,149.33,9.52,3.51
2024-01-01 11:45:00,165.44,8.37,3.49
2024-01-01 12:00:00,154.03,10.18,2.88
2024-01-01 12:15:00,157.17,9.75,3.08
2024-01-01 12:30:00,162.67,9.12,2.82
2024-01-01 12:45:00,170.06,10.53,2.25
2024-01-01 13:00:00,171.97,9.57,3.0
2024-01-01 13:15:00,184.16,10.96,3.28
2024-01-01 13:30:00,158.73,9.61,3.07
2024-01-01 13:45:00,155.54,11.87,3.89
2024-01-01 14:00:00,152.39,9.29,3.43
2024-01-01 14:15:00,158.01,9.64,2.83
2024-01-01 14:30:00,167.18,10.08,2.73
2024-01-01 14:45:00,138.33,10.42,2.56
2024-01-01 15:00:00,139.31,9.28,2.79
2024-01-01 15:15:00,144.69,7.98,1.95
2024-01-01 15:30:00,139.8,6.62,1.8
2024-01-01 15:45:00,142.28,7.14,1.77
2024-01-01 16:00:00,132.95,7.29,1.38
2024-01-01 16:15:00,128.56,6.42,2.4
2024-01-01 16:30:00,137.68,5.69,2.75
2024-01-01 16:45:00,115.46,5.1,2.72
2024-01-01 17:00:00,126.98,3.69,2.98
2024-01-01 17:15:00,122.53,5.6,2.69
2024-01-01 17:30:00,109.61,3.39,3.19
2024-01-01 17:45:00,100.04,3.23,3.26
2024-01-01 18:00:00,115.37,2.34,2.96
2024-01-01 18:15:00,104.81,2.9,3.27
2024-01-01 18:30:00,119.74,1.91,2.84
2024-01-01 18:45:00,101.35,1.42,2.88
2024-01-01 19:00:00,67.37,1.16,2.89
2024-01-01 19:15:00,82.96,0.48,2.12
2024-01-01 19:30:00,85.93,0.0,2.61
2024-01-01 19:45:00,73.09,0.0,2.52
2024-01-01 20:00:00,72.02,0.0,2.59
2024-01-01 20:15:00,66.44,0.0,3.58
2024-01-01 20:30:00,86.97,0.95,2.68
2024-01-01 20:45:00,62.94,0.89,2.67
2024-01-01 21:00:00,57.63,1.11,2.89
2024-01-01 21:15:00,58.07,0.0,2.32
2024-01-01 21:30:00,52.25,0.0,3.15
2024-01-01 21:45:00,45.22,0.19,3.32
2024-01-01 22:00:00,57.64,1.43,2.92
2024-01-01 22:15:00,40.84,0.32,3.95
2024-01-01 22:30:00,41.27,0.55,4.03
2024-01-01 22:45:00,56.83,0.39,4.52
2024-01-01 23:00:00,35.51,0.41,4.5
2024-01-01 23:15:00,38.21,0.54,3.73
2024-01-01 23:30:00,38.39,0.0,3.14
2024-01-01 23:45:00,43.52,0.0,2.43
2024-01-02 00:00:00,53.0,0.63,2.6
2024-01-02 00:15:00,50.93,0.0,2.57
2024-01-02 00:30:00,18.26,0.0,3.37
