timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,42.82,2.21,3.1
2024-01-01 00:15:00,27.92,0.0,14.25
2024-01-01 00:30:00,34.37,1.33,16.58
2024-01-01 00:45:00,20.34,0.0,19.77
2024-01-01 01:00:00,26.4,0.09,22.88
2024-01-01 01:15:00,24.93,0.0,22.6
2024-01-01 01:30:00,51.85,0.0,27.38
2024-01-01 01:45:00,42.29,0.0,24.74
2024-01-01 02:00:00,50.39,1.61,25.24
2024-01-01 02:15:00,47.44,0.0,21.21
2024-01-01 02:30:00,55.63,0.94,16.24
2024-01-01 02:45:00,51.87,1.31,17.67
2024-01-01 03:00:00,35.35,2.38,20.4
2024-01-01 03:15:00,52.59,0.0,25.11
2024-01-01 03:30:00,63.47,0.23,22.62
2024-01-01 03:45:00,51.42,1.99,21.48
2024-01-01 04:00:00,43.34,0.49,16.51
2024-01-01 04:15:00,44.0,0.0,13.44
2024-01-01 04:30:00,51.36,0.0,20.22
2024-01-01 04:45:00,57.9,1.94,18.07
2024-01-01 05:00:00,55.71,0.38,27.98
2024-01-01 05:15:00,48.1,3.59,27.67
2024-01-01 05:30:00,65.84,0.0,31.64
2024-01-01 05:45:00,66.36,0.0,35.93
2024-01-01 06:00:00,63.13,0.4,29.32
2024-01-01 06:15:00,65.67,0.0,31.59
2024-01-01 06:30:00,67.07,2.88,26.42
2024-01-01 06:45:00,78.73,0.0,25.35
2024-01-01 07:00:00,79.73,2.43,22.55
2024-01-01 07:15:00,93.06,0.0,25.59
2024-01-01 07:30:00,99.09,0.73,23.55
2024-01-01 07:45:00,95.9,3.97,28.41
2024-01-01 08:00:00,93.8,1.93,32.35
2024-01-01 08:15:00,89.01,8.27,27.34
2024-01-01 08:30:00,99.01,6.01,27.14
2024-01-01 08:45:00,87.01,5.77,24.99
2024-01-01 09:00:00,108.89,5.66,21.7
2024-01-01 09:15:00,99.31,11.19,26.47
2024-01-01 09:30:00,103.49,10.56,24.3
2024-01-01 09:45:00,110.26,9.59,23.15
2024-01-01 10:00:00,109.89,9.05,22.33
2024-01-01 10:15:00,99.4,10.58,21.21
2024-01-01 10:30:00,122.22,10.63,23.46
2024-01-01 10:45:00,114.77,12.22,23.86
2024-01-01 11:00:00,124.31,14.61,28.4
2024-01-01 11:15:00,115.99,14.44,28.81
2024-01-01 11:30:00,127.47,14.32,25.73
2024-01-01 11:45:00,111.73,15.35,19.6
2024-01-01 12:00:00,124.66,14.73,15.88
2024-01-01 12:15:00,124.28,19.16,10.03
2024-01-01 12:30:00,126.24,15.32,11.81
2024-01-01 12:45:00,115.47,12.8,13.95
2024-01-01 13:00:00,125.21,17.45,19.91
2024-01-01 13:15:00,113.45,15.93,24.64
2024-01-01 13:30:00,119.88,16.53,24.31
2024-01-01 13:45:00,113.9,14.85,23.95
2024-01-01 14:00:00,118.63,14.44,23.04
2024-01-01 14:15:00,109.83,15.52,20.9
2024-01-01 14:30:00,115.64,11.88,18.05
2024-01-01 14:45:00,108.28,13.21,23.2
2024-01-01 15:00:00,114.65,13.35,18.67
2024-01-01 15:15:00,111.01,13.23,16.37
2024-01-01 15:30:00,119.68,10.07,21.07
2024-01-01 15:45:00,100.17,12.7,21.74
2024-01-01 16:00:00,100.91,12.15,23.1
2024-01-01 16:15:00,101.04,9.42,27.5
2024-01-01 16:30:00,99.05,9.76,23.13
2024-01-01 16:45:00,100.16,8.85,19.09
2024-01-01 17:00:00,102.74,5.94,18.14
2024-01-01 17:15:00,94.17,3.4,19.56
2024-01-01 17:30:00,102.41,7.79,23.41
2024-01-01 17:45:00,84.81,5.4,25.13
2024-01-01 18:00:00,69.2,3.32,30.4
2024-01-01 18:15:00,67.24,1.85,24.8
2024-01-01 18:30:00,69.88,4.14,25.02
2024-01-01 18:45:00,59.19,1.16,25.77
2024-01-01 19:00:00,65.74,0.36,22.01
2024-01-01 19:15:00,51.02,2.17,33.18
2024-01-01 19:30:00,68.12,0.12,35.48
2024-01-01 19:45:00,65.15,1.27,28.2
2024-01-01 20:00:00,60.11,1.2,28.01
2024-01-01 20:15:00,62.21,0.44,18.33
