timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,29.84,0.0,41.72
2024-01-01 00:15:00,24.07,0.0,42.17
2024-01-01 00:30:00,27.22,0.01,31.57
2024-01-01 00:45:00,23.38,0.0,31.56
2024-01-01 01:00:00,28.21,1.49,24.74
2024-01-01 01:15:00,11.42,0.0,20.22
2024-01-01 01:30:00,31.4,0.0,21.65
2024-01-01 01:45:00,21.59,0.0,18.4
2024-01-01 02:00:00,29.11,1.87,16.01
2024-01-01 02:15:00,32.4,0.0,18.35
2024-01-01 02:30:00,34.14,0.0,16.52
2024-01-01 02:45:00,47.72,0.0,14.77
2024-01-01 03:00:00,42.09,2.7,19.99
2024-01-01 03:15:00,56.49,2.47,16.55
2024-01-01 03:30:00,43.81,0.0,18.66
2024-01-01 03:45:00,44.83,3.31,24.18
2024-01-01 04:00:00,51.24,0.0,21.4
2024-01-01 04:15:00,54.76,0.0,17.46
2024-01-01 04:30:00,34.47,0.0,18.48
2024-01-01 04:45:00,43.4,1.72,16.2
2024-01-01 05:00:00,64.31,0.0,16.68
2024-01-01 05:15:00,50.8,0.0,16.68
2024-01-01 05:30:00,61.08,0.0,14.19
2024-01-01 05:45:00,63.03,0.0,11.18
2024-01-01 06:00:00,64.14,0.41,8.85
2024-01-01 06:15:00,72.98,4.4,14.75
2024-01-01 06:30:00,63.85,1.14,10.08
2024-01-01 06:45:00,79.32,0.0,10.13
2024-01-01 07:00:00,77.14,0.0,14.94
2024-01-01 07:15:00,76.89,3.06,10.08
2024-01-01 07:30:00,83.8,1.46,16.11
2024-01-01 07:45:00,90.15,4.31,16.34
2024-01-01 08:00:00,87.14,4.62,11.2
2024-01-01 08:15:00,100.14,6.31,14.68
2024-01-01 08:30:00,96.17,5.25,15.5
2024-01-01 08:45:00,93.49,10.73,17.8
2024-01-01 09:00:00,115.55,7.34,22.92
2024-01-01 09:15:00,102.48,10.91,21.5
2024-01-01 09:30:00,104.72,10.6,24.42
2024-01-01 09:45:00,101.75,14.5,25.54
