timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,31.9,1.2,25.08
2024-01-01 00:15:00,26.83,1.41,22.31
2024-01-01 00:30:00,34.15,0.0,16.57
2024-01-01 00:45:00,31.86,3.37,18.59
2024-01-01 01:00:00,25.23,1.09,19.14
2024-01-01 01:15:00,29.5,0.0,18.15
2024-01-01 01:30:00,33.7,0.69,22.03
2024-01-01 01:45:00,31.17,0.0,19.38
2024-01-01 02:00:00,40.04,1.8,13.27
2024-01-01 02:15:00,56.41,0.0,12.52
2024-01-01 02:30:00,45.48,0.81,11.19
2024-01-01 02:45:00,34.07,0.02,8.92
2024-01-01 03:00:00,44.01,0.0,10.19
2024-01-01 03:15:00,38.27,0.93,11.87
2024-01-01 03:30:00,50.98,1.24,15.04
2024-01-01 03:45:00,51.29,0.0,15.75
2024-01-01 04:00:00,49.16,0.0,16.6
2024-01-01 04:15:00,60.1,0.0,20.72
2024-01-01 04:30:00,68.86,1.51,18.45
2024-01-01 04:45:00,61.38,1.07,19.19
2024-01-01 05:00:00,73.23,0.0,23.47
2024-01-01 05:15:00,79.97,0.0,16.97
2024-01-01 05:30:00,73.28,0.0,16.48
2024-01-01 05:45:00,72.4,0.0,16.98
2024-01-01 06:00:00,75.84,1.48,12.31
2024-01-01 06:15:00,81.62,2.97,14.39
2024-01-01 06:30:00,91.52,0.0,16.78
2024-01-01 06:45:00,91.38,0.0,15.91
2024-01-01 07:00:00,100.24,0.0,21.43
2024-01-01 07:15:00,88.7,0.0,18.87
2024-01-01 07:30:00,93.2,0.0,14.28
2024-01-01 07:45:00,94.81,4.89,14.29
2024-01-01 08:00:00,100.01,1.38,13.29
2024-01-01 08:15:00,100.25,7.46,16.68
2024-01-01 08:30:00,124.69,5.56,16.3
2024-01-01 08:45:00,113.16,6.58,18.23
2024-01-01 09:00:00,122.64,8.28,12.14
2024-01-01 09:15:00,119.51,8.17,11.16
2024-01-01 09:30:00,109.06,10.07,12.52
2024-01-01 09:45:00,118.61,8.94,10.78
2024-01-01 10:00:00,119.89,11.67,17.1
2024-01-01 10:15:00,111.5,11.38,16.22
2024-01-01 10:30:00,126.05,13.43,15.45
2024-01-01 10:45:00,123.09,14.34,16.14
2024-01-01 11:00:00,138.95,11.13,15.1
2024-01-01 11:15:00,141.05,14.38,17.73
2024-01-01 11:30:00,131.11,14.07,19.64
