timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,42.1,1.09,62.76
2024-01-01 00:15:00,13.63,0.94,60.53
2024-01-01 00:30:00,23.3,0.0,45.46
2024-01-01 00:45:00,35.03,0.0,53.76
2024-01-01 01:00:00,39.16,0.0,54.35
2024-01-01 01:15:00,31.18,0.67,52.87
2024-01-01 01:30:00,45.99,1.18,59.59
2024-01-01 01:45:00,42.17,1.55,53.77
2024-01-01 02:00:00,39.61,0.0,52.0
2024-01-01 02:15:00,40.46,0.0,57.18
2024-01-01 02:30:00,58.01,1.98,57.05
2024-01-01 02:45:00,52.67,0.0,68.56
2024-01-01 03:00:00,80.95,0.0,57.98
2024-01-01 03:15:00,53.0,0.06,53.36
2024-01-01 03:30:00,68.69,1.46,55.17
2024-01-01 03:45:00,73.25,1.19,45.96
2024-01-01 04:00:00,60.62,0.25,55.57
2024-01-01 04:15:00,59.06,0.0,59.36
2024-01-01 04:30:00,63.4,0.7,55.5
2024-01-01 04:45:00,87.23,0.0,61.37
2024-01-01 05:00:00,91.39,0.0,64.72
2024-01-01 05:15:00,88.37,0.0,51.75
2024-01-01 05:30:00,88.47,0.0,65.3
2024-01-01 05:45:00,91.15,0.0,52.18
2024-01-01 06:00:00,91.78,1.05,57.84
2024-01-01 06:15:00,92.41,0.0,69.24
2024-01-01 06:30:00,106.57,0.0,63.5
2024-01-01 06:45:00,100.4,1.69,60.31
2024-01-01 07:00:00,104.8,0.0,56.6
2024-01-01 07:15:00,101.1,0.7,68.44
2024-01-01 07:30:00,116.67,0.5,49.94
2024-01-01 07:45:00,115.16,0.98,61.2
2024-01-01 08:00:00,139.46,3.05,60.23
2024-01-01 08:15:00,123.75,3.28,43.55
2024-01-01 08:30:00,133.18,3.93,67.12
2024-01-01 08:45:00,126.25,4.55,60.41
2024-01-01 09:00:00,130.98,4.57,66.76
2024-01-01 09:15:00,145.3,6.74,74.8
2024-01-01 09:30:00,131.02,5.21,71.82
2024-01-01 09:45:00,150.89,9.1,67.44
2024-01-01 10:00:00,162.6,8.16,58.59
2024-01-01 10:15:00,139.71,9.05,54.06
2024-01-01 10:30:00,144.72,8.23,53.1
2024-01-01 10:45:00,161.45,9.91,48.13
2024-01-01 11:00:00,156.87,8.81,55.2
2024-01-01 11:15:00,156.73,9.51,49.23
2024-01-01 11:30:00,156.54,7.45,56.91
2024-01-01 11:45:00,158.97,11.83,70.05
2024-01-01 12:00:00,129.82,10.03,54.75
2024-01-01 12:15:00,144.43,10.48,58.25
