timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,45.01,0.0,3.64
2024-01-01 00:15:00,24.2,1.73,3.49
2024-01-01 00:30:00,45.62,0.0,3.29
2024-01-01 00:45:00,44.14,0.17,2.58
2024-01-01 01:00:00,53.24,0.0,2.77
2024-01-01 01:15:00,38.89,0.0,2.1
2024-01-01 01:30:00,49.2,0.0,2.61
2024-01-01 01:45:00,47.36,0.0,3.02
2024-01-01 02:00:00,36.14,1.06,3.18
2024-01-01 02:15:00,51.58,0.0,4.0
2024-01-01 02:30:00,51.07,0.17,4.34
2024-01-01 02:45:00,51.54,0.08,4.72
2024-01-01 03:00:00,52.59,0.0,3.95
2024-01-01 03:15:00,61.58,0.0,3.84
2024-01-01 03:30:00,58.9,1.03,1.82
2024-01-01 03:45:00,58.83,1.37,1.83
2024-01-01 04:00:00,79.57,0.0,1.65
2024-01-01 04:15:00,77.18,0.0,1.61
2024-01-01 04:30:00,64.98,0.0,2.18
2024-01-01 04:45:00,68.13,0.0,2.71
2024-01-01 05:00:00,88.53,1.39,3.79
2024-01-01 05:15:00,85.76,1.27,4.1
2024-01-01 05:30:00,77.76,1.0,4.36
2024-01-01 05:45:00,75.2,1.39,4.09
2024-01-01 06:00:00,104.28,0.0,3.78
2024-01-01 06:15:00,92.17,1.21,3.59
2024-01-01 06:30:00,98.88,0.6,3.74
2024-01-01 06:45:00,86.25,0.0,3.07
2024-01-01 07:00:00,94.59,0.8,2.29
2024-01-01 07:15:00,106.75,0.0,2.75
2024-01-01 07:30:00,105.36,0.51,3.3
2024-01-01 07:45:00,116.41,0.68,3.79
2024-01-01 08:00:00,114.97,2.66,4.56
2024-01-01 08:15:00,129.62,3.66,3.6
2024-01-01 08:30:00,109.65,3.53,3.48
2024-01-01 08:45:00,131.22,5.62,3.19
2024-01-01 09:00:00,122.16,3.72,1.87
2024-01-01 09:15:00,136.06,6.14,2.65
2024-01-01 09:30:00,122.43,7.37,2.41
2024-01-01 09:45:00,118.43,6.62,2.46
2024-01-01 10:00:00,129.71,6.93,3.32
2024-01-01 10:15:00,142.13,9.09,2.9
2024-01-01 10:30:00,139.79,7.89,2.8
2024-01-01 10:45:00,151.04,9.04,2.82
2024-01-01 11:00:00,127.09,8.08,3.25
2024-01-01 11:15:00,129.73,10.39,3.72
2024-01-01 11:30:00,133.16,9.87,3.43
2024-01-01 11:45:00,136.21,11.37,3.63
2024-01-01 12:00:00,134.7,10.67,3.39
2024-01-01 12:15:00,148.26,9.51,2.61
2024-01-01 12:30:00,120.19,8.74,3.34
2024-01-01 12:45:00,128.87,10.36,3.24
2024-01-01 13:00:00,136.82,9.35,2.96
2024-01-01 13:15:00,144.75,9.9,2.76
2024-01-01 13:30:00,120.46,11.14,1.89
2024-01-01 13:45:00,131.91,9.45,1.57
2024-01-01 14:00:00,108.84,9.09,2.1
2024-01-01 14:15:00,129.18,11.29,1.62
2024-01-01 14:30:00,109.93,9.96,1.8
2024-01-01 14:45:00,122.21,8.78,1.85
2024-01-01 15:00:00,129.29,7.46,1.89
2024-01-01 15:15:00,112.79,9.59,3.03
2024-01-01 15:30:00,116.56,7.6,3.08
2024-01-01 15:45:00,102.53,7.72,2.77
2024-01-01 16:00:00,93.71,6.47,2.51
2024-01-01 16:15:00,112.58,7.51,2.95
2024-01-01 16:30:00,87.48,6.89,2.84
2024-01-01 16:45:00,93.25,6.07,3.09
2024-01-01 17:00:00,94.86,3.51,3.19
2024-01-01 17:15:00,66.84,4.05,2.39
2024-01-01 17:30:00,77.33,4.27,2.87
2024-01-01 17:45:00,77.77,2.41,2.51
2024-01-01 18:00:00,78.85,2.44,2.9
2024-01-01 18:15:00,69.13,1.03,3.26
2024-01-01 18:30:00,72.61,0.24,3.64
2024-01-01 18:45:00,51.63,0.0,3.86
2024-01-01 19:00:00,70.24,0.51,3.03
2024-01-01 19:15:00,60.66,0.0,2.73
2024-01-01 19:30:00,54.71,0.0,2.14
2024-01-01 19:45:00,41.02,0.0,2.16
2024-01-01 20:00:00,48.07,0.0,2.23
2024-01-01 20:15:00,43.82,0.07,2.57
2024-01-01 20:30:00,42.5,1.06,2.72
2024-01-01 20:45:00,35.81,0.4,3.4
2024-01-01 21:00:00,41.57,0.0,4.0
2024-01-01 21:15:00,38.78,0.93,3.45
2024-01-01 21:30:00,47.15,0.0,3.37
2024-01-01 21:45:00,48.25,1.82,2.91
2024-01-01 22:00:00,48.89,0.0,2.72
2024-01-01 22:15:00,38.63,0.38,3.57
2024-01-01 22:30:00,39.09,0.41,4.17
2024-01-01 22:45:00,33.81,1.2,4.26
2024-01-01 23:00:00,36.63,0.05,3.84
2024-01-01 23:15:00,24.15,3.28,3.5
2024-01-01 23:30:00,28.94,0.45,3.59
2024-01-01 23:45:00,27.82,0.0,3.25
2024-01-02 00:00:00,21.06,0.55,3.52
2024-01-02 00:15:00,47.31,0.0,3.11
2024-01-02 00:30:00,34.31,0.0,1.82
2024-01-02 00:45:00,39.08,0.15,1.63
2024-01-02 01:00:00,30.05,0.05,0.9
2024-01-02 01:15:00,35.96,0.0,0.65
2024-01-02 01:30:00,43.59,0.71,1.77
2024-01-02 01:45:00,50.65,0.12,2.11
2024-01-02 02:00:00,41.98,0.0,3.25
2024-01-02 02:15:00,47.93,0.37,4.18
2024-01-02 02:30:00,50.12,0.83,4.36
2024-01-02 02:45:00,48.27,0.0,4.19
2024-01-02 03:00:00,71.54,0.0,4.22
2024-01-02 03:15:00,54.67,1.04,3.97
2024-01-02 03:30:00,57.42,0.59,4.19
2024-01-02 03:45:00,73.06,0.0,4.56
2024-01-02 04:00:00,65.07,0.63,5.07
2024-01-02 04:15:00,68.85,0.42,4.9
2024-01-02 04:30:00,82.72,0.59,4.05
2024-01-02 04:45:00,69.63,1.56,4.11
2024-01-02 05:00:00,83.39,1.45,3.32
2024-01-02 05:15:00,79.21,0.0,3.26
2024-01-02 05:30:00,84.52,0.0,2.99
2024-01-02 05:45:00,91.99,0.0,2.35
2024-01-02 06:00:00,101.76,1.03,2.31
2024-01-02 06:15:00,98.69,0.43,1.85
2024-01-02 06:30:00,93.2,1.1,2.16
2024-01-02 06:45:00,100.79,0.0,2.89
2024-01-02 07:00:00,109.09,0.47,2.94
2024-01-02 07:15:00,101.92,2.28,3.68
2024-01-02 07:30:00,119.56,3.04,3.27
