timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,50.85,0.0,0.0
2024-01-01 00:15:00,47.09,0.93,1.0
2024-01-01 00:30:00,50.03,0.0,3.02
2024-01-01 00:45:00,21.68,0.0,2.59
2024-01-01 01:00:00,28.72,0.0,3.47
2024-01-01 01:15:00,32.01,0.0,3.24
2024-01-01 01:30:00,42.01,0.0,2.14
2024-01-01 01:45:00,29.41,1.0,2.54
2024-01-01 02:00:00,59.42,0.0,2.53
2024-01-01 02:15:00,20.11,0.0,3.48
2024-01-01 02:30:00,48.36,0.0,3.06
2024-01-01 02:45:00,41.45,0.0,3.0
2024-01-01 03:00:00,47.23,1.32,3.51
2024-01-01 03:15:00,56.31,0.0,3.28
2024-01-01 03:30:00,59.2,0.0,3.81
2024-01-01 03:45:00,51.12,0.0,4.29
2024-01-01 04:00:00,60.21,0.0,3.6
2024-01-01 04:15:00,72.59,1.0,3.03
2024-01-01 04:30:00,63.8,0.0,3.26
2024-01-01 04:45:00,68.88,0.0,3.74
2024-01-01 05:00:00,69.59,1.34,4.09
2024-01-01 05:15:00,73.14,0.0,5.07
2024-01-01 05:30:00,80.63,1.17,5.21
2024-01-01 05:45:00,84.16,0.73,5.12
2024-01-01 06:00:00,79.76,0.26,4.83
2024-01-01 06:15:00,71.54,0.0,4.83
2024-01-01 06:30:00,82.45,0.79,4.42
2024-01-01 06:45:00,96.33,0.33,3.72
2024-01-01 07:00:00,99.42,0.5,3.72
2024-01-01 07:15:00,97.45,2.9,3.25
2024-01-01 07:30:00,97.51,2.0,2.96
2024-01-01 07:45:00,87.45,3.1,2.95
2024-01-01 08:00:00,99.3,2.87,2.91
2024-01-01 08:15:00,110.28,2.31,2.76
2024-01-01 08:30:00,107.26,2.85,2.51
2024-01-01 08:45:00,113.97,3.9,2.46
2024-01-01 09:00:00,113.93,5.75,2.35
2024-01-01 09:15:00,119.18,5.81,2.09
2024-01-01 09:30:00,98.54,6.6,1.96
2024-01-01 09:45:00,114.79,5.4,2.04
2024-01-01 10:00:00,117.49,7.9,1.86
2024-01-01 10:15:00,128.71,6.13,2.16
2024-01-01 10:30:00,115.59,8.15,2.41
2024-01-01 10:45:00,121.32,8.47,2.58
2024-01-01 11:00:00,111.14,8.42,2.36
2024-01-01 11:15:00,104.17,8.7,1.84
2024-01-01 11:30:00,112.04,8.54,2.08
2024-01-01 11:45:00,128.29,10.38,1.56
2024-01-01 12:00:00,128.06,9.57,2.23
2024-01-01 12:15:00,119.73,10.49,3.31
2024-01-01 12:30:00,115.23,10.2,3.5
2024-01-01 12:45:00,129.88,10.75,3.66
2024-01-01 13:00:00,113.32,10.64,3.69
2024-01-01 13:15:00,118.27,10.49,3.11
