timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,161.38,1.62,11.16
2024-01-01 00:15:00,156.17,0.0,9.1
2024-01-01 00:30:00,118.85,0.0,7.36
2024-01-01 00:45:00,188.36,0.0,7.26
2024-01-01 01:00:00,144.72,0.0,5.44
2024-01-01 01:15:00,132.99,2.39,6.23
2024-01-01 01:30:00,114.45,3.66,7.31
2024-01-01 01:45:00,114.49,0.0,6.72
2024-01-01 02:00:00,154.02,1.45,9.11
2024-01-01 02:15:00,92.36,8.2,7.53
2024-01-01 02:30:00,131.66,10.98,7.9
2024-01-01 02:45:00,77.95,0.0,9.91
2024-01-01 03:00:00,212.78,6.72,8.43
2024-01-01 03:15:00,213.67,0.0,8.12
2024-01-01 03:30:00,181.11,0.0,7.15
2024-01-01 03:45:00,213.81,5.29,5.53
2024-01-01 04:00:00,245.32,0.0,5.1
2024-01-01 04:15:00,229.08,2.75,6.01
2024-01-01 04:30:00,263.05,5.11,6.69
2024-01-01 04:45:00,325.04,7.94,7.11
2024-01-01 05:00:00,287.79,0.0,8.15
2024-01-01 05:15:00,319.16,2.09,7.11
2024-01-01 05:30:00,309.32,0.67,6.01
2024-01-01 05:45:00,309.74,5.92,4.77
2024-01-01 06:00:00,352.44,0.0,3.49
2024-01-01 06:15:00,317.5,0.0,3.03
2024-01-01 06:30:00,368.37,2.12,4.14
2024-01-01 06:45:00,359.08,4.81,5.09
2024-01-01 07:00:00,360.28,0.42,4.43
2024-01-01 07:15:00,421.87,3.8,5.48
2024-01-01 07:30:00,383.01,13.59,5.15
2024-01-01 07:45:00,401.37,4.84,5.06
2024-01-01 08:00:00,460.3,17.9,6.49
2024-01-01 08:15:00,415.45,14.32,5.36
2024-01-01 08:30:00,512.38,18.52,5.61
2024-01-01 08:45:00,476.73,19.53,5.37
2024-01-01 09:00:00,441.53,15.71,5.02
2024-01-01 09:15:00,512.95,31.41,6.11
2024-01-01 09:30:00,517.93,34.56,5.7
2024-01-01 09:45:00,452.14,37.11,7.3
2024-01-01 10:00:00,458.28,38.3,6.77
2024-01-01 10:15:00,514.11,44.28,8.39
2024-01-01 10:30:00,568.02,42.5,7.38
2024-01-01 10:45:00,572.89,40.15,6.72
2024-01-01 11:00:00,542.2,46.9,6.79
2024-01-01 11:15:00,563.4,53.75,5.63
2024-01-01 11:30:00,483.24,38.79,6.92
2024-01-01 11:45:00,528.26,45.04,5.23
2024-01-01 12:00:00,575.85,45.46,5.31
2024-01-01 12:15:00,577.32,48.68,4.66
2024-01-01 12:30:00,603.19,50.85,4.05
2024-01-01 12:45:00,565.97,54.96,4.98
2024-01-01 13:00:00,555.38,45.7,6.28
2024-01-01 13:15:00,586.78,50.14,6.76
2024-01-01 13:30:00,574.89,52.03,7.79
2024-01-01 13:45:00,538.85,42.52,7.94
2024-01-01 14:00:00,639.02,48.03,6.63
2024-01-01 14:15:00,581.95,50.18,7.86
2024-01-01 14:30:00,493.17,39.54,7.26
2024-01-01 14:45:00,576.27,37.7,7.38
2024-01-01 15:00:00,547.22,43.83,7.55
2024-01-01 15:15:00,518.86,52.92,7.35
2024-01-01 15:30:00,514.76,43.95,6.75
2024-01-01 15:45:00,568.35,39.37,5.96
2024-01-01 16:00:00,489.77,39.44,6.39
2024-01-01 16:15:00,468.23,39.43,6.35
