timestamp,load_mw,pv_feedin_mw,wind_feedin_mw
2024-01-01 00:00:00,34.48,0.0,15.47
2024-01-01 00:15:00,78.0,0.0,14.08
2024-01-01 00:30:00,63.57,0.59,12.57
2024-01-01 00:45:00,43.02,0.0,12.84
2024-01-01 01:00:00,83.99,0.0,10.18
2024-01-01 01:15:00,75.58,3.66,8.45
2024-01-01 01:30:00,59.91,0.1,9.13
2024-01-01 01:45:00,93.28,0.0,9.52
2024-01-01 02:00:00,83.32,0.0,10.98
2024-01-01 02:15:00,96.2,0.0,13.29
2024-01-01 02:30:00,94.48,1.02,15.11
2024-01-01 02:45:00,140.09,0.94,11.76
2024-01-01 03:00:00,74.82,0.0,9.84
2024-01-01 03:15:00,105.72,0.0,6.76
2024-01-01 03:30:00,133.84,0.0,4.7
2024-01-01 03:45:00,103.71,0.0,6.27
2024-01-01 04:00:00,133.11,0.0,6.91
2024-01-01 04:15:00,116.41,0.0,10.39
2024-01-01 04:30:00,128.99,3.66,8.28
2024-01-01 04:45:00,140.4,0.0,8.17
2024-01-01 05:00:00,165.49,1.17,8.85
2024-01-01 05:15:00,151.02,3.52,6.94
2024-01-01 05:30:00,162.08,0.0,10.0
2024-01-01 05:45:00,181.91,2.52,9.61
2024-01-01 06:00:00,185.79,0.5,10.9
2024-01-01 06:15:00,180.9,0.92,11.34
2024-01-01 06:30:00,207.31,1.44,11.77
2024-01-01 06:45:00,200.88,0.61,11.58
2024-01-01 07:00:00,218.6,0.0,12.0
2024-01-01 07:15:00,223.49,1.64,10.73
2024-01-01 07:30:00,233.99,5.97,6.96
2024-01-01 07:45:00,197.66,4.29,7.97
2024-01-01 08:00:00,225.39,3.54,6.2
2024-01-01 08:15:00,234.85,8.54,7.75
2024-01-01 08:30:00,249.04,7.46,11.34
2024-01-01 08:45:00,266.44,8.34,11.21
2024-01-01 09:00:00,234.66,10.52,12.15
2024-01-01 09:15:00,271.66,11.36,12.03
2024-01-01 09:30:00,264.13,15.05,10.04
2024-01-01 09:45:00,273.82,13.2,9.08
2024-01-01 10:00:00,241.96,16.55,8.84
2024-01-01 10:15:00,270.07,14.87,7.01
2024-01-01 10:30:00,307.44,18.76,7.61
2024-01-01 10:45:00,277.13,17.39,9.19
2024-01-01 11:00:00,284.23,19.56,8.62
2024-01-01 11:15:00,299.42,18.31,8.58
2024-01-01 11:30:00,266.37,18.79,9.57
2024-01-01 11:45:00,267.35,22.46,9.08
2024-01-01 12:00:00,295.58,20.07,6.31
2024-01-01 12:15:00,264.66,21.97,8.41
2024-01-01 12:30:00,258.67,16.41,8.03
2024-01-01 12:45:00,294.38,20.35,7.59
2024-01-01 13:00:00,250.08,24.34,11.62
2024-01-01 13:15:00,252.37,17.26,11.77
2024-01-01 13:30:00,277.91,18.07,9.88
2024-01-01 13:45:00,257.6,21.31,10.27
2024-01-01 14:00:00,263.65,20.39,7.66
2024-01-01 14:15:00,232.82,18.06,6.75
2024-01-01 14:30:00,240.87,19.25,5.94
2024-01-01 14:45:00,239.7,19.76,5.18
2024-01-01 15:00:00,254.92,16.86,6.66
2024-01-01 15:15:00,246.88,17.36,6.32
2024-01-01 15:30:00,220.18,19.97,7.03
2024-01-01 15:45:00,222.14,14.52,7.59
2024-01-01 16:00:00,230.13,11.81,8.06
2024-01-01 16:15:00,195.25,13.13,8.66
2024-01-01 16:30:00,223.42,11.56,10.24
2024-01-01 16:45:00,191.57,10.92,10.06
2024-01-01 17:00:00,192.93,11.12,11.5
2024-01-01 17:15:00,186.28,6.99,10.39
2024-01-01 17:30:00,209.2,9.52,8.6
2024-01-01 17:45:00,189.23,7.06,8.99
2024-01-01 18:00:00,152.55,5.39,7.79
2024-01-01 18:15:00,185.66,5.09,8.22
2024-01-01 18:30:00,136.79,4.3,8.62
2024-01-01 18:45:00,150.7,4.11,8.52
2024-01-01 19:00:00,166.87,4.44,8.41
2024-01-01 19:15:00,109.34,0.0,9.78
2024-01-01 19:30:00,152.04,0.0,11.2
2024-01-01 19:45:00,115.98,0.0,12.78
2024-01-01 20:00:00,142.64,2.07,13.54
2024-01-01 20:15:00,116.02,5.99,12.78
2024-01-01 20:30:00,110.19,0.04,12.21
2024-01-01 20:45:00,97.02,0.76,11.29
2024-01-01 21:00:00,108.06,0.0,9.7
2024-01-01 21:15:00,75.41,0.0,9.15
2024-01-01 21:30:00,112.0,1.56,9.07
2024-01-01 21:45:00,78.23,0.0,8.96
2024-01-01 22:00:00,70.36,1.1,7.54
2024-01-01 22:15:00,98.75,0.0,9.4
2024-01-01 22:30:00,58.93,0.0,8.62
2024-01-01 22:45:00,88.16,5.1,9.15
2024-01-01 23:00:00,69.31,0.0,10.47
2024-01-01 23:15:00,94.95,0.0,9.57
2024-01-01 23:30:00,62.27,1.31,10.27
2024-01-01 23:45:00,66.27,4.87,8.01
2024-01-02 00:00:00,45.38,0.0,6.53
2024-01-02 00:15:00,30.44,1.68,6.03
2024-01-02 00:30:00,59.66,1.65,6.98
2024-01-02 00:45:00,85.65,0.0,8.55
2024-01-02 01:00:00,74.11,0.0,11.21
2024-01-02 01:15:00,77.35,1.39,12.71
2024-01-02 01:30:00,115.24,1.88,12.91
2024-01-02 01:45:00,100.88,3.0,12.74
2024-01-02 02:00:00,71.45,1.12,12.56
2024-01-02 02:15:00,81.01,0.0,10.31
2024-01-02 02:30:00,112.18,0.24,9.95
